Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.242-224.0.0.252-62623-5355-17,131.202.240.242,62623,224.0.0.252,5355,2015-04-29 09:53:48,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-63573-5355-17,131.202.240.242,63573,224.0.0.252,5355,2015-04-29 10:49:32,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-49455-5355-17,131.202.240.242,49455,224.0.0.252,5355,2015-04-29 10:03:31,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50006-5355-17,131.202.240.242,50006,224.0.0.252,5355,2015-04-29 10:37:34,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-58289-5355-17,131.202.240.242,58289,224.0.0.252,5355,2015-04-29 10:37:20,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-63355-5355-17,131.202.240.242,63355,224.0.0.252,5355,2015-04-29 10:24:57,2,0,44.0,0.0,0
128.65.249.132-131.202.240.242-45738-23-6,128.65.249.132,45738,131.202.240.242,23,2015-04-29 10:35:35,2,0,0.0,0.0,0
131.202.240.242-224.0.0.252-58849-5355-17,131.202.240.242,58849,224.0.0.252,5355,2015-04-29 10:13:14,2,0,44.0,0.0,0
131.202.240.242-131.202.244.3-50132-53-17,131.202.240.242,50132,131.202.244.3,53,2015-04-29 10:45:50,1,1,32.0,82.0,0
131.202.240.242-224.0.0.252-55250-5355-17,131.202.240.242,55250,224.0.0.252,5355,2015-04-29 10:19:12,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-59799-5355-17,131.202.240.242,59799,224.0.0.252,5355,2015-04-29 10:31:10,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-54070-5355-17,131.202.240.242,54070,224.0.0.252,5355,2015-04-29 10:23:40,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-53400-5355-17,131.202.240.242,53400,224.0.0.252,5355,2015-04-29 10:23:43,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-53120-5355-17,131.202.240.242,53120,224.0.0.252,5355,2015-04-29 10:45:03,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56875-5355-17,131.202.240.242,56875,224.0.0.252,5355,2015-04-29 10:09:44,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50118-5355-17,131.202.240.242,50118,224.0.0.252,5355,2015-04-29 10:12:47,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56981-5355-17,131.202.240.242,56981,224.0.0.252,5355,2015-04-29 09:58:56,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-49452-5355-17,131.202.240.242,49452,224.0.0.252,5355,2015-04-29 10:02:47,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-52186-5355-17,131.202.240.242,52186,224.0.0.252,5355,2015-04-29 09:53:24,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-57616-5355-17,131.202.240.242,57616,224.0.0.252,5355,2015-04-29 09:57:47,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50448-5355-17,131.202.240.242,50448,224.0.0.252,5355,2015-04-29 09:52:45,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-60322-5355-17,131.202.240.242,60322,224.0.0.252,5355,2015-04-29 10:29:49,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50339-5355-17,131.202.240.242,50339,224.0.0.252,5355,2015-04-29 09:58:08,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-65301-5355-17,131.202.240.242,65301,224.0.0.252,5355,2015-04-29 10:19:19,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56604-5355-17,131.202.240.242,56604,224.0.0.252,5355,2015-04-29 10:01:44,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-64426-5355-17,131.202.240.242,64426,224.0.0.252,5355,2015-04-29 09:59:42,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-65410-5355-17,131.202.240.242,65410,224.0.0.252,5355,2015-04-29 09:59:07,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61334-5355-17,131.202.240.242,61334,224.0.0.252,5355,2015-04-29 09:53:29,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-65099-5355-17,131.202.240.242,65099,224.0.0.252,5355,2015-04-29 09:53:51,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-62782-5355-17,131.202.240.242,62782,224.0.0.252,5355,2015-04-29 10:20:44,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-49950-5355-17,131.202.240.242,49950,224.0.0.252,5355,2015-04-29 10:43:59,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-55922-5355-17,131.202.240.242,55922,224.0.0.252,5355,2015-04-29 10:07:14,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-65329-5355-17,131.202.240.242,65329,224.0.0.252,5355,2015-04-29 10:40:03,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-63794-5355-17,131.202.240.242,63794,224.0.0.252,5355,2015-04-29 10:08:01,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-51283-5355-17,131.202.240.242,51283,224.0.0.252,5355,2015-04-29 10:32:54,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-54135-5355-17,131.202.240.242,54135,224.0.0.252,5355,2015-04-29 09:53:48,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-62063-5355-17,131.202.240.242,62063,224.0.0.252,5355,2015-04-29 09:51:31,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61359-5355-17,131.202.240.242,61359,224.0.0.252,5355,2015-04-29 10:04:53,2,0,44.0,0.0,0
