Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:55:31,8,24.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:55:31,8,24.0,1
10.8.8.130-198.7.63.141-62277-53-17,10.8.8.130,62277,198.7.63.141,53,2015-03-06 14:51:08,2,445.0,1
10.8.8.130-198.7.63.141-30362-53-17,10.8.8.130,30362,198.7.63.141,53,2015-03-06 14:51:08,2,162.0,1
64.12.104.73-10.8.8.130-443-42784-6,64.12.104.73,443,10.8.8.130,42784,2015-03-06 14:52:31,2,0.0,1
10.8.8.130-78.46.223.24-62277-53-17,10.8.8.130,62277,78.46.223.24,53,2015-03-06 14:51:08,2,445.0,1
64.12.27.66-10.8.8.130-443-38929-6,64.12.27.66,443,10.8.8.130,38929,2015-03-06 14:54:36,3,0.0,1
10.8.8.130-67.18.187.111-38602-123-17,10.8.8.130,38602,67.18.187.111,123,2015-03-06 14:52:50,2,96.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:56:39,96,9876.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:40:21,90,9218.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:40:31,9,30.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:40:31,9,30.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:42:22,78,7794.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:42:31,8,24.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:42:31,8,24.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:44:25,187,18650.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:44:31,8,22.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:44:31,8,24.0,1
64.12.104.73-10.8.8.130-443-42784-6,64.12.104.73,443,10.8.8.130,42784,2015-03-06 14:42:31,2,0.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:46:25,160,16412.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:46:31,11,26.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:46:31,9,24.0,1
64.12.27.66-10.8.8.130-443-38929-6,64.12.27.66,443,10.8.8.130,38929,2015-03-06 14:44:36,2,0.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:48:29,114,11806.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:49:01,9,30.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:49:01,9,30.0,1
10.8.8.130-137.116.224.167-43819-443-6,10.8.8.130,43819,137.116.224.167,443,2015-03-06 14:51:09,16,4205.0,1
10.8.8.130-137.116.224.167-43819-443-6,10.8.8.130,43819,137.116.224.167,443,2015-03-06 14:51:09,2,37.0,1
64.12.104.73-10.8.8.130-443-42784-6,64.12.104.73,443,10.8.8.130,42784,2015-03-06 14:47:31,2,0.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:50:31,129,12532.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:51:01,8,24.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:51:01,8,24.0,1
64.12.27.66-10.8.8.130-443-38929-6,64.12.27.66,443,10.8.8.130,38929,2015-03-06 14:49:36,2,0.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:52:36,131,13244.0,1
10.8.8.130-178.237.19.227-48410-443-6,10.8.8.130,48410,178.237.19.227,443,2015-03-06 14:53:01,9,24.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,2015-03-06 14:53:01,9,24.0,1
10.8.8.130-205.188.12.43-44917-443-6,10.8.8.130,44917,205.188.12.43,443,2015-03-06 14:54:36,123,12526.0,1
