Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.130-198.7.63.141-25704-53-17,10.8.8.130,25704,198.7.63.141,53,2015-04-06 08:35:47,2,133.0,1
10.8.8.130-195.154.146.149-51413-7654-17,10.8.8.130,51413,195.154.146.149,7654,2015-04-06 08:36:20,4,332.0,1
10.8.8.130-78.46.223.24-49112-53-17,10.8.8.130,49112,78.46.223.24,53,2015-04-06 08:33:29,2,133.0,1
10.8.8.130-198.7.63.141-10314-53-17,10.8.8.130,10314,198.7.63.141,53,2015-04-06 08:35:05,2,133.0,1
10.8.8.130-122.173.123.16-51413-6881-17,10.8.8.130,51413,122.173.123.16,6881,2015-04-06 08:35:27,2,450.0,1
10.8.8.130-188.163.83.43-51413-36965-17,10.8.8.130,51413,188.163.83.43,36965,2015-04-06 08:34:46,6,940.0,1
10.8.8.130-198.7.63.141-8869-53-17,10.8.8.130,8869,198.7.63.141,53,2015-04-06 08:34:36,2,398.0,1
10.8.8.130-207.241.227.212-33876-80-6,10.8.8.130,33876,207.241.227.212,80,2015-04-06 08:34:29,3,0.0,1
10.8.8.130-78.46.223.24-23459-53-17,10.8.8.130,23459,78.46.223.24,53,2015-04-06 08:36:47,2,403.0,1
10.8.8.130-207.241.227.212-33831-80-6,10.8.8.130,33831,207.241.227.212,80,2015-04-06 08:34:08,3,0.0,1
207.241.224.2-10.8.8.130-443-51280-6,207.241.224.2,443,10.8.8.130,51280,2015-04-06 08:34:42,2,0.0,1
10.8.8.130-207.241.236.176-43512-80-6,10.8.8.130,43512,207.241.236.176,80,2015-04-06 08:34:06,2,0.0,1
10.8.8.130-46.191.176.129-51413-6881-17,10.8.8.130,51413,46.191.176.129,6881,2015-04-06 08:34:52,2,409.0,1
10.8.8.130-222.133.78.58-51413-30714-17,10.8.8.130,51413,222.133.78.58,30714,2015-04-06 08:35:36,3,249.0,1
10.8.8.130-207.241.224.2-55781-80-6,10.8.8.130,55781,207.241.224.2,80,2015-04-06 08:33:32,2,0.0,1
10.8.8.130-134.173.128.153-51413-51413-17,10.8.8.130,51413,134.173.128.153,51413,2015-04-06 08:35:04,2,382.0,1
10.8.8.130-198.7.63.141-8272-53-17,10.8.8.130,8272,198.7.63.141,53,2015-04-06 08:35:05,2,398.0,1
10.8.8.130-78.46.223.24-65410-53-17,10.8.8.130,65410,78.46.223.24,53,2015-04-06 08:34:36,2,403.0,1
10.8.8.130-114.202.9.182-51413-42682-17,10.8.8.130,51413,114.202.9.182,42682,2015-04-06 08:34:46,2,128.0,1
10.8.8.130-198.7.63.141-32577-53-17,10.8.8.130,32577,198.7.63.141,53,2015-04-06 08:34:01,2,180.0,1
10.8.8.130-85.202.28.80-51413-48319-17,10.8.8.130,51413,85.202.28.80,48319,2015-04-06 08:35:27,2,416.0,1
10.8.8.130-5.248.128.50-51413-49001-17,10.8.8.130,51413,5.248.128.50,49001,2015-04-06 08:35:58,2,404.0,1
10.8.8.130-198.7.63.141-36521-53-17,10.8.8.130,36521,198.7.63.141,53,2015-04-06 08:34:36,2,398.0,1
10.8.8.130-72.207.233.40-51413-58539-17,10.8.8.130,51413,72.207.233.40,58539,2015-04-06 08:34:53,2,416.0,1
10.8.8.130-177.133.138.21-51413-50206-17,10.8.8.130,51413,177.133.138.21,50206,2015-04-06 08:35:28,2,416.0,1
10.8.8.130-95.58.79.92-51413-6881-17,10.8.8.130,51413,95.58.79.92,6881,2015-04-06 08:35:43,2,435.0,1
10.8.8.130-239.255.255.250-45286-1900-17,10.8.8.130,45286,239.255.255.250,1900,2015-04-06 08:33:09,4,503.0,1
207.241.224.2-10.8.8.130-443-51302-6,207.241.224.2,443,10.8.8.130,51302,2015-04-06 08:34:48,2,0.0,1
10.8.8.130-95.211.174.140-51413-6881-17,10.8.8.130,51413,95.211.174.140,6881,2015-04-06 08:35:30,2,391.0,1
10.8.8.130-207.241.237.128-47682-80-6,10.8.8.130,47682,207.241.237.128,80,2015-04-06 08:34:40,3,0.0,1
10.8.8.130-207.241.227.212-33860-80-6,10.8.8.130,33860,207.241.227.212,80,2015-04-06 08:34:20,2,0.0,1
