Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.110-198.7.63.141-65413-53-17,10.8.8.110,65413,198.7.63.141,53,08/06/2015 10:42:58 a.m.,2,265.0,1
10.8.8.110-198.7.63.141-7404-53-17,10.8.8.110,7404,198.7.63.141,53,08/06/2015 10:29:05 a.m.,2,325.0,1
10.8.8.110-78.46.223.24-10152-53-17,10.8.8.110,10152,78.46.223.24,53,08/06/2015 10:40:46 a.m.,2,277.0,1
10.8.8.110-198.7.63.141-29242-53-17,10.8.8.110,29242,198.7.63.141,53,08/06/2015 10:41:46 a.m.,2,265.0,1
216.58.208.46-10.8.8.110-80-33063-6,216.58.208.46,80,10.8.8.110,33063,08/06/2015 10:25:21 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37396-6,64.233.184.16,465,10.8.8.110,37396,08/06/2015 10:27:18 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-55119-53-17,10.8.8.110,55119,198.7.63.141,53,08/06/2015 10:44:15 a.m.,2,277.0,1
64.233.184.16-10.8.8.110-995-51633-6,64.233.184.16,995,10.8.8.110,51633,08/06/2015 10:43:43 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37389-6,64.233.184.16,465,10.8.8.110,37389,08/06/2015 10:26:48 a.m.,2,0.0,1
10.8.8.110-78.46.223.24-6983-53-17,10.8.8.110,6983,78.46.223.24,53,08/06/2015 10:36:04 a.m.,2,265.0,1
64.233.184.16-10.8.8.110-465-37407-6,64.233.184.16,465,10.8.8.110,37407,08/06/2015 10:30:28 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-17868-53-17,10.8.8.110,17868,198.7.63.141,53,08/06/2015 10:27:04 a.m.,2,291.0,1
63.245.217.162-10.8.8.110-443-45062-6,63.245.217.162,443,10.8.8.110,45062,08/06/2015 10:27:18 a.m.,2,0.0,1
74.125.133.16-10.8.8.110-995-57574-6,74.125.133.16,995,10.8.8.110,57574,08/06/2015 10:34:21 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37426-6,64.233.184.16,465,10.8.8.110,37426,08/06/2015 10:36:56 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37449-6,64.233.184.16,465,10.8.8.110,37449,08/06/2015 10:44:40 a.m.,2,0.0,1
63.245.217.114-10.8.8.110-443-54951-6,63.245.217.114,443,10.8.8.110,54951,08/06/2015 10:29:11 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37445-6,64.233.184.16,465,10.8.8.110,37445,08/06/2015 10:43:15 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-12189-53-17,10.8.8.110,12189,198.7.63.141,53,08/06/2015 10:25:43 a.m.,2,265.0,1
64.233.184.16-10.8.8.110-465-37440-6,64.233.184.16,465,10.8.8.110,37440,08/06/2015 10:41:34 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-28521-53-17,10.8.8.110,28521,198.7.63.141,53,08/06/2015 10:30:56 a.m.,2,277.0,1
10.8.8.110-198.7.63.141-38187-53-17,10.8.8.110,38187,198.7.63.141,53,08/06/2015 10:28:32 a.m.,2,265.0,1
10.8.8.110-78.46.223.24-38187-53-17,10.8.8.110,38187,78.46.223.24,53,08/06/2015 10:28:32 a.m.,2,265.0,1
10.8.8.110-78.46.223.24-6200-53-17,10.8.8.110,6200,78.46.223.24,53,08/06/2015 10:33:07 a.m.,2,265.0,1
10.8.8.110-198.7.63.141-41423-53-17,10.8.8.110,41423,198.7.63.141,53,08/06/2015 10:25:43 a.m.,2,262.0,1
10.8.8.110-198.7.63.141-27473-53-17,10.8.8.110,27473,198.7.63.141,53,08/06/2015 10:31:57 a.m.,2,277.0,1
10.8.8.110-198.7.63.141-4483-53-17,10.8.8.110,4483,198.7.63.141,53,08/06/2015 10:34:00 a.m.,2,274.0,1
64.233.184.16-10.8.8.110-465-37418-6,64.233.184.16,465,10.8.8.110,37418,08/06/2015 10:33:26 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-49734-53-17,10.8.8.110,49734,198.7.63.141,53,08/06/2015 10:37:06 a.m.,2,265.0,1
64.233.184.16-10.8.8.110-465-37414-6,64.233.184.16,465,10.8.8.110,37414,08/06/2015 10:32:29 a.m.,2,0.0,1
64.233.184.16-10.8.8.110-465-37437-6,64.233.184.16,465,10.8.8.110,37437,08/06/2015 10:40:48 a.m.,2,0.0,1
10.8.8.110-198.7.63.141-4388-53-17,10.8.8.110,4388,198.7.63.141,53,08/06/2015 10:45:13 a.m.,2,262.0,1
64.233.184.16-10.8.8.110-465-37410-6,64.233.184.16,465,10.8.8.110,37410,08/06/2015 10:31:34 a.m.,2,0.0,1
