Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.0.10-131.202.6.3-42755-53-17,10.8.0.10,42755,131.202.6.3,53,14/04/2015 04:02:58 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-21354-53-17,10.8.0.10,21354,131.202.244.5,53,14/04/2015 03:06:06 p.m.,2,175.0,1
10.8.0.10-131.202.244.5-59346-53-17,10.8.0.10,59346,131.202.244.5,53,14/04/2015 03:03:09 p.m.,2,175.0,1
10.8.0.10-131.202.244.3-50103-53-17,10.8.0.10,50103,131.202.244.3,53,14/04/2015 03:37:05 p.m.,2,175.0,1
10.8.0.10-173.252.110.27-35773-443-6,10.8.0.10,35773,173.252.110.27,443,14/04/2015 03:06:58 p.m.,3,0.0,1
10.8.0.10-131.202.244.3-1339-53-17,10.8.0.10,1339,131.202.244.3,53,14/04/2015 03:06:06 p.m.,2,175.0,1
10.8.0.10-131.202.6.3-34554-53-17,10.8.0.10,34554,131.202.6.3,53,14/04/2015 03:06:59 p.m.,2,175.0,1
10.8.0.10-131.202.244.5-4276-53-17,10.8.0.10,4276,131.202.244.5,53,14/04/2015 03:03:12 p.m.,2,175.0,1
10.8.0.10-131.202.244.5-49449-53-17,10.8.0.10,49449,131.202.244.5,53,14/04/2015 04:11:59 p.m.,2,410.0,1
10.8.0.10-131.202.244.3-44208-53-17,10.8.0.10,44208,131.202.244.3,53,14/04/2015 03:06:08 p.m.,2,175.0,1
10.8.0.10-131.202.244.3-5738-53-17,10.8.0.10,5738,131.202.244.3,53,14/04/2015 03:06:59 p.m.,2,175.0,1
10.8.0.10-131.202.244.3-44288-53-17,10.8.0.10,44288,131.202.244.3,53,14/04/2015 03:36:56 p.m.,2,191.0,1
10.8.0.10-131.202.244.5-50103-53-17,10.8.0.10,50103,131.202.244.5,53,14/04/2015 03:37:05 p.m.,2,175.0,1
10.8.0.10-74.125.22.189-54458-443-6,10.8.0.10,54458,74.125.22.189,443,14/04/2015 04:11:43 p.m.,313,131792.0,1
10.8.0.10-131.202.244.5-1695-53-17,10.8.0.10,1695,131.202.244.5,53,14/04/2015 04:11:41 p.m.,2,261.0,1
10.8.0.10-131.202.244.3-11749-53-17,10.8.0.10,11749,131.202.244.3,53,14/04/2015 03:06:06 p.m.,2,175.0,1
