Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
204.236.238.164-10.8.8.138-21-50975-6,204.236.238.164,21,10.8.8.138,50975,22/05/2015 03:44:43 p.m.,2,0.0,1
75.101.155.12-10.8.8.138-1420-55570-6,75.101.155.12,1420,10.8.8.138,55570,22/05/2015 03:46:17 p.m.,2,0.0,1
75.101.155.12-10.8.8.138-21-54472-6,75.101.155.12,21,10.8.8.138,54472,22/05/2015 03:46:21 p.m.,2,0.0,1
204.236.238.164-10.8.8.138-1265-47056-6,204.236.238.164,1265,10.8.8.138,47056,22/05/2015 03:42:08 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-9240-53-17,10.8.8.138,9240,131.202.244.3,53,22/05/2015 03:40:28 p.m.,2,70.0,1
10.8.8.138-23.21.114.223-59312-443-6,10.8.8.138,59312,23.21.114.223,443,22/05/2015 03:46:11 p.m.,17,7010.0,1
204.236.238.164-10.8.8.138-21-50941-6,204.236.238.164,21,10.8.8.138,50941,22/05/2015 03:43:29 p.m.,3,0.0,1
75.101.155.12-10.8.8.138-21-54414-6,75.101.155.12,21,10.8.8.138,54414,22/05/2015 03:44:20 p.m.,3,0.0,1
10.8.8.138-74.125.226.64-58926-443-17,10.8.8.138,58926,74.125.226.64,443,22/05/2015 03:45:08 p.m.,17,9120.0,1
204.236.238.164-10.8.8.138-1361-52025-6,204.236.238.164,1361,10.8.8.138,52025,22/05/2015 03:44:19 p.m.,2,0.0,1
204.236.238.164-10.8.8.138-1291-43679-6,204.236.238.164,1291,10.8.8.138,43679,22/05/2015 03:42:30 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-33250-53-17,10.8.8.138,33250,131.202.244.3,53,22/05/2015 03:44:48 p.m.,2,70.0,1
10.8.8.138-204.236.238.164-50940-21-6,10.8.8.138,50940,204.236.238.164,21,22/05/2015 03:44:47 p.m.,51,4416.0,1
204.236.238.164-10.8.8.138-1813-58134-6,204.236.238.164,1813,10.8.8.138,58134,22/05/2015 03:43:52 p.m.,2,0.0,1
10.8.8.138-74.125.226.35-60722-443-6,10.8.8.138,60722,74.125.226.35,443,22/05/2015 03:44:52 p.m.,28,5004.0,1
204.236.238.164-10.8.8.138-1335-35158-6,204.236.238.164,1335,10.8.8.138,35158,22/05/2015 03:40:52 p.m.,2,0.0,1
10.8.8.138-74.125.226.56-59887-443-17,10.8.8.138,59887,74.125.226.56,443,22/05/2015 03:44:48 p.m.,7,3427.0,1
10.8.8.138-74.125.226.64-43452-443-6,10.8.8.138,43452,74.125.226.64,443,22/05/2015 03:45:08 p.m.,21,1176.0,1
10.8.8.138-74.125.22.188-49466-5228-6,10.8.8.138,49466,74.125.22.188,5228,22/05/2015 03:44:54 p.m.,5,0.0,1
10.8.8.138-74.125.226.56-51239-443-6,10.8.8.138,51239,74.125.226.56,443,22/05/2015 03:44:48 p.m.,23,1176.0,1
204.236.238.164-10.8.8.138-1318-41865-6,204.236.238.164,1318,10.8.8.138,41865,22/05/2015 03:41:01 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-9393-53-17,10.8.8.138,9393,131.202.244.3,53,22/05/2015 03:46:12 p.m.,2,70.0,1
10.8.8.138-74.125.226.33-41347-443-6,10.8.8.138,41347,74.125.226.33,443,22/05/2015 03:45:07 p.m.,26,5009.0,1
204.236.238.164-10.8.8.138-1999-47604-6,204.236.238.164,1999,10.8.8.138,47604,22/05/2015 03:44:35 p.m.,2,0.0,1
10.8.8.138-74.125.226.33-36920-443-17,10.8.8.138,36920,74.125.226.33,443,22/05/2015 03:45:07 p.m.,13,10320.0,1
10.8.8.138-23.21.114.223-59271-443-6,10.8.8.138,59271,23.21.114.223,443,22/05/2015 03:44:10 p.m.,2,0.0,1
75.101.155.12-10.8.8.138-21-54459-6,75.101.155.12,21,10.8.8.138,54459,22/05/2015 03:46:02 p.m.,2,0.0,1
204.236.238.164-10.8.8.138-1942-36949-6,204.236.238.164,1942,10.8.8.138,36949,22/05/2015 03:41:31 p.m.,2,0.0,1
204.236.238.164-10.8.8.138-1910-39647-6,204.236.238.164,1910,10.8.8.138,39647,22/05/2015 03:43:33 p.m.,2,0.0,1
204.236.238.164-10.8.8.138-1841-38108-6,204.236.238.164,1841,10.8.8.138,38108,22/05/2015 03:42:27 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-43896-53-17,10.8.8.138,43896,131.202.244.3,53,22/05/2015 03:43:40 p.m.,2,70.0,1
10.8.8.138-74.125.226.35-54373-443-17,10.8.8.138,54373,74.125.226.35,443,22/05/2015 03:44:52 p.m.,7,4604.0,1
10.8.8.138-204.236.238.164-59805-1878-6,10.8.8.138,59805,204.236.238.164,1878,22/05/2015 03:40:44 p.m.,272,274504.0,1
204.236.238.164-10.8.8.138-1878-59805-6,204.236.238.164,1878,10.8.8.138,59805,22/05/2015 03:40:47 p.m.,42,53.0,1
10.8.8.138-204.236.238.164-44296-1901-6,10.8.8.138,44296,204.236.238.164,1901,22/05/2015 03:40:46 p.m.,101,90017.0,1
204.236.238.164-10.8.8.138-1901-44296-6,204.236.238.164,1901,10.8.8.138,44296,22/05/2015 03:40:48 p.m.,20,53.0,1
10.8.8.138-204.236.238.164-53875-1879-6,10.8.8.138,53875,204.236.238.164,1879,22/05/2015 03:40:48 p.m.,228,222409.0,1
204.236.238.164-10.8.8.138-1879-53875-6,204.236.238.164,1879,10.8.8.138,53875,22/05/2015 03:40:50 p.m.,40,53.0,1
10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,22/05/2015 03:40:50 p.m.,19,4952.0,1
10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,22/05/2015 03:40:51 p.m.,3,53.0,1
10.8.8.138-204.236.238.164-32797-1742-6,10.8.8.138,32797,204.236.238.164,1742,22/05/2015 03:40:51 p.m.,342,345596.0,1
204.236.238.164-10.8.8.138-1742-32797-6,204.236.238.164,1742,10.8.8.138,32797,22/05/2015 03:40:53 p.m.,68,53.0,1
10.8.8.138-204.236.238.164-36877-1410-6,10.8.8.138,36877,204.236.238.164,1410,22/05/2015 03:40:53 p.m.,394,329351.0,1
204.236.238.164-10.8.8.138-1410-36877-6,204.236.238.164,1410,10.8.8.138,36877,22/05/2015 03:40:56 p.m.,39,53.0,1
10.8.8.138-204.236.238.164-55089-1528-6,10.8.8.138,55089,204.236.238.164,1528,22/05/2015 03:40:56 p.m.,289,271176.0,1
204.236.238.164-10.8.8.138-1528-55089-6,204.236.238.164,1528,10.8.8.138,55089,22/05/2015 03:40:59 p.m.,27,53.0,1
10.8.8.138-204.236.238.164-41865-1318-6,10.8.8.138,41865,204.236.238.164,1318,22/05/2015 03:40:59 p.m.,19,4952.0,1
10.8.8.138-204.236.238.164-41865-1318-6,10.8.8.138,41865,204.236.238.164,1318,22/05/2015 03:41:00 p.m.,3,245.0,1
10.8.8.138-204.236.238.164-48596-1592-6,10.8.8.138,48596,204.236.238.164,1592,22/05/2015 03:41:00 p.m.,3261,2902291.0,1
204.236.238.164-10.8.8.138-1592-48596-6,204.236.238.164,1592,10.8.8.138,48596,22/05/2015 03:41:06 p.m.,93,53.0,1
10.8.8.138-204.236.238.164-53881-1362-6,10.8.8.138,53881,204.236.238.164,1362,22/05/2015 03:41:02 p.m.,2869,2588276.0,1
204.236.238.164-10.8.8.138-1362-53881-6,204.236.238.164,1362,10.8.8.138,53881,22/05/2015 03:41:08 p.m.,92,53.0,1
10.8.8.138-204.236.238.164-40097-1774-6,10.8.8.138,40097,204.236.238.164,1774,22/05/2015 03:41:07 p.m.,1541,1260570.0,1
204.236.238.164-10.8.8.138-1774-40097-6,204.236.238.164,1774,10.8.8.138,40097,22/05/2015 03:41:11 p.m.,48,53.0,1
