Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
204.236.238.164-10.8.8.138-1784-38088-6,204.236.238.164,1784,10.8.8.138,38088,2015-05-22 15:48:09,2,0.0,1
10.8.8.138-204.236.238.164-58774-1633-6,10.8.8.138,58774,204.236.238.164,1633,2015-05-22 15:48:46,2,0.0,1
10.8.8.138-131.202.244.3-15165-53-17,10.8.8.138,15165,131.202.244.3,53,2015-05-22 15:46:36,2,70.0,1
204.236.238.164-10.8.8.138-1573-59001-6,204.236.238.164,1573,10.8.8.138,59001,2015-05-22 15:47:54,2,0.0,1
204.236.238.164-10.8.8.138-1488-60619-6,204.236.238.164,1488,10.8.8.138,60619,2015-05-22 15:48:48,2,0.0,1
204.236.238.164-10.8.8.138-1900-33726-6,204.236.238.164,1900,10.8.8.138,33726,2015-05-22 15:48:01,2,0.0,1
10.8.8.138-74.125.226.35-34380-443-17,10.8.8.138,34380,74.125.226.35,443,2015-05-22 15:47:44,22,14792.0,1
204.236.238.164-10.8.8.138-1680-44452-6,204.236.238.164,1680,10.8.8.138,44452,2015-05-22 15:48:19,2,0.0,1
204.236.238.164-10.8.8.138-1583-41789-6,204.236.238.164,1583,10.8.8.138,41789,2015-05-22 15:47:45,2,0.0,1
204.236.238.164-10.8.8.138-1544-59886-6,204.236.238.164,1544,10.8.8.138,59886,2015-05-22 15:49:28,2,0.0,1
204.236.238.164-10.8.8.138-1587-45798-6,204.236.238.164,1587,10.8.8.138,45798,2015-05-22 15:47:33,2,0.0,1
204.236.238.164-10.8.8.138-1756-53065-6,204.236.238.164,1756,10.8.8.138,53065,2015-05-22 15:48:51,2,0.0,1
204.236.238.164-10.8.8.138-1602-58019-6,204.236.238.164,1602,10.8.8.138,58019,2015-05-22 15:48:05,2,0.0,1
204.236.238.164-10.8.8.138-1442-43444-6,204.236.238.164,1442,10.8.8.138,43444,2015-05-22 15:47:58,2,0.0,1
10.8.8.138-74.125.226.35-60722-443-6,10.8.8.138,60722,74.125.226.35,443,2015-05-22 15:48:52,2,0.0,1
204.236.238.164-10.8.8.138-1401-39486-6,204.236.238.164,1401,10.8.8.138,39486,2015-05-22 15:47:44,2,0.0,1
10.8.8.138-131.202.244.3-44557-53-17,10.8.8.138,44557,131.202.244.3,53,2015-05-22 15:47:21,2,70.0,1
204.236.238.164-10.8.8.138-1985-37128-6,204.236.238.164,1985,10.8.8.138,37128,2015-05-22 15:48:21,2,0.0,1
204.236.238.164-10.8.8.138-1321-37613-6,204.236.238.164,1321,10.8.8.138,37613,2015-05-22 15:48:34,2,0.0,1
10.8.8.138-74.125.226.64-43452-443-6,10.8.8.138,43452,74.125.226.64,443,2015-05-22 15:49:08,2,0.0,1
10.8.8.138-74.125.22.188-49466-5228-6,10.8.8.138,49466,74.125.22.188,5228,2015-05-22 15:49:21,2,0.0,1
204.236.238.164-10.8.8.138-1759-54426-6,204.236.238.164,1759,10.8.8.138,54426,2015-05-22 15:48:26,2,0.0,1
204.236.238.164-10.8.8.138-21-51001-6,204.236.238.164,21,10.8.8.138,51001,2015-05-22 15:49:49,2,0.0,1
10.8.8.138-74.125.226.56-51239-443-6,10.8.8.138,51239,74.125.226.56,443,2015-05-22 15:48:49,2,0.0,1
204.236.238.164-10.8.8.138-1679-41697-6,204.236.238.164,1679,10.8.8.138,41697,2015-05-22 15:47:53,2,0.0,1
