Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.0.14-131.202.244.5-16882-53-17,10.8.0.14,16882,131.202.244.5,53,2015-04-14 17:05:19,2,250.0,1
10.8.0.14-131.202.244.3-62980-53-17,10.8.0.14,62980,131.202.244.3,53,2015-04-14 16:20:11,2,410.0,1
10.8.0.14-131.202.244.3-41947-53-17,10.8.0.14,41947,131.202.244.3,53,2015-04-14 16:43:17,2,378.0,1
10.8.0.14-131.202.244.3-2791-53-17,10.8.0.14,2791,131.202.244.3,53,2015-04-14 16:20:41,2,410.0,1
10.8.0.14-131.202.244.3-63468-53-17,10.8.0.14,63468,131.202.244.3,53,2015-04-14 16:41:44,2,378.0,1
10.8.0.14-131.202.244.5-50436-53-17,10.8.0.14,50436,131.202.244.5,53,2015-04-14 17:03:52,2,218.0,1
10.8.0.14-131.202.244.5-6546-53-17,10.8.0.14,6546,131.202.244.5,53,2015-04-14 16:36:44,2,378.0,1
10.8.0.14-131.202.244.3-23544-53-17,10.8.0.14,23544,131.202.244.3,53,2015-04-14 16:44:48,2,378.0,1
10.8.0.14-131.202.244.5-15922-53-17,10.8.0.14,15922,131.202.244.5,53,2015-04-14 16:52:09,2,114.0,1
10.8.0.14-131.202.244.5-31509-53-17,10.8.0.14,31509,131.202.244.5,53,2015-04-14 16:53:49,2,250.0,1
10.8.0.14-131.202.244.3-27651-53-17,10.8.0.14,27651,131.202.244.3,53,2015-04-14 16:53:50,2,378.0,1
10.8.0.14-131.202.244.5-54374-53-17,10.8.0.14,54374,131.202.244.5,53,2015-04-14 17:10:09,2,250.0,1
10.8.0.14-131.202.244.5-62465-53-17,10.8.0.14,62465,131.202.244.5,53,2015-04-14 16:56:47,2,250.0,1
10.8.0.14-131.202.244.5-64576-53-17,10.8.0.14,64576,131.202.244.5,53,2015-04-14 17:03:51,2,218.0,1
10.8.0.14-131.202.244.5-28654-53-17,10.8.0.14,28654,131.202.244.5,53,2015-04-14 16:37:01,2,114.0,1
10.8.0.14-131.202.244.5-4114-53-17,10.8.0.14,4114,131.202.244.5,53,2015-04-14 17:07:36,2,253.0,1
10.8.0.14-131.202.244.3-28523-53-17,10.8.0.14,28523,131.202.244.3,53,2015-04-14 16:51:49,2,378.0,1
10.8.0.14-131.202.244.3-41883-53-17,10.8.0.14,41883,131.202.244.3,53,2015-04-14 17:00:47,2,378.0,1
10.8.0.14-131.202.244.3-4361-53-17,10.8.0.14,4361,131.202.244.3,53,2015-04-14 17:07:53,2,410.0,1
10.8.0.14-131.202.244.3-52242-53-17,10.8.0.14,52242,131.202.244.3,53,2015-04-14 16:43:14,2,378.0,1
10.8.0.14-131.202.244.5-52821-53-17,10.8.0.14,52821,131.202.244.5,53,2015-04-14 17:11:31,2,250.0,1
