Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
10.8.8.178-198.7.63.141-28665-53-17,10.8.8.178,28665,198.7.63.141,53,2015-03-06 15:52:22,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-25082-53-17,10.8.8.178,25082,198.7.63.141,53,2015-03-06 15:54:12,1,1,37.0,213.0,1
10.8.8.178-198.7.63.141-27388-53-17,10.8.8.178,27388,198.7.63.141,53,2015-03-06 15:56:16,1,1,33.0,218.0,1
10.8.8.178-198.7.63.141-2595-53-17,10.8.8.178,2595,198.7.63.141,53,2015-03-06 15:57:42,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-60467-53-17,10.8.8.178,60467,198.7.63.141,53,2015-03-06 15:57:43,1,1,45.0,197.0,1
10.8.8.178-198.7.63.141-61626-53-17,10.8.8.178,61626,198.7.63.141,53,2015-03-06 15:58:21,1,1,39.0,230.0,1
10.8.8.178-198.7.63.141-11221-53-17,10.8.8.178,11221,198.7.63.141,53,2015-03-06 15:55:31,1,1,45.0,209.0,1
10.8.8.178-198.7.63.141-47766-53-17,10.8.8.178,47766,198.7.63.141,53,2015-03-06 15:53:46,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-62586-53-17,10.8.8.178,62586,198.7.63.141,53,2015-03-06 16:04:09,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-6043-53-17,10.8.8.178,6043,198.7.63.141,53,2015-03-06 16:05:52,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-37459-53-17,10.8.8.178,37459,198.7.63.141,53,2015-03-06 15:53:33,1,1,37.0,225.0,1
10.8.8.178-198.7.63.141-32628-53-17,10.8.8.178,32628,198.7.63.141,53,2015-03-06 15:53:32,1,1,45.0,197.0,1
10.8.8.178-198.7.63.141-10193-53-17,10.8.8.178,10193,198.7.63.141,53,2015-03-06 15:55:06,1,1,33.0,192.0,1
10.8.8.178-198.7.63.141-42182-53-17,10.8.8.178,42182,198.7.63.141,53,2015-03-06 15:55:12,1,1,33.0,212.0,1
10.8.8.178-198.7.63.141-45778-53-17,10.8.8.178,45778,198.7.63.141,53,2015-03-06 16:05:06,1,1,45.0,209.0,1
10.8.8.178-198.7.63.141-55557-53-17,10.8.8.178,55557,198.7.63.141,53,2015-03-06 15:54:38,1,1,47.0,234.0,1
10.8.8.178-198.7.63.141-26820-53-17,10.8.8.178,26820,198.7.63.141,53,2015-03-06 15:59:52,1,1,37.0,213.0,1
