Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.178-157.55.235.169-15685-40028-17,10.8.8.178,15685,157.55.235.169,40028,03/06/2015 03:06:26 p.m.,2,54.0,1
10.8.8.178-78.84.178.114-15685-18854-17,10.8.8.178,15685,78.84.178.114,18854,03/06/2015 03:22:31 p.m.,10,220.0,1
178.237.19.228-10.8.8.178-443-43993-6,178.237.19.228,443,10.8.8.178,43993,03/06/2015 03:19:57 p.m.,2,0.0,1
10.8.8.178-111.221.74.14-15685-40029-17,10.8.8.178,15685,111.221.74.14,40029,03/06/2015 03:06:26 p.m.,2,61.0,1
10.8.8.178-157.55.130.172-15685-40027-17,10.8.8.178,15685,157.55.130.172,40027,03/06/2015 03:22:10 p.m.,4,310.0,1
10.8.8.178-64.4.23.162-15685-40019-17,10.8.8.178,15685,64.4.23.162,40019,03/06/2015 03:22:10 p.m.,4,316.0,1
10.8.8.178-111.221.77.153-15685-40019-17,10.8.8.178,15685,111.221.77.153,40019,03/06/2015 03:22:31 p.m.,2,120.0,1
10.8.8.178-111.221.77.171-15685-443-17,10.8.8.178,15685,111.221.77.171,443,03/06/2015 03:22:31 p.m.,2,44.0,1
10.8.8.178-105.97.100.100-15685-11891-17,10.8.8.178,15685,105.97.100.100,11891,03/06/2015 03:22:51 p.m.,2,44.0,1
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,03/06/2015 03:21:30 p.m.,15,121.0,1
10.8.8.178-157.56.52.25-15685-40002-17,10.8.8.178,15685,157.56.52.25,40002,03/06/2015 03:16:30 p.m.,2,516.0,1
10.8.8.178-65.55.223.25-15685-40002-17,10.8.8.178,15685,65.55.223.25,40002,03/06/2015 03:06:26 p.m.,2,516.0,1
10.8.8.178-191.254.252.23-15685-32994-17,10.8.8.178,15685,191.254.252.23,32994,03/06/2015 03:22:31 p.m.,2,44.0,1
10.8.8.178-157.55.130.142-15685-40019-17,10.8.8.178,15685,157.55.130.142,40019,03/06/2015 03:16:30 p.m.,2,61.0,1
10.8.8.178-118.106.47.16-15685-57835-17,10.8.8.178,15685,118.106.47.16,57835,03/06/2015 03:22:31 p.m.,10,220.0,1
