Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:23:00 p.m.,18,2321.0,1
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,03/06/2015 03:20:02 p.m.,2,0.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:00:54 p.m.,137,7855.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:02:56 p.m.,190,11207.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:04:57 p.m.,393,22984.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:06:57 p.m.,536,36665.0,1
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,03/06/2015 03:05:01 p.m.,2,0.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:08:58 p.m.,471,25741.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:10:58 p.m.,398,22934.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:12:58 p.m.,444,22532.0,1
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,03/06/2015 03:10:01 p.m.,2,0.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:14:58 p.m.,438,23676.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:16:59 p.m.,288,16801.0,1
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,03/06/2015 03:15:02 p.m.,2,0.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:18:59 p.m.,180,9960.0,1
10.8.8.130-178.237.18.202-34342-443-6,10.8.8.130,34342,178.237.18.202,443,03/06/2015 03:21:00 p.m.,180,10378.0,1
