Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.0.10-131.202.244.5-46075-53-17,10.8.0.10,46075,131.202.244.5,53,14/04/2015 02:59:48 p.m.,2,441.0,1
10.8.0.10-131.202.244.5-9399-53-17,10.8.0.10,9399,131.202.244.5,53,14/04/2015 02:15:09 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-64347-53-17,10.8.0.10,64347,131.202.244.5,53,14/04/2015 02:24:43 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-49645-53-17,10.8.0.10,49645,131.202.244.5,53,14/04/2015 02:13:48 p.m.,2,173.0,1
10.8.0.10-131.202.244.5-55357-53-17,10.8.0.10,55357,131.202.244.5,53,14/04/2015 02:59:48 p.m.,2,441.0,1
10.8.0.10-131.202.244.5-40219-53-17,10.8.0.10,40219,131.202.244.5,53,14/04/2015 02:23:09 p.m.,2,250.0,1
10.8.0.10-91.189.90.41-40159-80-6,10.8.0.10,40159,91.189.90.41,80,14/04/2015 02:59:43 p.m.,17,923.0,1
10.8.0.10-131.202.244.3-40219-53-17,10.8.0.10,40219,131.202.244.3,53,14/04/2015 02:23:09 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-35188-53-17,10.8.0.10,35188,131.202.244.5,53,14/04/2015 01:59:00 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-35188-53-17,10.8.0.10,35188,131.202.244.3,53,14/04/2015 01:59:00 p.m.,2,250.0,1
10.8.0.10-65.55.223.41-18420-40028-17,10.8.0.10,18420,65.55.223.41,40028,14/04/2015 02:19:54 p.m.,2,54.0,1
10.8.0.10-131.202.244.3-33863-53-17,10.8.0.10,33863,131.202.244.3,53,14/04/2015 02:48:45 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-18694-53-17,10.8.0.10,18694,131.202.244.5,53,14/04/2015 02:45:10 p.m.,2,162.0,1
10.8.0.10-213.199.179.168-18420-40016-17,10.8.0.10,18420,213.199.179.168,40016,14/04/2015 02:58:11 p.m.,2,170.0,1
209.148.205.25-10.8.0.10-80-33092-6,209.148.205.25,80,10.8.0.10,33092,14/04/2015 02:13:53 p.m.,2,0.0,1
10.8.0.10-131.202.244.5-18882-53-17,10.8.0.10,18882,131.202.244.5,53,14/04/2015 02:19:10 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-18694-53-17,10.8.0.10,18694,131.202.244.3,53,14/04/2015 02:45:10 p.m.,2,162.0,1
10.8.0.10-131.202.244.3-64347-53-17,10.8.0.10,64347,131.202.244.3,53,14/04/2015 02:24:43 p.m.,2,250.0,1
10.8.0.10-131.202.6.3-62208-53-17,10.8.0.10,62208,131.202.6.3,53,14/04/2015 03:00:15 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-24637-53-17,10.8.0.10,24637,131.202.244.3,53,14/04/2015 01:58:31 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-37911-53-17,10.8.0.10,37911,131.202.244.5,53,14/04/2015 02:08:56 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-10331-53-17,10.8.0.10,10331,131.202.244.5,53,14/04/2015 02:59:48 p.m.,2,410.0,1
10.8.0.10-131.202.244.5-10328-53-17,10.8.0.10,10328,131.202.244.5,53,14/04/2015 02:23:39 p.m.,2,250.0,1
10.8.0.10-82.165.251.100-44817-80-6,10.8.0.10,44817,82.165.251.100,80,14/04/2015 02:13:49 p.m.,2,0.0,1
10.8.0.10-131.202.244.5-14491-53-17,10.8.0.10,14491,131.202.244.5,53,14/04/2015 02:59:43 p.m.,2,232.0,1
10.8.0.10-131.202.6.3-42710-53-17,10.8.0.10,42710,131.202.6.3,53,14/04/2015 02:28:54 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-10328-53-17,10.8.0.10,10328,131.202.244.3,53,14/04/2015 02:23:39 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-6444-53-17,10.8.0.10,6444,131.202.244.3,53,14/04/2015 02:00:37 p.m.,2,250.0,1
10.8.0.10-131.202.6.3-54489-53-17,10.8.0.10,54489,131.202.6.3,53,14/04/2015 02:45:37 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-59378-53-17,10.8.0.10,59378,131.202.244.5,53,14/04/2015 02:48:44 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-61231-53-17,10.8.0.10,61231,131.202.244.5,53,14/04/2015 02:59:48 p.m.,2,413.0,1
10.8.0.10-131.202.6.3-12462-53-17,10.8.0.10,12462,131.202.6.3,53,14/04/2015 02:10:05 p.m.,2,250.0,1
10.8.0.10-212.161.8.36-18420-13392-17,10.8.0.10,18420,212.161.8.36,13392,14/04/2015 02:57:07 p.m.,4,1274.0,1
10.8.0.10-131.202.244.5-65423-53-17,10.8.0.10,65423,131.202.244.5,53,14/04/2015 02:13:48 p.m.,2,190.0,1
10.8.0.10-131.202.244.5-11492-53-17,10.8.0.10,11492,131.202.244.5,53,14/04/2015 02:42:15 p.m.,2,250.0,1
10.8.0.10-157.55.56.169-18420-40008-17,10.8.0.10,18420,157.55.56.169,40008,14/04/2015 02:54:01 p.m.,2,64.0,1
10.8.0.10-131.202.244.5-47496-53-17,10.8.0.10,47496,131.202.244.5,53,14/04/2015 02:40:14 p.m.,2,250.0,1
10.8.0.10-131.202.6.3-55069-53-17,10.8.0.10,55069,131.202.6.3,53,14/04/2015 02:33:04 p.m.,2,250.0,1
10.8.0.10-131.202.6.3-18569-53-17,10.8.0.10,18569,131.202.6.3,53,14/04/2015 02:26:48 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-53391-53-17,10.8.0.10,53391,131.202.244.5,53,14/04/2015 02:59:33 p.m.,2,162.0,1
10.8.0.10-131.202.244.5-23194-53-17,10.8.0.10,23194,131.202.244.5,53,14/04/2015 02:50:45 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-47496-53-17,10.8.0.10,47496,131.202.244.3,53,14/04/2015 02:40:14 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-53391-53-17,10.8.0.10,53391,131.202.244.3,53,14/04/2015 02:59:33 p.m.,2,162.0,1
10.8.0.10-131.202.244.5-40182-53-17,10.8.0.10,40182,131.202.244.5,53,14/04/2015 02:08:55 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-59378-53-17,10.8.0.10,59378,131.202.244.3,53,14/04/2015 02:48:44 p.m.,2,250.0,1
10.8.0.10-131.202.244.3-40182-53-17,10.8.0.10,40182,131.202.244.3,53,14/04/2015 02:08:55 p.m.,2,250.0,1
10.8.0.10-131.202.244.5-4158-53-17,10.8.0.10,4158,131.202.244.5,53,14/04/2015 02:13:47 p.m.,2,410.0,1
10.8.0.10-131.202.6.3-61642-53-17,10.8.0.10,61642,131.202.6.3,53,14/04/2015 02:46:58 p.m.,2,250.0,1
