Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.178-64.4.23.169-15685-40008-17,10.8.8.178,15685,64.4.23.169,40008,2015-03-06 13:36:47,4,118.0,1
10.8.8.178-157.55.235.169-15685-40028-17,10.8.8.178,15685,157.55.235.169,40028,2015-03-06 13:36:44,2,54.0,1
10.8.8.178-157.55.235.151-15685-40034-17,10.8.8.178,15685,157.55.235.151,40034,2015-03-06 13:37:29,2,714.0,1
10.8.8.178-157.55.130.172-15685-40027-17,10.8.8.178,15685,157.55.130.172,40027,2015-03-06 13:42:44,2,156.0,1
10.8.8.178-64.4.23.162-15685-40019-17,10.8.8.178,15685,64.4.23.162,40019,2015-03-06 13:46:45,2,191.0,1
10.8.8.178-157.55.56.159-15685-40005-17,10.8.8.178,15685,157.55.56.159,40005,2015-03-06 13:36:47,6,1018.0,1
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,2015-03-06 13:47:37,12,83.0,1
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,2015-03-06 13:47:31,6,348.0,1
10.8.8.178-157.55.56.169-15685-40008-17,10.8.8.178,15685,157.55.56.169,40008,2015-03-06 13:36:47,4,118.0,1
10.8.8.178-157.56.52.25-15685-40002-17,10.8.8.178,15685,157.56.52.25,40002,2015-03-06 13:42:44,2,516.0,1
10.8.8.178-157.55.56.169-15685-40006-17,10.8.8.178,15685,157.55.56.169,40006,2015-03-06 13:36:47,4,785.0,1
10.8.8.178-78.46.223.24-46252-53-17,10.8.8.178,46252,78.46.223.24,53,2015-03-06 13:43:33,2,162.0,1
10.8.8.178-198.7.63.141-7955-53-17,10.8.8.178,7955,198.7.63.141,53,2015-03-06 13:43:33,2,445.0,1
10.8.8.178-157.55.130.142-15685-40019-17,10.8.8.178,15685,157.55.130.142,40019,2015-03-06 13:42:44,2,61.0,1
10.8.8.178-157.55.130.154-15685-40034-17,10.8.8.178,15685,157.55.130.154,40034,2015-03-06 13:36:47,2,54.0,1
10.8.8.178-111.221.77.159-15685-40005-17,10.8.8.178,15685,111.221.77.159,40005,2015-03-06 13:36:47,6,1018.0,1
10.8.8.178-213.199.179.169-15685-40008-17,10.8.8.178,15685,213.199.179.169,40008,2015-03-06 13:36:47,2,54.0,1
10.8.8.178-64.4.23.159-15685-40005-17,10.8.8.178,15685,64.4.23.159,40005,2015-03-06 13:36:47,6,1042.0,1
