Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
91.190.216.125-10.8.8.130-12350-38182-6,91.190.216.125,12350,10.8.8.130,38182,2015-03-06 13:37:21,2,0.0,1
10.8.8.130-157.56.53.45-42261-12350-6,10.8.8.130,42261,157.56.53.45,12350,2015-03-06 13:40:28,3,10.0,1
10.8.8.130-67.18.187.111-32934-123-17,10.8.8.130,32934,67.18.187.111,123,2015-03-06 13:44:33,2,96.0,1
10.8.8.130-157.56.192.53-33104-443-6,10.8.8.130,33104,157.56.192.53,443,2015-03-06 13:47:25,14,3187.0,1
10.8.8.130-64.4.23.153-49539-40033-17,10.8.8.130,49539,64.4.23.153,40033,2015-03-06 13:36:45,8,658.0,1
10.8.8.130-157.55.56.169-49539-40006-17,10.8.8.130,49539,157.55.56.169,40006,2015-03-06 13:37:51,2,172.0,1
10.8.8.130-157.55.56.153-49539-40033-17,10.8.8.130,49539,157.55.56.153,40033,2015-03-06 13:36:45,10,755.0,1
10.8.8.130-157.56.52.27-49539-40034-17,10.8.8.130,49539,157.56.52.27,40034,2015-03-06 13:36:45,4,120.0,1
10.8.8.130-213.199.179.153-49539-40033-17,10.8.8.130,49539,213.199.179.153,40033,2015-03-06 13:36:45,8,658.0,1
10.8.8.130-111.221.74.27-49539-40034-17,10.8.8.130,49539,111.221.74.27,40034,2015-03-06 13:36:45,4,144.0,1
10.8.8.130-157.55.130.174-49539-40022-17,10.8.8.130,49539,157.55.130.174,40022,2015-03-06 13:36:45,4,528.0,1
10.8.8.130-157.55.130.154-49539-40010-17,10.8.8.130,49539,157.55.130.154,40010,2015-03-06 13:36:46,6,185.0,1
10.8.8.130-111.221.77.153-49539-40033-17,10.8.8.130,49539,111.221.77.153,40033,2015-03-06 13:36:46,8,684.0,1
10.8.8.130-157.55.130.168-49539-40019-17,10.8.8.130,49539,157.55.130.168,40019,2015-03-06 13:36:45,4,528.0,1
10.8.8.130-91.190.218.125-49539-12350-17,10.8.8.130,49539,91.190.218.125,12350,2015-03-06 13:37:03,6,180.0,1
10.8.8.130-64.4.23.162-51146-40019-6,10.8.8.130,51146,64.4.23.162,40019,2015-03-06 13:46:28,16,864.0,1
10.8.8.130-65.55.223.27-49539-40034-17,10.8.8.130,49539,65.55.223.27,40034,2015-03-06 13:36:46,2,55.0,1
10.8.8.130-157.55.235.155-49539-40034-17,10.8.8.130,49539,157.55.235.155,40034,2015-03-06 13:36:46,4,120.0,1
