Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.130-65.55.223.39-49539-443-17,10.8.8.130,49539,65.55.223.39,443,05/06/2015 10:49:05 a.m.,2,44.0,1
10.8.8.130-83.10.31.152-49539-45331-17,10.8.8.130,49539,83.10.31.152,45331,05/06/2015 10:47:36 a.m.,2,44.0,1
10.8.8.130-108.61.56.35-59576-123-17,10.8.8.130,59576,108.61.56.35,123,05/06/2015 10:10:37 a.m.,2,96.0,1
10.8.8.130-217.86.148.136-49539-32620-17,10.8.8.130,49539,217.86.148.136,32620,05/06/2015 09:50:56 a.m.,2,44.0,1
10.8.8.130-86.157.103.43-49539-20361-17,10.8.8.130,49539,86.157.103.43,20361,05/06/2015 10:03:20 a.m.,2,44.0,1
10.8.8.130-213.199.179.171-49539-443-17,10.8.8.130,49539,213.199.179.171,443,05/06/2015 10:25:23 a.m.,2,44.0,1
10.8.8.130-157.55.130.146-49539-443-17,10.8.8.130,49539,157.55.130.146,443,05/06/2015 10:47:36 a.m.,2,44.0,1
10.8.8.130-46.180.198.165-49539-6878-17,10.8.8.130,49539,46.180.198.165,6878,05/06/2015 10:20:13 a.m.,2,44.0,1
10.8.8.130-91.139.231.182-49539-20369-17,10.8.8.130,49539,91.139.231.182,20369,05/06/2015 10:47:11 a.m.,2,44.0,1
10.8.8.130-198.7.63.141-5077-53-17,10.8.8.130,5077,198.7.63.141,53,05/06/2015 10:27:51 a.m.,2,416.0,1
10.8.8.130-46.201.39.188-49539-30990-17,10.8.8.130,49539,46.201.39.188,30990,05/06/2015 10:29:22 a.m.,10,220.0,1
10.8.8.130-86.170.118.247-59914-12431-6,10.8.8.130,59914,86.170.118.247,12431,05/06/2015 10:22:21 a.m.,2,0.0,1
10.8.8.130-89.12.196.112-49539-26097-17,10.8.8.130,49539,89.12.196.112,26097,05/06/2015 10:31:21 a.m.,2,44.0,1
10.8.8.130-176.180.12.77-49539-59973-17,10.8.8.130,49539,176.180.12.77,59973,05/06/2015 10:21:56 a.m.,2,44.0,1
10.8.8.130-198.7.63.141-36631-53-17,10.8.8.130,36631,198.7.63.141,53,05/06/2015 10:26:22 a.m.,2,192.0,1
10.8.8.130-64.4.23.158-49539-40007-17,10.8.8.130,49539,64.4.23.158,40007,05/06/2015 10:28:29 a.m.,4,876.0,1
10.8.8.130-73.7.240.157-49539-38028-17,10.8.8.130,49539,73.7.240.157,38028,05/06/2015 10:01:55 a.m.,2,44.0,1
10.8.8.130-239.255.255.250-45080-1900-17,10.8.8.130,45080,239.255.255.250,1900,05/06/2015 10:25:21 a.m.,2,265.0,1
10.8.8.130-239.255.255.250-36389-1900-17,10.8.8.130,36389,239.255.255.250,1900,05/06/2015 10:32:31 a.m.,2,265.0,1
10.8.8.130-213.102.81.77-49539-39975-17,10.8.8.130,49539,213.102.81.77,39975,05/06/2015 10:20:58 a.m.,2,44.0,1
