Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.138-193.235.32.101-48631-80-6,10.8.8.138,48631,193.235.32.101,80,24/05/2015 11:41:20 a.m.,2,0.0,1
198.41.30.199-10.8.8.138-80-57111-6,198.41.30.199,80,10.8.8.138,57111,24/05/2015 11:54:26 a.m.,2,0.0,1
74.125.226.37-10.8.8.138-443-53285-6,74.125.226.37,443,10.8.8.138,53285,24/05/2015 12:04:29 p.m.,2,0.0,1
54.192.55.186-10.8.8.138-80-38629-6,54.192.55.186,80,10.8.8.138,38629,24/05/2015 11:41:32 a.m.,2,0.0,1
10.8.8.138-74.125.226.40-52719-443-6,10.8.8.138,52719,74.125.226.40,443,24/05/2015 12:41:21 p.m.,2,0.0,1
10.8.8.138-74.125.226.46-37123-443-6,10.8.8.138,37123,74.125.226.46,443,24/05/2015 12:31:58 p.m.,2,0.0,1
74.125.226.63-10.8.8.138-443-56857-6,74.125.226.63,443,10.8.8.138,56857,24/05/2015 11:54:15 a.m.,2,0.0,1
10.8.8.138-74.125.226.71-43676-443-17,10.8.8.138,43676,74.125.226.71,443,24/05/2015 11:54:50 a.m.,23,14589.0,1
10.8.8.138-74.125.226.63-56862-443-6,10.8.8.138,56862,74.125.226.63,443,24/05/2015 12:04:31 p.m.,2,0.0,1
24.156.140.49-10.8.8.138-443-47270-6,24.156.140.49,443,10.8.8.138,47270,24/05/2015 11:41:43 a.m.,2,0.0,1
10.8.8.138-131.202.244.3-16082-53-17,10.8.8.138,16082,131.202.244.3,53,24/05/2015 12:08:13 p.m.,2,66.0,1
10.8.8.138-74.125.226.35-50093-443-17,10.8.8.138,50093,74.125.226.35,443,24/05/2015 12:14:45 p.m.,3,2737.0,1
54.230.52.100-10.8.8.138-443-33878-6,54.230.52.100,443,10.8.8.138,33878,24/05/2015 11:41:43 a.m.,2,0.0,1
10.8.8.138-74.125.226.32-51784-443-17,10.8.8.138,51784,74.125.226.32,443,24/05/2015 12:12:22 p.m.,21,15821.0,1
10.8.8.138-74.125.226.55-46514-443-17,10.8.8.138,46514,74.125.226.55,443,24/05/2015 11:44:15 a.m.,17,10667.0,1
10.8.8.138-74.125.226.33-57976-443-6,10.8.8.138,57976,74.125.226.33,443,24/05/2015 11:47:50 a.m.,2,0.0,1
10.8.8.138-74.125.226.63-56871-443-6,10.8.8.138,56871,74.125.226.63,443,24/05/2015 12:21:29 p.m.,2,0.0,1
74.125.226.47-10.8.8.138-443-45326-6,74.125.226.47,443,10.8.8.138,45326,24/05/2015 11:48:54 a.m.,2,0.0,1
10.8.8.138-131.202.244.3-46664-53-17,10.8.8.138,46664,131.202.244.3,53,24/05/2015 12:09:23 p.m.,2,74.0,1
10.8.8.138-74.125.226.63-55316-443-17,10.8.8.138,55316,74.125.226.63,443,24/05/2015 12:17:29 p.m.,7,3432.0,1
10.8.8.138-131.202.244.3-24478-53-17,10.8.8.138,24478,131.202.244.3,53,24/05/2015 12:11:09 p.m.,2,78.0,1
10.8.8.138-74.125.226.35-52548-443-17,10.8.8.138,52548,74.125.226.35,443,24/05/2015 12:14:46 p.m.,3,2737.0,1
10.8.8.138-74.125.226.47-41951-443-17,10.8.8.138,41951,74.125.226.47,443,24/05/2015 12:28:35 p.m.,6,3412.0,1
10.8.8.138-74.125.226.32-33832-443-6,10.8.8.138,33832,74.125.226.32,443,24/05/2015 12:18:46 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-50223-53-17,10.8.8.138,50223,131.202.244.3,53,24/05/2015 12:28:35 p.m.,2,66.0,1
10.8.8.138-74.125.226.40-41928-443-17,10.8.8.138,41928,74.125.226.40,443,24/05/2015 12:37:20 p.m.,7,3904.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,24/05/2015 12:45:37 p.m.,2,0.0,1
10.8.8.138-74.125.226.35-49132-443-17,10.8.8.138,49132,74.125.226.35,443,24/05/2015 12:24:47 p.m.,8,6191.0,1
10.8.8.138-216.58.219.205-37960-443-17,10.8.8.138,37960,216.58.219.205,443,24/05/2015 12:27:56 p.m.,19,10758.0,1
10.8.8.138-131.202.244.3-10128-53-17,10.8.8.138,10128,131.202.244.3,53,24/05/2015 12:24:47 p.m.,2,82.0,1
10.8.8.138-131.202.244.3-6986-53-17,10.8.8.138,6986,131.202.244.3,53,24/05/2015 12:14:45 p.m.,2,74.0,1
10.8.8.138-131.202.244.3-37784-53-17,10.8.8.138,37784,131.202.244.3,53,24/05/2015 11:54:26 a.m.,2,76.0,1
10.8.8.138-131.202.244.3-18988-53-17,10.8.8.138,18988,131.202.244.3,53,24/05/2015 12:17:28 p.m.,2,66.0,1
10.8.8.138-74.125.226.63-56856-443-6,10.8.8.138,56856,74.125.226.63,443,24/05/2015 11:58:05 a.m.,2,0.0,1
10.8.8.138-74.125.226.63-33588-443-17,10.8.8.138,33588,74.125.226.63,443,24/05/2015 12:00:30 p.m.,6,3411.0,1
10.8.8.138-74.125.226.40-33262-443-17,10.8.8.138,33262,74.125.226.40,443,24/05/2015 11:54:49 a.m.,17,13134.0,1
10.8.8.138-131.202.244.3-60959-53-17,10.8.8.138,60959,131.202.244.3,53,24/05/2015 12:37:20 p.m.,2,74.0,1
74.125.226.56-10.8.8.138-443-38002-6,74.125.226.56,443,10.8.8.138,38002,24/05/2015 12:42:04 p.m.,2,0.0,1
10.8.8.138-74.125.226.32-42030-443-17,10.8.8.138,42030,74.125.226.32,443,24/05/2015 12:12:22 p.m.,12,4593.0,1
10.8.8.138-131.202.244.3-47022-53-17,10.8.8.138,47022,131.202.244.3,53,24/05/2015 12:41:54 p.m.,2,66.0,1
10.8.8.138-131.202.244.3-41150-53-17,10.8.8.138,41150,131.202.244.3,53,24/05/2015 12:27:56 p.m.,2,74.0,1
10.8.8.138-74.125.226.47-39020-443-17,10.8.8.138,39020,74.125.226.47,443,24/05/2015 11:48:43 a.m.,7,3434.0,1
10.8.8.138-131.202.244.3-31162-53-17,10.8.8.138,31162,131.202.244.3,53,24/05/2015 11:54:05 a.m.,2,66.0,1
10.8.8.138-108.160.170.38-43577-443-6,10.8.8.138,43577,108.160.170.38,443,24/05/2015 12:44:15 p.m.,9,2589.0,1
10.8.8.138-74.125.226.56-54454-443-17,10.8.8.138,54454,74.125.226.56,443,24/05/2015 12:41:54 p.m.,7,3433.0,1
10.8.8.138-131.202.244.3-1643-53-17,10.8.8.138,1643,131.202.244.3,53,24/05/2015 11:41:56 a.m.,2,76.0,1
10.8.8.138-74.125.226.69-39029-443-17,10.8.8.138,39029,74.125.226.69,443,24/05/2015 12:24:47 p.m.,15,7641.0,1
10.8.8.138-74.125.226.55-38380-443-17,10.8.8.138,38380,74.125.226.55,443,24/05/2015 12:08:13 p.m.,7,3432.0,1
10.8.8.138-194.132.198.82-35523-4070-6,10.8.8.138,35523,194.132.198.82,4070,24/05/2015 12:45:21 p.m.,2,11.0,1
10.8.8.138-131.202.244.3-53352-53-17,10.8.8.138,53352,131.202.244.3,53,24/05/2015 11:43:50 a.m.,2,74.0,1
10.8.8.138-74.125.226.69-51748-443-6,10.8.8.138,51748,74.125.226.69,443,24/05/2015 12:28:48 p.m.,2,0.0,1
10.8.8.138-74.125.226.33-45451-443-17,10.8.8.138,45451,74.125.226.33,443,24/05/2015 11:43:50 a.m.,3,2737.0,1
10.8.8.138-74.125.226.46-35247-443-17,10.8.8.138,35247,74.125.226.46,443,24/05/2015 12:27:57 p.m.,7,4614.0,1
10.8.8.138-74.125.226.47-45325-443-6,10.8.8.138,45325,74.125.226.47,443,24/05/2015 11:52:44 a.m.,2,0.0,1
10.8.8.138-74.125.226.40-52699-443-6,10.8.8.138,52699,74.125.226.40,443,24/05/2015 11:58:50 a.m.,2,0.0,1
10.8.8.138-131.202.244.3-31792-53-17,10.8.8.138,31792,131.202.244.3,53,24/05/2015 12:04:18 p.m.,2,74.0,1
10.8.8.138-74.125.226.55-44233-443-6,10.8.8.138,44233,74.125.226.55,443,24/05/2015 12:12:14 p.m.,2,0.0,1
10.8.8.138-74.125.226.40-42623-443-17,10.8.8.138,42623,74.125.226.40,443,24/05/2015 12:37:20 p.m.,30,22252.0,1
198.41.30.199-10.8.8.138-80-57112-6,198.41.30.199,80,10.8.8.138,57112,24/05/2015 11:54:27 a.m.,2,0.0,1
10.8.8.138-74.125.226.63-41914-443-17,10.8.8.138,41914,74.125.226.63,443,24/05/2015 11:54:05 a.m.,7,3433.0,1
10.8.8.138-74.125.226.48-57978-443-6,10.8.8.138,57978,74.125.226.48,443,24/05/2015 11:44:52 a.m.,2,0.0,1
10.8.8.138-74.125.226.40-52197-443-17,10.8.8.138,52197,74.125.226.40,443,24/05/2015 12:39:06 p.m.,3,2737.0,1
10.8.8.138-74.125.226.55-44220-443-6,10.8.8.138,44220,74.125.226.55,443,24/05/2015 11:48:16 a.m.,2,0.0,1
74.125.226.37-10.8.8.138-443-53284-6,74.125.226.37,443,10.8.8.138,53284,24/05/2015 12:08:19 p.m.,3,0.0,1
10.8.8.138-131.202.244.3-50381-53-17,10.8.8.138,50381,131.202.244.3,53,24/05/2015 11:54:49 a.m.,2,82.0,1
10.8.8.138-131.202.244.3-17264-53-17,10.8.8.138,17264,131.202.244.3,53,24/05/2015 11:48:43 a.m.,2,66.0,1
10.8.8.138-74.125.226.47-45349-443-6,10.8.8.138,45349,74.125.226.47,443,24/05/2015 12:32:35 p.m.,2,0.0,1
10.8.8.138-74.125.226.32-57596-443-17,10.8.8.138,57596,74.125.226.32,443,24/05/2015 12:09:23 p.m.,48,35219.0,1
10.8.8.138-74.125.226.35-54113-443-6,10.8.8.138,54113,74.125.226.35,443,24/05/2015 12:28:47 p.m.,2,0.0,1
74.125.226.32-10.8.8.138-443-33834-6,74.125.226.32,443,10.8.8.138,33834,24/05/2015 12:18:46 p.m.,3,0.0,1
10.8.8.138-74.125.226.37-39794-443-17,10.8.8.138,39794,74.125.226.37,443,24/05/2015 12:04:18 p.m.,7,4610.0,1
10.8.8.138-216.58.219.205-37008-443-6,10.8.8.138,37008,216.58.219.205,443,24/05/2015 12:31:57 p.m.,3,0.0,1
10.8.8.138-131.202.244.3-2291-53-17,10.8.8.138,2291,131.202.244.3,53,24/05/2015 11:44:15 a.m.,2,66.0,1
10.8.8.138-74.125.226.40-52718-443-6,10.8.8.138,52718,74.125.226.40,443,24/05/2015 12:43:06 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-17988-53-17,10.8.8.138,17988,131.202.244.3,53,24/05/2015 12:00:30 p.m.,2,66.0,1
74.125.226.63-10.8.8.138-443-56863-6,74.125.226.63,443,10.8.8.138,56863,24/05/2015 12:00:41 p.m.,2,0.0,1
10.8.8.138-74.125.226.56-38001-443-6,10.8.8.138,38001,74.125.226.56,443,24/05/2015 12:45:54 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-35059-53-17,10.8.8.138,35059,131.202.244.3,53,24/05/2015 11:41:19 a.m.,2,78.0,1
10.8.8.138-131.202.244.3-33474-53-17,10.8.8.138,33474,131.202.244.3,53,24/05/2015 12:16:44 p.m.,2,76.0,1
10.8.8.138-74.125.226.71-43241-443-6,10.8.8.138,43241,74.125.226.71,443,24/05/2015 11:58:50 a.m.,2,0.0,1
10.8.8.138-24.156.130.203-55782-80-6,10.8.8.138,55782,24.156.130.203,80,24/05/2015 12:43:36 p.m.,8912,7657737.0,1
10.8.8.138-193.235.32.101-48631-80-6,10.8.8.138,48631,193.235.32.101,80,24/05/2015 11:41:20 a.m.,8,672.0,1
10.8.8.138-54.192.55.186-38629-80-6,10.8.8.138,38629,54.192.55.186,80,24/05/2015 11:41:21 a.m.,8,1315.0,1
131.202.240.150-131.202.1.77-38727-443-6,131.202.240.150,38727,131.202.1.77,443,24/05/2015 11:41:16 a.m.,2,0.0,1
10.8.8.138-54.230.52.100-33878-443-6,10.8.8.138,33878,54.230.52.100,443,24/05/2015 11:41:24 a.m.,4,0.0,1
10.8.8.138-24.156.140.49-47270-443-6,10.8.8.138,47270,24.156.140.49,443,24/05/2015 11:41:24 a.m.,4,0.0,1
131.202.240.150-74.125.226.47-34941-80-6,131.202.240.150,34941,74.125.226.47,80,24/05/2015 11:41:18 a.m.,2,0.0,1
131.202.240.150-74.125.226.52-60077-80-6,131.202.240.150,60077,74.125.226.52,80,24/05/2015 11:41:18 a.m.,2,0.0,1
131.202.240.150-74.125.226.47-34943-80-6,131.202.240.150,34943,74.125.226.47,80,24/05/2015 11:41:18 a.m.,2,0.0,1
131.202.240.150-216.58.219.205-39222-443-6,131.202.240.150,39222,216.58.219.205,443,24/05/2015 11:41:19 a.m.,2,0.0,1
131.202.240.150-216.58.219.195-46433-443-6,131.202.240.150,46433,216.58.219.195,443,24/05/2015 11:41:19 a.m.,2,0.0,1
131.202.240.150-74.125.226.58-46676-443-6,131.202.240.150,46676,74.125.226.58,443,24/05/2015 11:41:19 a.m.,2,0.0,1
131.202.240.150-74.125.226.39-41166-443-6,131.202.240.150,41166,74.125.226.39,443,24/05/2015 11:41:19 a.m.,2,0.0,1
131.202.240.150-74.125.226.58-46647-443-6,131.202.240.150,46647,74.125.226.58,443,24/05/2015 11:41:19 a.m.,2,0.0,1
