Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.222-224.0.0.252-62589-5355-17,10.8.8.222,62589,224.0.0.252,5355,22/05/2015 01:27:53 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-56845-5355-17,10.8.8.222,56845,224.0.0.252,5355,22/05/2015 12:37:01 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-53263-5355-17,10.8.8.222,53263,224.0.0.252,5355,22/05/2015 01:07:49 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-61592-5355-17,10.8.8.222,61592,224.0.0.252,5355,22/05/2015 01:17:13 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-59434-5355-17,10.8.8.222,59434,224.0.0.252,5355,22/05/2015 01:17:47 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-61153-5355-17,10.8.8.222,61153,224.0.0.252,5355,22/05/2015 12:36:23 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-52377-5355-17,10.8.8.222,52377,224.0.0.252,5355,22/05/2015 12:51:52 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-53139-5355-17,10.8.8.222,53139,224.0.0.252,5355,22/05/2015 01:32:10 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-51919-5355-17,10.8.8.222,51919,224.0.0.252,5355,22/05/2015 01:11:56 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-64640-53-17,10.8.8.222,64640,198.7.63.141,53,22/05/2015 01:16:44 p.m.,2,114.0,1
10.8.8.222-198.7.63.141-58647-53-17,10.8.8.222,58647,198.7.63.141,53,22/05/2015 12:51:46 p.m.,2,220.0,1
10.8.8.222-217.147.208.1-13463-123-17,10.8.8.222,13463,217.147.208.1,123,22/05/2015 01:03:00 p.m.,2,96.0,1
10.8.8.222-224.0.0.252-59419-5355-17,10.8.8.222,59419,224.0.0.252,5355,22/05/2015 01:17:10 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-61868-53-17,10.8.8.222,61868,198.7.63.141,53,22/05/2015 01:06:41 p.m.,2,112.0,1
10.8.8.222-198.7.63.141-65344-53-17,10.8.8.222,65344,198.7.63.141,53,22/05/2015 01:01:36 p.m.,2,114.0,1
10.8.8.222-224.0.0.252-56335-5355-17,10.8.8.222,56335,224.0.0.252,5355,22/05/2015 01:06:39 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-60940-5355-17,10.8.8.222,60940,224.0.0.252,5355,22/05/2015 12:47:47 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-49260-5355-17,10.8.8.222,49260,224.0.0.252,5355,22/05/2015 01:27:16 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-51359-5355-17,10.8.8.222,51359,224.0.0.252,5355,22/05/2015 01:22:13 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-51115-5355-17,10.8.8.222,51115,224.0.0.252,5355,22/05/2015 12:47:04 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-63401-53-17,10.8.8.222,63401,198.7.63.141,53,22/05/2015 12:51:01 p.m.,2,212.0,1
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,22/05/2015 01:31:20 p.m.,11960,992680.0,1
10.8.8.222-224.0.0.252-62905-5355-17,10.8.8.222,62905,224.0.0.252,5355,22/05/2015 01:05:15 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-50527-5355-17,10.8.8.222,50527,224.0.0.252,5355,22/05/2015 01:12:58 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-62363-5355-17,10.8.8.222,62363,224.0.0.252,5355,22/05/2015 01:33:02 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-53375-5355-17,10.8.8.222,53375,224.0.0.252,5355,22/05/2015 12:52:44 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-50571-5355-17,10.8.8.222,50571,224.0.0.252,5355,22/05/2015 12:52:01 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-58643-5355-17,10.8.8.222,58643,224.0.0.252,5355,22/05/2015 12:47:04 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-56848-5355-17,10.8.8.222,56848,224.0.0.252,5355,22/05/2015 12:41:58 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-57256-5355-17,10.8.8.222,57256,224.0.0.252,5355,22/05/2015 12:51:50 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-57091-5355-17,10.8.8.222,57091,224.0.0.252,5355,22/05/2015 01:18:00 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-52761-5355-17,10.8.8.222,52761,224.0.0.252,5355,22/05/2015 12:41:49 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-49944-53-17,10.8.8.222,49944,198.7.63.141,53,22/05/2015 12:56:36 p.m.,2,112.0,1
10.8.8.222-224.0.0.252-64721-5355-17,10.8.8.222,64721,224.0.0.252,5355,22/05/2015 12:42:38 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-56939-5355-17,10.8.8.222,56939,224.0.0.252,5355,22/05/2015 12:51:58 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-61914-5355-17,10.8.8.222,61914,224.0.0.252,5355,22/05/2015 01:07:08 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-53773-5355-17,10.8.8.222,53773,224.0.0.252,5355,22/05/2015 01:02:46 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-60093-5355-17,10.8.8.222,60093,224.0.0.252,5355,22/05/2015 01:15:18 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-52834-5355-17,10.8.8.222,52834,224.0.0.252,5355,22/05/2015 01:18:03 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-50707-5355-17,10.8.8.222,50707,224.0.0.252,5355,22/05/2015 12:57:06 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-54591-5355-17,10.8.8.222,54591,224.0.0.252,5355,22/05/2015 12:37:38 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-59908-5355-17,10.8.8.222,59908,224.0.0.252,5355,22/05/2015 01:07:42 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-60624-5355-17,10.8.8.222,60624,224.0.0.252,5355,22/05/2015 01:32:10 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-57548-5355-17,10.8.8.222,57548,224.0.0.252,5355,22/05/2015 12:37:01 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-50762-53-17,10.8.8.222,50762,198.7.63.141,53,22/05/2015 12:51:01 p.m.,2,212.0,1
10.8.8.222-198.7.63.141-49943-53-17,10.8.8.222,49943,198.7.63.141,53,22/05/2015 12:56:35 p.m.,2,112.0,1
10.8.8.222-224.0.0.252-60288-5355-17,10.8.8.222,60288,224.0.0.252,5355,22/05/2015 12:46:45 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-53283-5355-17,10.8.8.222,53283,224.0.0.252,5355,22/05/2015 01:07:52 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-13458-53-17,10.8.8.222,13458,198.7.63.141,53,22/05/2015 12:42:58 p.m.,2,512.0,1
10.8.8.222-224.0.0.252-62194-5355-17,10.8.8.222,62194,224.0.0.252,5355,22/05/2015 01:27:16 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-58245-5355-17,10.8.8.222,58245,224.0.0.252,5355,22/05/2015 12:47:07 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-64092-5355-17,10.8.8.222,64092,224.0.0.252,5355,22/05/2015 01:07:11 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-50230-5355-17,10.8.8.222,50230,224.0.0.252,5355,22/05/2015 12:52:44 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-49484-5355-17,10.8.8.222,49484,224.0.0.252,5355,22/05/2015 12:42:04 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-64396-5355-17,10.8.8.222,64396,224.0.0.252,5355,22/05/2015 01:16:44 p.m.,2,44.0,1
10.8.8.222-224.0.0.252-52145-5355-17,10.8.8.222,52145,224.0.0.252,5355,22/05/2015 01:32:50 p.m.,2,44.0,1
10.8.8.222-198.7.63.141-13464-53-17,10.8.8.222,13464,198.7.63.141,53,22/05/2015 01:13:00 p.m.,2,512.0,1
