Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.3-40450-53-17,131.202.240.150,40450,131.202.244.3,53,2015-01-04 12:09:37,2,271.0,0
131.202.240.150-54.214.241.115-41994-80-6,131.202.240.150,41994,54.214.241.115,80,2015-01-04 12:09:45,2,0.0,0
131.202.240.150-23.21.254.131-40763-80-6,131.202.240.150,40763,23.21.254.131,80,2015-01-04 12:09:51,2,0.0,0
131.202.240.150-131.202.244.5-40866-53-17,131.202.240.150,40866,131.202.244.5,53,2015-01-04 12:12:34,2,251.0,0
131.202.240.150-131.202.244.5-29652-53-17,131.202.240.150,29652,131.202.244.5,53,2015-01-04 12:12:45,2,252.0,0
54.230.55.187-131.202.240.150-80-53454-6,54.230.55.187,80,131.202.240.150,53454,2015-01-04 12:10:46,2,0.0,0
131.202.240.150-131.202.244.3-40866-53-17,131.202.240.150,40866,131.202.244.3,53,2015-01-04 12:12:34,2,251.0,0
131.202.240.150-131.202.244.5-52729-53-17,131.202.240.150,52729,131.202.244.5,53,2015-01-04 12:14:45,2,114.0,0
131.202.240.150-131.202.244.5-22476-53-17,131.202.240.150,22476,131.202.244.5,53,2015-01-04 12:12:45,2,249.0,0
131.202.240.150-131.202.244.3-21687-53-17,131.202.240.150,21687,131.202.244.3,53,2015-01-04 12:09:37,2,300.0,0
216.58.219.230-131.202.240.150-443-34199-6,216.58.219.230,443,131.202.240.150,34199,2015-01-04 12:10:00,3,0.0,0
54.83.28.184-131.202.240.150-443-59040-6,54.83.28.184,443,131.202.240.150,59040,2015-01-04 12:09:51,2,0.0,0
184.29.105.112-131.202.240.150-80-55562-6,184.29.105.112,80,131.202.240.150,55562,2015-01-04 12:10:42,2,0.0,0
131.202.240.150-54.174.81.144-57789-80-6,131.202.240.150,57789,54.174.81.144,80,2015-01-04 12:09:50,2,0.0,0
131.202.240.150-131.202.244.3-58656-53-17,131.202.240.150,58656,131.202.244.3,53,2015-01-04 12:09:37,2,317.0,0
131.202.240.150-131.202.244.5-57197-53-17,131.202.240.150,57197,131.202.244.5,53,2015-01-04 12:14:45,2,114.0,0
131.202.240.150-131.202.244.3-21193-53-17,131.202.240.150,21193,131.202.244.3,53,2015-01-04 12:15:45,2,409.0,0
131.202.240.150-131.202.244.5-21193-53-17,131.202.240.150,21193,131.202.244.5,53,2015-01-04 12:15:45,2,249.0,0
131.202.240.150-54.236.122.124-58339-80-6,131.202.240.150,58339,54.236.122.124,80,2015-01-04 12:09:30,2,0.0,0
131.202.240.150-131.202.244.3-50157-53-17,131.202.240.150,50157,131.202.244.3,53,2015-01-04 12:09:37,2,410.0,0
23.209.100.136-131.202.240.150-80-45040-6,23.209.100.136,80,131.202.240.150,45040,2015-01-04 12:10:45,2,0.0,0
131.202.240.150-131.202.244.3-19086-53-17,131.202.240.150,19086,131.202.244.3,53,2015-01-04 12:09:37,2,241.0,0
173.194.204.95-131.202.240.150-443-34620-6,173.194.204.95,443,131.202.240.150,34620,2015-01-04 12:09:48,3,0.0,0
216.58.219.226-131.202.240.150-80-46867-6,216.58.219.226,80,131.202.240.150,46867,2015-01-04 12:10:22,2,0.0,0
131.202.240.150-131.202.244.5-2806-53-17,131.202.240.150,2806,131.202.244.5,53,2015-01-04 12:09:25,2,249.0,0
208.71.121.194-131.202.240.150-80-51777-6,208.71.121.194,80,131.202.240.150,51777,2015-01-04 12:10:04,2,0.0,0
131.202.240.150-173.194.123.127-53719-443-6,131.202.240.150,53719,173.194.123.127,443,2015-01-04 12:11:40,2,0.0,0
131.202.240.150-131.202.6.3-45026-53-17,131.202.240.150,45026,131.202.6.3,53,2015-01-04 12:10:45,2,249.0,0
216.58.219.238-131.202.240.150-443-47906-6,216.58.219.238,443,131.202.240.150,47906,2015-01-04 12:10:00,3,0.0,0
216.58.219.226-131.202.240.150-80-47038-6,216.58.219.226,80,131.202.240.150,47038,2015-01-04 12:10:44,2,0.0,0
216.58.219.226-131.202.240.150-443-43115-6,216.58.219.226,443,131.202.240.150,43115,2015-01-04 12:09:21,3,0.0,0
173.194.20.107-131.202.240.150-443-44157-6,173.194.20.107,443,131.202.240.150,44157,2015-01-04 12:09:11,4,0.0,0
131.202.240.150-23.235.40.239-41832-80-6,131.202.240.150,41832,23.235.40.239,80,2015-01-04 12:09:14,2,0.0,0
131.202.240.150-131.202.244.3-27131-53-17,131.202.240.150,27131,131.202.244.3,53,2015-01-04 12:09:30,2,119.0,0
209.148.205.8-131.202.240.150-80-57082-6,209.148.205.8,80,131.202.240.150,57082,2015-01-04 12:10:27,2,0.0,0
182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,2015-01-04 12:10:03,4,0.0,0
74.125.22.95-131.202.240.150-80-39792-6,74.125.22.95,80,131.202.240.150,39792,2015-01-04 12:10:26,2,0.0,0
131.202.240.150-199.212.24.175-58936-443-6,131.202.240.150,58936,199.212.24.175,443,2015-01-04 12:09:38,5,0.0,0
131.202.240.150-131.202.6.3-2806-53-17,131.202.240.150,2806,131.202.6.3,53,2015-01-04 12:09:25,2,249.0,0
131.202.240.150-131.202.244.3-65163-53-17,131.202.240.150,65163,131.202.244.3,53,2015-01-04 12:09:30,2,119.0,0
131.202.240.150-131.202.6.3-40106-53-17,131.202.240.150,40106,131.202.6.3,53,2015-01-04 12:11:45,2,249.0,0
131.202.240.150-54.163.236.35-41140-80-6,131.202.240.150,41140,54.163.236.35,80,2015-01-04 12:09:46,2,0.0,0
184.29.105.153-131.202.240.150-80-51403-6,184.29.105.153,80,131.202.240.150,51403,2015-01-04 12:11:00,2,0.0,0
131.202.240.150-131.202.244.3-45026-53-17,131.202.240.150,45026,131.202.244.3,53,2015-01-04 12:10:45,2,409.0,0
216.58.219.227-131.202.240.150-443-51415-6,216.58.219.227,443,131.202.240.150,51415,2015-01-04 12:10:04,3,0.0,0
131.202.240.150-131.202.244.3-64027-53-17,131.202.240.150,64027,131.202.244.3,53,2015-01-04 12:09:37,2,264.0,0
184.29.105.106-131.202.240.150-80-45466-6,184.29.105.106,80,131.202.240.150,45466,2015-01-04 12:10:28,2,0.0,0
