Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-131.202.244.3-60265-53-17,131.202.240.150,60265,131.202.244.3,53,2015-01-04 12:25:36,1,1,31.0,378.0,0
216.58.219.238-131.202.240.150-443-48016-6,216.58.219.238,443,131.202.240.150,48016,2015-01-04 12:23:37,3,0,0.0,0.0,0
131.202.240.150-131.202.244.3-19083-53-17,131.202.240.150,19083,131.202.244.3,53,2015-01-04 12:25:06,1,1,32.0,82.0,0
131.202.240.150-131.202.244.5-60265-53-17,131.202.240.150,60265,131.202.244.5,53,2015-01-04 12:25:36,1,1,31.0,218.0,0
131.202.240.150-131.202.244.3-37758-53-17,131.202.240.150,37758,131.202.244.3,53,2015-01-04 12:25:12,1,1,29.0,373.0,0
131.202.240.150-131.202.244.3-44737-53-17,131.202.240.150,44737,131.202.244.3,53,2015-01-04 12:16:59,1,1,54.0,246.0,0
131.202.240.150-131.202.244.5-37287-53-17,131.202.240.150,37287,131.202.244.5,53,2015-01-04 12:22:36,1,1,31.0,218.0,0
131.202.240.150-131.202.244.3-15447-53-17,131.202.240.150,15447,131.202.244.3,53,2015-01-04 12:16:57,1,1,29.0,373.0,0
131.202.240.150-89.31.101.136-52608-443-6,131.202.240.150,52608,89.31.101.136,443,2015-01-04 12:17:01,1,1,0.0,0.0,0
131.202.240.150-131.202.244.3-37287-53-17,131.202.240.150,37287,131.202.244.3,53,2015-01-04 12:22:36,1,1,31.0,378.0,0
131.202.240.150-131.202.244.3-52084-53-17,131.202.240.150,52084,131.202.244.3,53,2015-01-04 12:17:00,1,1,35.0,212.0,0
173.194.123.127-131.202.240.150-443-54087-6,173.194.123.127,443,131.202.240.150,54087,2015-01-04 12:26:11,3,0,0.0,0.0,0
131.202.240.150-131.202.244.5-36257-53-17,131.202.240.150,36257,131.202.244.5,53,2015-01-04 12:22:38,1,1,29.0,210.0,0
131.202.240.150-131.202.244.5-8207-53-17,131.202.240.150,8207,131.202.244.5,53,2015-01-04 12:27:37,1,1,31.0,218.0,0
199.212.24.172-131.202.240.150-443-56874-6,199.212.24.172,443,131.202.240.150,56874,2015-01-04 12:18:11,4,1,0.0,0.0,0
131.202.240.150-131.202.244.3-56373-53-17,131.202.240.150,56373,131.202.244.3,53,2015-01-04 12:17:00,1,1,35.0,212.0,0
131.202.240.150-131.202.244.5-22537-53-17,131.202.240.150,22537,131.202.244.5,53,2015-01-04 12:20:06,1,1,22.0,97.0,0
131.202.240.150-131.202.6.3-11710-53-17,131.202.240.150,11710,131.202.6.3,53,2015-01-04 12:18:06,1,1,31.0,218.0,0
131.202.240.150-131.202.244.3-52777-53-17,131.202.240.150,52777,131.202.244.3,53,2015-01-04 12:16:57,1,1,54.0,246.0,0
131.202.240.150-131.202.244.3-52236-53-17,131.202.240.150,52236,131.202.244.3,53,2015-01-04 12:16:59,1,1,54.0,246.0,0
131.202.240.150-131.202.6.3-59652-53-17,131.202.240.150,59652,131.202.6.3,53,2015-01-04 12:25:06,1,1,32.0,82.0,0
74.125.226.52-131.202.240.150-443-41524-6,74.125.226.52,443,131.202.240.150,41524,2015-01-04 12:18:05,3,0,0.0,0.0,0
131.202.240.150-131.202.244.5-8889-53-17,131.202.240.150,8889,131.202.244.5,53,2015-01-04 12:20:06,1,1,32.0,82.0,0
216.58.219.226-131.202.240.150-443-43453-6,216.58.219.226,443,131.202.240.150,43453,2015-01-04 12:18:00,3,0,0.0,0.0,0
131.202.240.150-199.212.24.174-443-44286-6,131.202.240.150,443,199.212.24.174,44286,2015-01-04 12:16:59,2,0,0.0,0.0,0
131.202.240.150-131.202.244.5-3433-53-17,131.202.240.150,3433,131.202.244.5,53,2015-01-04 12:26:37,1,1,31.0,218.0,0
131.202.240.150-216.58.219.227-51564-443-6,131.202.240.150,51564,216.58.219.227,443,2015-01-04 12:26:40,1,1,0.0,0.0,0
131.202.240.150-131.202.6.3-8207-53-17,131.202.240.150,8207,131.202.6.3,53,2015-01-04 12:27:37,1,1,31.0,218.0,0
163.177.71.11-131.202.240.150-0-0-0,163.177.71.11,0,131.202.240.150,0,2015-01-04 12:26:06,1,1,0.0,0.0,0
131.202.240.150-224.0.0.22-0-0-0,131.202.240.150,0,224.0.0.22,0,2015-01-04 12:26:48,3,0,0.0,0.0,0
131.202.240.150-131.202.244.3-59719-53-17,131.202.240.150,59719,131.202.244.3,53,2015-01-04 12:23:36,1,1,31.0,378.0,0
131.202.240.150-131.202.244.5-59719-53-17,131.202.240.150,59719,131.202.244.5,53,2015-01-04 12:23:36,1,1,31.0,218.0,0
216.58.219.238-131.202.240.150-443-48015-6,216.58.219.238,443,131.202.240.150,48015,2015-01-04 12:21:05,3,0,0.0,0.0,0
131.202.240.150-131.202.244.3-41792-53-17,131.202.240.150,41792,131.202.244.3,53,2015-01-04 12:24:18,1,1,29.0,370.0,0
131.202.240.150-89.31.101.136-52610-443-6,131.202.240.150,52610,89.31.101.136,443,2015-01-04 12:17:01,1,1,0.0,0.0,0
131.202.240.150-131.202.244.5-33056-53-17,131.202.240.150,33056,131.202.244.5,53,2015-01-04 12:20:06,1,1,32.0,82.0,0
131.202.240.150-131.202.6.3-40933-53-17,131.202.240.150,40933,131.202.6.3,53,2015-01-04 12:20:06,1,1,32.0,82.0,0
173.194.123.106-131.202.240.150-443-57912-6,173.194.123.106,443,131.202.240.150,57912,2015-01-04 12:26:11,3,0,0.0,0.0,0
131.202.240.150-131.202.244.3-5041-53-17,131.202.240.150,5041,131.202.244.3,53,2015-01-04 12:25:06,1,1,32.0,82.0,0
131.202.240.150-131.202.244.3-39540-53-17,131.202.240.150,39540,131.202.244.3,53,2015-01-04 12:25:12,1,1,33.0,240.0,0
131.202.240.150-131.202.244.3-1630-53-17,131.202.240.150,1630,131.202.244.3,53,2015-01-04 12:16:55,1,1,34.0,141.0,0
131.202.240.150-131.202.6.3-3433-53-17,131.202.240.150,3433,131.202.6.3,53,2015-01-04 12:26:37,1,1,31.0,218.0,0
131.202.240.150-131.202.244.5-4003-53-17,131.202.240.150,4003,131.202.244.5,53,2015-01-04 12:20:06,1,1,31.0,218.0,0
131.202.240.150-131.202.6.3-41792-53-17,131.202.240.150,41792,131.202.6.3,53,2015-01-04 12:24:18,1,1,29.0,370.0,0
