Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-216.58.219.238-48056-443-6,131.202.240.150,48056,216.58.219.238,443,01/04/2015 12:38:09 p.m.,2,0.0,0
131.202.240.150-131.202.6.3-2255-53-17,131.202.240.150,2255,131.202.6.3,53,01/04/2015 12:41:09 p.m.,2,253.0,0
131.202.240.150-131.202.244.5-25280-53-17,131.202.240.150,25280,131.202.244.5,53,01/04/2015 12:47:35 p.m.,2,464.0,0
131.202.240.150-216.58.219.238-48205-443-6,131.202.240.150,48205,216.58.219.238,443,01/04/2015 12:33:44 p.m.,14,997.0,0
131.202.240.150-131.202.244.3-48682-53-17,131.202.240.150,48682,131.202.244.3,53,01/04/2015 12:41:47 p.m.,2,239.0,0
199.212.24.175-131.202.240.150-443-59193-6,199.212.24.175,443,131.202.240.150,59193,01/04/2015 12:47:55 p.m.,2,0.0,0
131.202.240.150-131.202.244.5-2255-53-17,131.202.240.150,2255,131.202.244.5,53,01/04/2015 12:41:09 p.m.,2,253.0,0
199.212.24.173-131.202.240.150-443-54574-6,199.212.24.173,443,131.202.240.150,54574,01/04/2015 12:47:55 p.m.,2,0.0,0
131.202.240.150-131.202.244.3-19183-53-17,131.202.240.150,19183,131.202.244.3,53,01/04/2015 12:33:46 p.m.,2,419.0,0
131.202.240.150-216.58.219.238-48064-443-6,131.202.240.150,48064,216.58.219.238,443,01/04/2015 12:37:00 p.m.,2,0.0,0
131.202.240.150-131.202.244.3-37645-53-17,131.202.240.150,37645,131.202.244.3,53,01/04/2015 12:33:46 p.m.,2,262.0,0
131.202.240.150-131.202.244.5-48682-53-17,131.202.240.150,48682,131.202.244.5,53,01/04/2015 12:41:47 p.m.,2,239.0,0
131.202.240.150-216.58.217.129-52959-443-6,131.202.240.150,52959,216.58.217.129,443,01/04/2015 12:47:35 p.m.,91,64905.0,0
131.202.240.150-74.125.226.4-53275-443-6,131.202.240.150,53275,74.125.226.4,443,01/04/2015 12:49:27 p.m.,18,4800.0,0
131.202.240.150-131.202.6.3-37451-53-17,131.202.240.150,37451,131.202.6.3,53,01/04/2015 12:44:03 p.m.,2,300.0,0
131.202.240.150-216.58.219.230-34361-443-6,131.202.240.150,34361,216.58.219.230,443,01/04/2015 12:37:33 p.m.,2,0.0,0
131.202.240.150-131.202.244.5-48649-53-17,131.202.240.150,48649,131.202.244.5,53,01/04/2015 12:47:35 p.m.,2,277.0,0
131.202.240.150-131.202.244.5-12685-53-17,131.202.240.150,12685,131.202.244.5,53,01/04/2015 12:47:35 p.m.,2,252.0,0
131.202.240.150-216.58.219.238-48220-443-6,131.202.240.150,48220,216.58.219.238,443,01/04/2015 12:46:50 p.m.,2,0.0,0
131.202.240.196-131.202.240.150-56524-135-6,131.202.240.196,56524,131.202.240.150,135,01/04/2015 12:38:13 p.m.,6,0.0,0
131.202.240.150-216.58.219.226-43524-443-6,131.202.240.150,43524,216.58.219.226,443,01/04/2015 12:38:02 p.m.,2,0.0,0
131.202.240.150-216.58.219.238-48231-443-6,131.202.240.150,48231,216.58.219.238,443,01/04/2015 12:47:35 p.m.,96,49495.0,0
199.212.24.175-131.202.240.150-443-59154-6,199.212.24.175,443,131.202.240.150,59154,01/04/2015 12:34:02 p.m.,2,0.0,0
199.212.24.173-131.202.240.150-443-54573-6,199.212.24.173,443,131.202.240.150,54573,01/04/2015 12:47:55 p.m.,2,0.0,0
45.113.68.12-131.202.240.150-0-0-0,45.113.68.12,0,131.202.240.150,0,01/04/2015 12:35:12 p.m.,4,0.0,0
131.202.240.150-173.194.76.95-46916-443-6,131.202.240.150,46916,173.194.76.95,443,01/04/2015 12:37:47 p.m.,2,0.0,0
131.202.240.150-74.125.226.55-44527-443-6,131.202.240.150,44527,74.125.226.55,443,01/04/2015 12:37:47 p.m.,2,0.0,0
131.202.240.150-216.58.219.238-48062-443-6,131.202.240.150,48062,216.58.219.238,443,01/04/2015 12:37:46 p.m.,2,0.0,0
131.202.240.150-216.58.219.227-51756-443-6,131.202.240.150,51756,216.58.219.227,443,01/04/2015 12:33:46 p.m.,14,997.0,0
131.202.240.150-131.202.244.5-37603-53-17,131.202.240.150,37603,131.202.244.5,53,01/04/2015 12:47:35 p.m.,2,300.0,0
203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,01/04/2015 12:37:44 p.m.,4,0.0,0
131.202.240.150-173.194.76.95-47046-443-6,131.202.240.150,47046,173.194.76.95,443,01/04/2015 12:33:44 p.m.,17,4434.0,0
131.202.240.150-216.58.219.230-34354-443-6,131.202.240.150,34354,216.58.219.230,443,01/04/2015 12:38:02 p.m.,2,0.0,0
199.212.24.175-131.202.240.150-443-59153-6,199.212.24.175,443,131.202.240.150,59153,01/04/2015 12:34:02 p.m.,2,0.0,0
131.202.240.150-216.58.219.238-48219-443-6,131.202.240.150,48219,216.58.219.238,443,01/04/2015 12:45:48 p.m.,2,0.0,0
131.202.240.196-131.202.240.150-56525-135-6,131.202.240.196,56525,131.202.240.150,135,01/04/2015 12:38:14 p.m.,6,0.0,0
131.202.240.150-131.202.244.5-60327-53-17,131.202.240.150,60327,131.202.244.5,53,01/04/2015 12:47:35 p.m.,2,214.0,0
