,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.240.242-6060-52847-6,131.202.240.87,6060,131.202.240.242,52847,01/05/2015 12:24:29 p.m.,6,185,48,233,260541.0,137.0,260678.0,24701790.95991661,22079.02965981237,45.48706896551725,3712,972,1118.7896995708154,ftps_up_2a,0
1,131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,01/05/2015 12:24:29 p.m.,6,47,0,47,0.0,0.0,0.0,0.0,7374.862702024164,138.5434782608696,940,0,0.0,ftps_up_2a,0
2,131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,01/05/2015 12:24:29 p.m.,6,6,5,11,504.0,260.0,764.0,243700.1594896332,3508.771929824561,313.5,132,112,69.45454545454545,ftps_up_2a,0
3,131.202.240.87-131.202.240.242-6062-52849-6,131.202.240.87,6062,131.202.240.242,52849,01/05/2015 12:24:30 p.m.,6,8,4,12,2694.0,137.0,2831.0,929110.6005907451,3938.299967180834,277.00000000000006,172,92,235.91666666666663,ftps_up_2a,0
4,131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,01/05/2015 12:24:30 p.m.,6,3,0,3,0.0,0.0,0.0,0.0,9063.444108761329,165.5,60,0,0.0,ftps_up_2a,0
5,131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,01/05/2015 12:24:31 p.m.,6,6,5,11,504.0,321.0,825.0,293908.08692554326,3918.7744923405767,280.70000000000005,132,112,75.0,ftps_up_2a,0
6,131.202.240.87-131.202.240.242-6064-52851-6,131.202.240.87,6064,131.202.240.242,52851,01/05/2015 12:24:32 p.m.,6,8,3,11,2867.0,137.0,3004.0,855596.6960979778,3133.0105383081745,351.1,172,72,273.09090909090907,ftps_up_2a,0
7,131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,01/05/2015 12:24:32 p.m.,6,4,0,4,0.0,0.0,0.0,0.0,5882.352941176469,226.66666666666663,80,0,0.0,ftps_up_2a,0
8,131.202.240.87-131.202.240.242-6065-52852-6,131.202.240.87,6065,131.202.240.242,52852,01/05/2015 12:24:32 p.m.,6,7,4,11,504.0,387.0,891.0,394247.7876106195,4867.256637168142,226.0,152,92,81.0,ftps_up_2a,0
9,131.202.240.87-131.202.240.242-6066-52853-6,131.202.240.87,6066,131.202.240.242,52853,01/05/2015 12:24:33 p.m.,6,9,4,13,4117.0,137.0,4254.0,200698.24495187768,613.3232685412343,1766.3333333333335,192,92,327.23076923076917,ftps_up_2a,0
