,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.240.242-6060-52847-6,131.202.240.87,6060,131.202.240.242,52847,01/05/2015 12:24:34 p.m.,6,185,93,278,260541.0,137.0,260678.0,15864045.764362222,16918.208373904574,59.321299638989174,3712,1872,937.6906474820144,ftps_up_2b,0
1,131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,01/05/2015 12:24:34 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,5167.958656330748,387.0,40,0,0.0,ftps_up_2b,0
2,131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,01/05/2015 12:24:34 p.m.,6,5,5,10,473.0,260.0,733.0,249914.7630412547,3409.4783498124793,325.8888888888889,112,112,73.3,ftps_up_2b,0
3,131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,01/05/2015 12:24:34 p.m.,6,2,1,3,31.0,0.0,31.0,543859.6491228071,52631.57894736842,28.5,40,20,20.666666666666668,ftps_up_2b,0
4,131.202.240.87-131.202.240.242-6062-52849-6,131.202.240.87,6062,131.202.240.242,52849,01/05/2015 12:24:36 p.m.,6,8,5,13,2694.0,137.0,2831.0,881382.3163138231,4047.322540473225,267.6666666666667,172,112,217.7692307692308,ftps_up_2b,0
5,131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,01/05/2015 12:24:36 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,14925.373134328356,134.0,40,0,0.0,ftps_up_2b,0
6,131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,01/05/2015 12:24:36 p.m.,6,5,5,10,473.0,321.0,794.0,302591.4634146341,3810.9756097560976,291.5555555555556,112,112,79.4,ftps_up_2b,0
7,131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,01/05/2015 12:24:36 p.m.,6,2,1,3,31.0,0.0,31.0,543859.6491228071,52631.57894736842,28.5,40,20,20.666666666666668,ftps_up_2b,0
8,131.202.240.87-131.202.240.242-6064-52851-6,131.202.240.87,6064,131.202.240.242,52851,01/05/2015 12:24:37 p.m.,6,8,5,13,2867.0,137.0,3004.0,873002.0342923569,3777.9715199070038,286.75,172,112,231.0769230769231,ftps_up_2b,0
9,131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,01/05/2015 12:24:37 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,6600.6600660066015,303.0,40,0,0.0,ftps_up_2b,0
