,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,173.252.100.27-131.202.240.87-443-1088-6,173.252.100.27,443,131.202.240.87,1088,13/04/2015 10:49:35 a.m.,6,25,24,49,8337.0,7623.0,15960.0,142.38772219577282,0.43715528744316223,2335173.25,500,480,340.0204081632653,gmailchat1,0
1,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,13/04/2015 10:51:11 a.m.,17,3,0,3,150.0,0.0,150.0,99.82291415029735,1.9964582830059476,751330.5,24,0,66.66666666666667,gmailchat1,0
2,131.202.240.87-131.202.244.3-63332-53-17,131.202.240.87,63332,131.202.244.3,53,13/04/2015 10:50:31 a.m.,17,2,2,4,78.0,608.0,686.0,607079.6460176993,3539.823008849558,376.66666666666674,16,16,181.25,gmailchat1,0
3,131.202.240.87-131.202.244.3-54610-53-17,131.202.240.87,54610,131.202.244.3,53,13/04/2015 10:49:52 a.m.,17,2,2,4,74.0,598.0,672.0,467966.573816156,2785.515320334262,478.66666666666674,16,16,177.25,gmailchat1,0
4,131.202.240.87-131.202.244.3-63342-53-17,131.202.240.87,63342,131.202.244.3,53,13/04/2015 10:50:37 a.m.,17,2,2,4,74.0,598.0,672.0,527058.8235294117,3137.254901960784,425.0,16,16,177.25,gmailchat1,0
5,131.202.240.87-131.202.244.3-57450-53-17,131.202.240.87,57450,131.202.244.3,53,13/04/2015 10:51:50 a.m.,17,2,2,4,74.0,598.0,672.0,491587.4177029993,2926.115581565472,455.66666666666674,16,16,177.25,gmailchat1,0
6,131.202.240.87-131.202.244.3-63339-53-17,131.202.240.87,63339,131.202.244.3,53,13/04/2015 10:50:35 a.m.,17,2,2,4,74.0,598.0,672.0,333996.02385685884,1988.0715705765408,670.6666666666666,16,16,177.25,gmailchat1,0
7,131.202.240.87-131.202.244.3-63352-53-17,131.202.240.87,63352,131.202.244.3,53,13/04/2015 10:50:55 a.m.,17,2,2,4,74.0,598.0,672.0,363439.69713358575,2163.3315305570577,616.3333333333334,16,16,177.25,gmailchat1,0
8,131.202.240.87-131.202.244.3-63355-53-17,131.202.240.87,63355,131.202.244.3,53,13/04/2015 10:51:02 a.m.,17,2,2,4,78.0,608.0,686.0,269442.26237234875,1571.0919088766693,848.6666666666665,16,16,181.25,gmailchat1,0
9,131.202.240.87-131.202.244.3-54607-53-17,131.202.240.87,54607,131.202.244.3,53,13/04/2015 10:49:47 a.m.,17,2,2,4,78.0,608.0,686.0,16846.758349705306,98.23182711198427,13573.333333333336,16,16,181.25,gmailchat1,0
10,131.202.240.87-131.202.244.3-54617-53-17,131.202.240.87,54617,131.202.244.3,53,13/04/2015 10:49:55 a.m.,17,1,1,2,37.0,373.0,410.0,877944.3254817987,4282.655246252676,467.0,8,8,223.5,gmailchat1,0
