,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.3-25603-53-17,131.202.240.150,25603,131.202.244.3,53,30/03/2015 10:02:26 a.m.,17,1,1,2,33.0,366.0,399.0,852564.1025641026,4273.504273504273,468.0,8,8,216.0,hangouts_audio1a,0
1,131.202.240.150-131.202.244.3-42821-53-17,131.202.240.150,42821,131.202.244.3,53,30/03/2015 10:03:32 a.m.,17,1,1,2,33.0,345.0,378.0,913043.4782608695,4830.917874396136,414.0,8,8,205.5,hangouts_audio1a,0
2,131.202.240.150-131.202.244.3-49958-53-17,131.202.240.150,49958,131.202.244.3,53,30/03/2015 10:14:00 a.m.,17,1,1,2,33.0,345.0,378.0,789144.0501043842,4175.365344467641,479.0,8,8,205.5,hangouts_audio1a,0
3,131.202.240.150-131.202.244.5-8682-53-17,131.202.240.150,8682,131.202.244.5,53,30/03/2015 10:03:27 a.m.,17,1,1,2,37.0,213.0,250.0,853242.3208191127,6825.938566552901,293.0,8,8,143.5,hangouts_audio1a,0
4,131.202.240.150-216.58.219.238-47715-443-6,131.202.240.150,47715,216.58.219.238,443,30/03/2015 10:10:01 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.31773505110232,25537.0,32,32,0.0,hangouts_audio1a,0
5,131.202.240.150-131.202.244.5-43004-53-17,131.202.240.150,43004,131.202.244.5,53,30/03/2015 10:04:57 a.m.,17,1,1,2,37.0,213.0,250.0,871080.1393728224,6968.641114982579,287.0,8,8,143.5,hangouts_audio1a,0
6,131.202.240.150-131.202.244.5-8987-53-17,131.202.240.150,8987,131.202.244.5,53,30/03/2015 10:11:29 a.m.,17,1,1,2,33.0,185.0,218.0,543640.897755611,4987.531172069826,401.0,8,8,125.5,hangouts_audio1a,0
7,131.202.240.150-131.202.244.5-22020-53-17,131.202.240.150,22020,131.202.244.5,53,30/03/2015 10:03:46 a.m.,17,1,1,2,37.0,213.0,250.0,565610.8597285068,4524.886877828054,442.0,8,8,143.5,hangouts_audio1a,0
8,131.202.240.150-131.202.244.5-47703-53-17,131.202.240.150,47703,131.202.244.5,53,30/03/2015 10:06:33 a.m.,17,1,1,2,33.0,185.0,218.0,527845.0363196125,4842.615012106538,413.0,8,8,125.5,hangouts_audio1a,0
9,173.194.204.189-131.202.240.150-443-44575-6,173.194.204.189,443,131.202.240.150,44575,30/03/2015 10:16:21 a.m.,6,23,20,43,2709.0,1477.0,4186.0,75.12262161797905,0.7716848374517674,1326719.7619047617,736,640,104.0,hangouts_audio1a,0
10,131.202.240.150-131.202.244.5-39502-53-17,131.202.240.150,39502,131.202.244.5,53,30/03/2015 10:09:05 a.m.,17,1,1,2,37.0,213.0,250.0,625000.0,5000.0,400.0,8,8,143.5,hangouts_audio1a,0
11,131.202.240.150-131.202.244.5-7156-53-17,131.202.240.150,7156,131.202.244.5,53,30/03/2015 10:07:51 a.m.,17,1,1,2,39.0,218.0,257.0,594907.4074074074,4629.62962962963,432.0,8,8,148.0,hangouts_audio1a,0
12,131.202.240.150-131.202.244.3-64583-53-17,131.202.240.150,64583,131.202.244.3,53,30/03/2015 10:10:21 a.m.,17,1,1,2,45.0,197.0,242.0,569411.7647058824,4705.882352941177,425.0,8,8,143.5,hangouts_audio1a,0
13,131.202.240.150-131.202.244.5-61246-53-17,131.202.240.150,61246,131.202.244.5,53,30/03/2015 10:11:46 a.m.,17,1,1,2,37.0,213.0,250.0,664893.6170212766,5319.148936170213,376.0,8,8,143.5,hangouts_audio1a,0
14,131.202.240.150-131.202.244.5-51615-53-17,131.202.240.150,51615,131.202.244.5,53,30/03/2015 10:09:29 a.m.,17,1,1,2,33.0,185.0,218.0,633720.9302325582,5813.9534883720935,344.0,8,8,125.5,hangouts_audio1a,0
15,131.202.240.150-131.202.244.5-56390-53-17,131.202.240.150,56390,131.202.244.5,53,30/03/2015 10:08:26 a.m.,17,1,1,2,37.0,213.0,250.0,670241.2868632708,5361.930294906166,373.0,8,8,143.5,hangouts_audio1a,0
16,131.202.240.150-131.202.244.5-10084-53-17,131.202.240.150,10084,131.202.244.5,53,30/03/2015 10:05:28 a.m.,17,1,1,2,33.0,185.0,218.0,564766.8393782383,5181.347150259066,386.0,8,8,125.5,hangouts_audio1a,0
17,131.202.240.150-131.202.244.5-17351-53-17,131.202.240.150,17351,131.202.244.5,53,30/03/2015 10:04:30 a.m.,17,1,1,2,39.0,218.0,257.0,6375.589183825354,49.61548002976929,40310.0,8,8,148.0,hangouts_audio1a,0
