,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 10:15:58 a.m.,17,9,0,9,450.0,0.0,450.0,5.415629202603478,0.10831258405206956,10386604.75,72,0,55.555555555555564,hangouts_audio1b,0
1,131.202.240.87-131.202.244.3-60277-53-17,131.202.240.87,60277,131.202.244.3,53,30/03/2015 10:01:38 a.m.,17,1,1,2,32.0,248.0,280.0,114613.18051575932,818.6655751125667,2443.0,8,8,156.0,hangouts_audio1b,0
2,131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,30/03/2015 10:17:19 a.m.,6,33,59,92,6231.0,6973.0,13204.0,1684.0472742322531,11.733743504193221,86160.82417582416,660,1180,143.52173913043478,hangouts_audio1b,0
3,131.202.240.87-224.0.0.252-59409-5355-17,131.202.240.87,59409,224.0.0.252,5355,30/03/2015 10:07:04 a.m.,17,2,0,2,44.0,0.0,44.0,107.11903359155512,4.869046981434324,410758.0,16,0,33.0,hangouts_audio1b,0
4,131.202.240.87-131.202.244.3-65441-53-17,131.202.240.87,65441,131.202.244.3,53,30/03/2015 10:01:38 a.m.,17,1,1,2,33.0,206.0,239.0,271899.8862343572,2275.3128555176336,879.0,8,8,136.0,hangouts_audio1b,0
5,131.202.240.87-131.202.244.3-62762-53-17,131.202.240.87,62762,131.202.244.3,53,30/03/2015 10:01:44 a.m.,17,1,1,2,36.0,235.0,271.0,336645.9627329193,2484.472049689441,805.0,8,8,153.5,hangouts_audio1b,0
6,131.202.240.87-131.202.244.5-53232-53-17,131.202.240.87,53232,131.202.244.5,53,30/03/2015 10:15:58 a.m.,17,1,1,2,42.0,258.0,300.0,12257.405515832483,81.71603677221655,24475.0,8,8,171.0,hangouts_audio1b,0
7,131.202.240.87-131.202.244.3-53232-53-17,131.202.240.87,53232,131.202.244.3,53,30/03/2015 10:15:58 a.m.,17,1,1,2,42.0,258.0,300.0,12475.568678005571,83.17045785337051,24047.0,8,8,171.0,hangouts_audio1b,0
8,131.202.240.87-224.0.0.252-61639-5355-17,131.202.240.87,61639,224.0.0.252,5355,30/03/2015 10:07:04 a.m.,17,2,0,2,44.0,0.0,44.0,107.05934737595106,4.8663339716341385,410987.0,16,0,33.0,hangouts_audio1b,0
9,131.202.240.87-224.0.0.252-63381-5355-17,131.202.240.87,63381,224.0.0.252,5355,30/03/2015 10:17:07 a.m.,17,2,0,2,44.0,0.0,44.0,107.02835764985186,4.864925347720539,411106.0,16,0,33.0,hangouts_audio1b,0
