,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 10:35:39 a.m.,17,6,0,6,300.0,0.0,300.0,3.188409832673315,0.0637681966534663,18818158.0,48,0,58.33333333333334,hangouts_video2b,0
1,149.71.159.128-131.202.240.87-2203-80-6,149.71.159.128,2203,131.202.240.87,80,30/03/2015 10:39:27 a.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.6685278481960444,2991648.0,80,0,0.0,hangouts_video2b,0
2,65.55.252.43-131.202.240.87-443-2676-6,65.55.252.43,443,131.202.240.87,2676,30/03/2015 10:41:04 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,23255.81395348837,86.0,20,20,0.0,hangouts_video2b,0
3,131.202.240.87-131.202.244.5-49655-53-17,131.202.240.87,49655,131.202.244.5,53,30/03/2015 10:22:00 a.m.,17,1,1,2,46.0,191.0,237.0,2721.7290444089717,22.968177589949125,87077.0,8,8,141.5,hangouts_video2b,0
4,131.202.240.87-131.202.244.3-55354-53-17,131.202.240.87,55354,131.202.244.3,53,30/03/2015 10:19:02 a.m.,17,1,1,2,32.0,184.0,216.0,330275.2293577982,3058.1039755351685,654.0,8,8,124.0,hangouts_video2b,0
5,131.202.240.87-224.0.0.252-50681-5355-17,131.202.240.87,50681,224.0.0.252,5355,30/03/2015 10:22:17 a.m.,17,2,0,2,44.0,0.0,44.0,105.2181003828504,4.7826409264932,418179.0,16,0,33.0,hangouts_video2b,0
6,131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,30/03/2015 10:40:34 a.m.,6,156,261,417,28357.0,28428.0,56785.0,1202.2411375392446,8.82864408477353,113539.9543269231,3156,5220,138.9640287769784,hangouts_video2b,0
7,131.202.240.87-216.58.221.3-0-0-0,131.202.240.87,0,216.58.221.3,0,30/03/2015 10:19:03 a.m.,0,2,0,2,0.0,0.0,0.0,0.0,1.3405670330436368,1491906.0,0,0,0.0,hangouts_video2b,0
8,216.58.221.3-131.202.240.87-443-2646-6,216.58.221.3,443,131.202.240.87,2646,30/03/2015 10:19:13 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,20618.556701030928,97.0,20,20,0.0,hangouts_video2b,0
9,131.202.240.87-131.202.244.3-49655-53-17,131.202.240.87,49655,131.202.244.3,53,30/03/2015 10:22:00 a.m.,17,1,1,2,46.0,191.0,237.0,2698.056716112066,22.768411106430936,87841.0,8,8,141.5,hangouts_video2b,0
10,131.202.240.87-131.202.244.3-62920-53-17,131.202.240.87,62920,131.202.244.3,53,30/03/2015 10:32:24 a.m.,17,1,1,2,47.0,394.0,441.0,319333.81607530767,1448.2259232440258,1381.0,8,8,244.0,hangouts_video2b,0
11,131.202.240.87-224.0.0.252-50595-5355-17,131.202.240.87,50595,224.0.0.252,5355,30/03/2015 10:33:22 a.m.,17,2,0,2,44.0,0.0,44.0,106.93991435085043,4.860905197765928,411446.0,16,0,33.0,hangouts_video2b,0
12,131.202.240.87-131.202.244.3-60528-53-17,131.202.240.87,60528,131.202.244.3,53,30/03/2015 10:19:02 a.m.,17,1,1,2,33.0,366.0,399.0,527777.7777777779,2645.502645502645,756.0,8,8,216.0,hangouts_video2b,0
13,131.202.240.87-224.0.0.252-59191-5355-17,131.202.240.87,59191,224.0.0.252,5355,30/03/2015 10:27:09 a.m.,17,2,0,2,44.0,0.0,44.0,106.52798659684241,4.842181208947382,413037.0,16,0,33.0,hangouts_video2b,0
14,149.71.159.128-131.202.240.87-2132-8080-6,149.71.159.128,2132,131.202.240.87,8080,30/03/2015 10:39:24 a.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.6695176961896074,2987225.0,80,0,0.0,hangouts_video2b,0
15,149.71.159.128-131.202.240.87-2269-8080-6,149.71.159.128,2269,131.202.240.87,8080,30/03/2015 10:39:30 a.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.6440278013921305,3105456.0,80,0,0.0,hangouts_video2b,0
16,173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,30/03/2015 10:39:54 a.m.,6,35,24,59,9188.0,1998.0,11186.0,128.87881776854312,0.6797649068786021,1496460.5689655175,700,480,190.47457627118644,hangouts_video2b,0
17,131.202.240.87-173.194.76.127-53171-19305-17,131.202.240.87,53171,173.194.76.127,19305,30/03/2015 10:41:04 a.m.,17,2842,5008,7850,1799795.0,4539414.0,6339209.0,408258.7658265898,505.55697276091234,1978.2684418397266,22736,40064,807.5577070063695,hangouts_video2b,0
18,131.202.240.87-224.0.0.252-60398-5355-17,131.202.240.87,60398,224.0.0.252,5355,30/03/2015 10:22:17 a.m.,17,2,0,2,44.0,0.0,44.0,105.26869835254486,4.784940834206584,417978.0,16,0,33.0,hangouts_video2b,0
19,131.202.240.87-224.0.0.252-55204-5355-17,131.202.240.87,55204,224.0.0.252,5355,30/03/2015 10:23:19 a.m.,17,2,0,2,44.0,0.0,44.0,106.99296278103891,4.863316490047223,411242.0,16,0,33.0,hangouts_video2b,0
20,131.202.240.87-131.202.244.3-56057-53-17,131.202.240.87,56057,131.202.244.3,53,30/03/2015 10:33:22 a.m.,17,1,1,2,32.0,82.0,114.0,291560.10230179026,5115.089514066496,391.0,8,8,73.0,hangouts_video2b,0
21,131.202.240.87-131.202.244.3-53157-53-17,131.202.240.87,53157,131.202.244.3,53,30/03/2015 10:19:02 a.m.,17,1,1,2,33.0,192.0,225.0,127840.90909090909,1136.3636363636365,1760.0,8,8,129.0,hangouts_video2b,0
22,149.71.159.128-131.202.240.87-2333-80-6,149.71.159.128,2333,131.202.240.87,80,30/03/2015 10:39:33 a.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.6907591961635234,2895365.0,80,0,0.0,hangouts_video2b,0
23,131.202.240.87-224.0.0.252-57384-5355-17,131.202.240.87,57384,224.0.0.252,5355,30/03/2015 10:22:30 a.m.,17,2,0,2,44.0,0.0,44.0,106.11922012020412,4.823600914554734,414628.0,16,0,33.0,hangouts_video2b,0
24,131.202.240.87-224.0.0.252-55299-5355-17,131.202.240.87,55299,224.0.0.252,5355,30/03/2015 10:37:11 a.m.,17,2,0,2,44.0,0.0,44.0,101.7557491998298,4.62526132726499,432408.0,16,0,33.0,hangouts_video2b,0
25,131.202.240.87-173.194.123.96-2678-443-6,131.202.240.87,2678,173.194.123.96,443,30/03/2015 10:40:20 a.m.,6,15,21,36,2294.0,1094.0,3388.0,55.84398482896288,0.5933835459984249,1733400.6571428578,312,432,94.11111111111113,hangouts_video2b,0
26,131.202.240.87-131.202.244.3-54881-53-17,131.202.240.87,54881,131.202.244.3,53,30/03/2015 10:33:22 a.m.,17,1,1,2,32.0,82.0,114.0,354037.2670807453,6211.180124223602,322.0,8,8,73.0,hangouts_video2b,0
27,131.202.240.87-131.202.244.5-60285-53-17,131.202.240.87,60285,131.202.244.5,53,30/03/2015 10:22:00 a.m.,17,1,1,2,46.0,421.0,467.0,5380.990240473803,23.04492608339959,86787.0,8,8,256.5,hangouts_video2b,0
28,131.202.240.87-224.0.0.252-64401-5355-17,131.202.240.87,64401,224.0.0.252,5355,30/03/2015 10:33:22 a.m.,17,2,0,2,44.0,0.0,44.0,106.91081208480944,4.859582367491337,411558.0,16,0,33.0,hangouts_video2b,0
29,131.202.240.87-224.0.0.252-58520-5355-17,131.202.240.87,58520,224.0.0.252,5355,30/03/2015 10:37:11 a.m.,17,2,0,2,44.0,0.0,44.0,101.8721319521942,4.630551452372463,431914.0,16,0,33.0,hangouts_video2b,0
30,131.202.240.87-131.202.244.3-54488-53-17,131.202.240.87,54488,131.202.244.3,53,30/03/2015 10:22:30 a.m.,17,1,1,2,37.0,254.0,291.0,3944.4790847724125,27.109821888470194,73774.0,8,8,164.0,hangouts_video2b,0
31,131.202.240.87-131.202.244.3-60285-53-17,131.202.240.87,60285,131.202.244.3,53,30/03/2015 10:22:00 a.m.,17,1,1,2,46.0,421.0,467.0,5364.363168535196,22.97371806653189,87056.0,8,8,256.5,hangouts_video2b,0
32,131.202.240.87-173.194.123.97-0-0-0,131.202.240.87,0,173.194.123.97,0,30/03/2015 10:19:05 a.m.,0,3,0,3,0.0,0.0,0.0,0.0,12.918116366392226,116116.0,0,0,0.0,hangouts_video2b,0
