,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-173.194.123.119-54318-443-6,131.202.240.150,54318,173.194.123.119,443,01/04/2015 02:11:41 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.41865544216336,25183.0,32,32,0.0,netflix4,0
1,131.202.240.150-131.202.244.3-10538-53-17,131.202.240.150,10538,131.202.244.3,53,01/04/2015 02:12:14 p.m.,17,1,1,2,41.0,337.0,378.0,8169.793377712458,43.22641998789661,46268.0,8,8,209.5,netflix4,0
2,131.202.240.150-131.202.6.3-18054-53-17,131.202.240.150,18054,131.202.6.3,53,01/04/2015 02:06:12 p.m.,17,1,1,2,38.0,429.0,467.0,20112.838623541065,86.13635384814161,23219.0,8,8,252.5,netflix4,0
3,209.148.205.8-131.202.240.150-80-58429-6,209.148.205.8,80,131.202.240.150,58429,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
4,209.148.205.8-131.202.240.150-80-58440-6,209.148.205.8,80,131.202.240.150,58440,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
5,209.148.205.32-131.202.240.150-80-39923-6,209.148.205.32,80,131.202.240.150,39923,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
6,108.175.43.161-131.202.240.150-80-57196-6,108.175.43.161,80,131.202.240.150,57196,01/04/2015 02:13:12 p.m.,6,5,5,10,8028.0,0.0,8028.0,292278.0063348746,364.07325153820955,3051.888888888889,160,100,936.6,netflix4,0
7,209.148.205.8-131.202.240.150-80-58451-6,209.148.205.8,80,131.202.240.150,58451,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
8,131.202.240.150-131.202.6.3-61876-53-17,131.202.240.150,61876,131.202.6.3,53,01/04/2015 02:06:12 p.m.,17,1,1,2,36.0,432.0,468.0,8945.809041383925,38.22995316830737,52315.0,8,8,252.0,netflix4,0
9,101.226.77.16-131.202.240.150-0-0-0,101.226.77.16,0,131.202.240.150,0,01/04/2015 02:06:47 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,39215.68627450981,51.0,0,0,0.0,netflix4,0
10,131.202.240.150-54.225.175.202-43897-443-6,131.202.240.150,43897,54.225.175.202,443,01/04/2015 02:12:14 p.m.,6,29,22,51,29490.0,14396.0,43886.0,754.9483253645967,0.8773268147836311,1162622.6199999996,936,712,860.5098039215686,netflix4,0
11,209.148.205.32-131.202.240.150-80-39941-6,209.148.205.32,80,131.202.240.150,39941,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,285714.2857142857,7.0,32,32,0.0,netflix4,0
12,209.148.205.8-131.202.240.150-80-58447-6,209.148.205.8,80,131.202.240.150,58447,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,333333.33333333326,6.0,32,32,0.0,netflix4,0
13,131.202.240.150-54.225.69.109-33328-80-6,131.202.240.150,33328,54.225.69.109,80,01/04/2015 02:13:12 p.m.,6,5,3,8,2472.0,0.0,2472.0,5756.132772933137,18.628261401078113,61350.71428571429,168,104,309.0,netflix4,0
14,203.205.148.12-131.202.240.150-0-0-0,203.205.148.12,0,131.202.240.150,0,01/04/2015 02:07:15 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0,0,0.0,netflix4,0
15,131.202.240.150-131.202.244.5-3904-53-17,131.202.240.150,3904,131.202.244.5,53,01/04/2015 02:07:40 p.m.,17,1,1,2,33.0,192.0,225.0,595238.095238095,5291.005291005291,378.0,8,8,129.0,netflix4,0
16,182.254.5.12-131.202.240.150-0-0-0,182.254.5.12,0,131.202.240.150,0,01/04/2015 02:06:48 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,40000.0,50.0,0,0,0.0,netflix4,0
17,209.148.205.8-131.202.240.150-80-58443-6,209.148.205.8,80,131.202.240.150,58443,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,666666.6666666665,3.0,32,32,0.0,netflix4,0
18,131.202.240.150-184.72.231.78-443-36074-6,131.202.240.150,443,184.72.231.78,36074,01/04/2015 02:10:14 p.m.,6,5,0,5,0.0,0.0,0.0,0.0,85.10058889607517,14688.5,100,0,0.0,netflix4,0
19,209.148.205.8-131.202.240.150-80-58435-6,209.148.205.8,80,131.202.240.150,58435,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
20,131.202.240.150-131.202.244.3-3904-53-17,131.202.240.150,3904,131.202.244.3,53,01/04/2015 02:07:40 p.m.,17,1,1,2,33.0,240.0,273.0,712793.733681462,5221.9321148825065,383.0,8,8,153.0,netflix4,0
21,209.148.205.8-131.202.240.150-80-58450-6,209.148.205.8,80,131.202.240.150,58450,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,400000.0,5.0,32,32,0.0,netflix4,0
22,209.148.205.8-131.202.240.150-80-58454-6,209.148.205.8,80,131.202.240.150,58454,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,500000.0,4.0,32,32,0.0,netflix4,0
23,131.202.240.150-131.202.244.5-18054-53-17,131.202.240.150,18054,131.202.244.5,53,01/04/2015 02:06:12 p.m.,17,1,1,2,38.0,445.0,483.0,571.4312756286337,2.366175054362872,845246.0,8,8,260.5,netflix4,0
24,182.254.3.101-131.202.240.150-0-0-0,182.254.3.101,0,131.202.240.150,0,01/04/2015 02:06:47 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,83333.33333333331,24.0,0,0,0.0,netflix4,0
25,58.250.134.64-131.202.240.150-0-0-0,58.250.134.64,0,131.202.240.150,0,01/04/2015 02:06:46 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,76923.07692307692,26.0,0,0,0.0,netflix4,0
26,209.148.205.8-131.202.240.150-80-58442-6,209.148.205.8,80,131.202.240.150,58442,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,400000.0,5.0,32,32,0.0,netflix4,0
27,23.195.206.176-131.202.240.150-443-39900-6,23.195.206.176,443,131.202.240.150,39900,01/04/2015 02:06:22 p.m.,6,2,2,4,53.0,0.0,53.0,981481.4814814816,74074.07407407407,18.0,64,40,13.25,netflix4,0
28,131.202.240.150-74.125.226.6-38341-443-6,131.202.240.150,38341,74.125.226.6,443,01/04/2015 02:10:22 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,80.02881037173383,24991.0,32,32,0.0,netflix4,0
29,131.202.240.150-54.225.175.202-43898-443-6,131.202.240.150,43898,54.225.175.202,443,01/04/2015 02:13:12 p.m.,6,16,12,28,15893.0,5078.0,20971.0,78324.81773634517,104.57750687223616,9916.444444444445,520,392,748.9642857142858,netflix4,0
30,209.148.205.24-131.202.240.150-80-56529-6,209.148.205.24,80,131.202.240.150,56529,01/04/2015 02:11:20 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,285714.2857142857,7.0,32,32,0.0,netflix4,0
31,202.55.10.11-131.202.240.150-0-0-0,202.55.10.11,0,131.202.240.150,0,01/04/2015 02:06:39 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,49999.99999999999,40.0,0,0,0.0,netflix4,0
32,131.202.240.150-131.202.6.3-3904-53-17,131.202.240.150,3904,131.202.6.3,53,01/04/2015 02:07:40 p.m.,17,1,1,2,33.0,240.0,273.0,183467.74193548388,1344.0860215053765,1488.0,8,8,153.0,netflix4,0
33,113.108.70.183-131.202.240.150-0-0-0,113.108.70.183,0,131.202.240.150,0,01/04/2015 02:06:47 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,24691.35802469136,81.0,0,0,0.0,netflix4,0
34,131.202.240.150-131.202.244.3-18054-53-17,131.202.240.150,18054,131.202.244.3,53,01/04/2015 02:06:12 p.m.,17,1,1,2,38.0,445.0,483.0,12022.102747909199,49.78096375945838,40176.0,8,8,260.5,netflix4,0
35,209.148.205.8-131.202.240.150-80-58430-6,209.148.205.8,80,131.202.240.150,58430,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,400000.0,5.0,32,32,0.0,netflix4,0
36,131.202.240.150-23.21.194.157-443-43141-6,131.202.240.150,443,23.21.194.157,43141,01/04/2015 02:12:14 p.m.,6,3,0,3,0.0,0.0,0.0,0.0,214285.7142857143,7.0,60,0,0.0,netflix4,0
37,131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,01/04/2015 02:12:11 p.m.,17,3,0,3,573.0,0.0,573.0,141.95793437084018,0.7432352584860744,2018203.5,24,0,254.66666666666663,netflix4,0
38,103.7.29.12-131.202.240.150-0-0-0,103.7.29.12,0,131.202.240.150,0,01/04/2015 02:06:38 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,25000.0,80.0,0,0,0.0,netflix4,0
39,209.148.205.32-131.202.240.150-80-39943-6,209.148.205.32,80,131.202.240.150,39943,01/04/2015 02:10:50 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,400000.0,5.0,32,32,0.0,netflix4,0
40,131.202.240.150-131.202.244.3-49354-53-17,131.202.240.150,49354,131.202.244.3,53,01/04/2015 02:13:12 p.m.,17,1,1,2,33.0,313.0,346.0,2782.8492837782405,16.085834010278848,124333.0,8,8,189.5,netflix4,0
41,131.202.240.150-23.21.194.157-43141-443-6,131.202.240.150,43141,23.21.194.157,443,01/04/2015 02:12:14 p.m.,6,1,4,5,0.0,0.0,0.0,0.0,80.63735767506371,15501.500000000002,32,80,0.0,netflix4,0
42,131.202.240.150-74.125.226.27-60309-443-6,131.202.240.150,60309,74.125.226.27,443,01/04/2015 02:09:16 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,80.24394158241054,24924.0,32,32,0.0,netflix4,0
43,131.202.240.150-131.202.6.3-61747-53-17,131.202.240.150,61747,131.202.6.3,53,01/04/2015 02:06:12 p.m.,17,1,1,2,44.0,389.0,433.0,6503.356813505356,30.038599600486627,66581.0,8,8,238.5,netflix4,0
44,216.58.219.206-131.202.240.150-443-60982-6,216.58.219.206,443,131.202.240.150,60982,01/04/2015 02:08:41 p.m.,6,2,1,3,0.0,0.0,0.0,0.0,117.21955222131052,12796.5,64,32,0.0,netflix4,0
45,131.202.240.150-216.58.219.238-49121-443-6,131.202.240.150,49121,216.58.219.238,443,01/04/2015 02:09:51 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.65654619105675,25427.0,32,32,0.0,netflix4,0
46,184.72.231.78-131.202.240.150-443-36074-6,184.72.231.78,443,131.202.240.150,36074,01/04/2015 02:10:14 p.m.,6,7,1,8,0.0,0.0,0.0,0.0,133.5759963934481,8555.857142857143,152,32,0.0,netflix4,0
47,183.61.32.19-131.202.240.150-0-0-0,183.61.32.19,0,131.202.240.150,0,01/04/2015 02:06:47 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,66666.66666666669,30.0,0,0,0.0,netflix4,0
48,131.202.240.150-131.202.6.3-10538-53-17,131.202.240.150,10538,131.202.6.3,53,01/04/2015 02:12:14 p.m.,17,1,1,2,41.0,273.0,314.0,3293.475980700651,20.977554017201594,95340.0,8,8,177.5,netflix4,0
49,131.202.240.150-131.202.6.3-20111-53-17,131.202.240.150,20111,131.202.6.3,53,01/04/2015 02:10:14 p.m.,17,1,1,2,41.0,273.0,314.0,1622.1102931680227,10.331912695337724,193575.0,8,8,177.5,netflix4,0
50,131.202.240.150-131.202.244.5-49354-53-17,131.202.240.150,49354,131.202.244.5,53,01/04/2015 02:13:12 p.m.,17,1,1,2,33.0,313.0,346.0,2833.7196255558924,16.379882228646775,122101.0,8,8,189.5,netflix4,0
