,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.242.93-224.0.0.252-64780-5355-17,131.202.242.93,64780,224.0.0.252,5355,15/04/2015 11:18:34 a.m.,17,2,0,2,44.0,0.0,44.0,106.56359061174767,4.843799573261258,412899.0,16,0,33.0,scp1,0
1,131.202.243.9-224.0.0.252-58021-5355-17,131.202.243.9,58021,224.0.0.252,5355,15/04/2015 11:25:35 a.m.,17,2,0,2,44.0,0.0,44.0,106.91289029279552,4.859676831490706,411550.0,16,0,33.0,scp1,0
2,131.202.243.49-224.0.0.252-49869-5355-17,131.202.243.49,49869,224.0.0.252,5355,15/04/2015 11:16:43 a.m.,17,2,0,2,44.0,0.0,44.0,107.226845703006,4.873947531954818,410345.0,16,0,33.0,scp1,0
3,131.202.240.101-131.202.6.3-16307-53-17,131.202.240.101,16307,131.202.6.3,53,15/04/2015 11:20:00 a.m.,17,1,1,2,44.0,171.0,215.0,1742.0473512777717,16.205091639793224,123418.0,8,8,129.5,scp1,0
4,131.202.242.93-224.0.0.252-58325-5355-17,131.202.242.93,58325,224.0.0.252,5355,15/04/2015 11:17:45 a.m.,17,2,0,2,44.0,0.0,44.0,106.93965443908935,4.860893383594972,411447.0,16,0,33.0,scp1,0
5,131.202.243.49-224.0.0.252-50187-5355-17,131.202.243.49,50187,224.0.0.252,5355,15/04/2015 11:23:49 a.m.,17,2,0,2,44.0,0.0,44.0,107.09843563262315,4.868110710573781,410837.0,16,0,33.0,scp1,0
6,131.202.243.9-224.0.0.252-59425-5355-17,131.202.243.9,59425,224.0.0.252,5355,15/04/2015 11:18:18 a.m.,17,2,0,2,44.0,0.0,44.0,105.78575979419858,4.808443627009028,415935.0,16,0,33.0,scp1,0
7,131.202.242.93-224.0.0.252-57861-5355-17,131.202.242.93,57861,224.0.0.252,5355,15/04/2015 11:17:37 a.m.,17,4,0,4,88.0,0.0,88.0,27.778882619700152,1.2626764827136434,1055958.0,32,0,27.5,scp1,0
8,131.202.243.49-224.0.0.252-55275-5355-17,131.202.243.49,55275,224.0.0.252,5355,15/04/2015 11:19:19 a.m.,17,2,0,2,44.0,0.0,44.0,107.44863222775206,4.8840287376250915,409498.0,16,0,33.0,scp1,0
9,131.202.243.9-224.0.0.252-62987-5355-17,131.202.243.9,62987,224.0.0.252,5355,15/04/2015 11:24:00 a.m.,17,2,0,2,44.0,0.0,44.0,104.19207335121963,4.736003334146346,422297.0,16,0,33.0,scp1,0
