,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.5-54561-53-17,131.202.240.150,54561,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,45.0,188.0,233.0,529545.4545454546,4545.454545454545,440.0,8,8,139.0,scpDown4,0
1,131.202.240.150-131.202.244.5-35695-53-17,131.202.240.150,35695,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,163.0,198.0,396793.58717434865,4008.016032064129,499.0,8,8,116.5,scpDown4,0
2,131.202.240.150-131.202.244.5-48856-53-17,131.202.240.150,48856,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,85.0,120.0,338028.1690140845,5633.802816901409,355.0,8,8,77.5,scpDown4,0
3,131.202.240.150-131.202.244.5-8724-53-17,131.202.240.150,8724,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,85.0,120.0,398671.09634551493,6644.518272425249,301.0,8,8,77.5,scpDown4,0
4,131.202.240.150-131.202.244.5-12221-53-17,131.202.240.150,12221,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,163.0,198.0,417721.5189873418,4219.4092827004215,474.0,8,8,116.5,scpDown4,0
5,131.202.240.150-131.202.244.5-47826-53-17,131.202.240.150,47826,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,85.0,120.0,252100.84033613445,4201.680672268907,476.0,8,8,77.5,scpDown4,0
6,131.202.240.150-131.202.244.5-37511-53-17,131.202.240.150,37511,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,85.0,120.0,338983.0508474577,5649.717514124294,354.0,8,8,77.5,scpDown4,0
7,131.202.240.150-131.202.244.5-25727-53-17,131.202.240.150,25727,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,45.0,188.0,233.0,522421.5246636772,4484.304932735426,446.0,8,8,139.0,scpDown4,0
8,131.202.240.150-131.202.244.5-29132-53-17,131.202.240.150,29132,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,163.0,198.0,500000.00000000006,5050.505050505051,396.0,8,8,116.5,scpDown4,0
9,131.202.240.150-131.202.244.5-57935-53-17,131.202.240.150,57935,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,163.0,198.0,543956.0439560439,5494.5054945054935,364.0,8,8,116.5,scpDown4,0
10,131.202.240.150-131.202.244.5-14378-53-17,131.202.240.150,14378,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,85.0,120.0,240963.8554216868,4016.064257028113,498.0,8,8,77.5,scpDown4,0
11,131.202.240.150-131.202.244.5-48862-53-17,131.202.240.150,48862,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,35.0,163.0,198.0,420382.16560509545,4246.284501061571,471.0,8,8,116.5,scpDown4,0
12,131.202.240.150-131.202.244.5-25942-53-17,131.202.240.150,25942,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,45.0,188.0,233.0,608355.091383812,5221.9321148825065,383.0,8,8,139.0,scpDown4,0
13,131.202.240.150-131.202.244.5-50734-53-17,131.202.240.150,50734,131.202.244.5,53,02/04/2015 08:20:37 a.m.,17,1,1,2,45.0,188.0,233.0,536866.3594470046,4608.294930875576,434.0,8,8,139.0,scpDown4,0
14,131.202.240.150-131.202.240.72-44486-22-6,131.202.240.150,44486,131.202.240.72,22,02/04/2015 08:20:37 a.m.,6,75,60,135,4865.0,75925.0,80790.0,16901.69485568392,28.24271327537231,35671.5970149254,2408,1928,598.4444444444445,scpDown4,0
