,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.5-14308-53-17,131.202.240.150,14308,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,45.0,188.0,233.0,649025.069637883,5571.030640668524,359.0,8,8,139.0,scpUp5,0
1,131.202.240.150-131.202.244.5-25821-53-17,131.202.240.150,25821,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,163.0,198.0,486486.4864864865,4914.004914004914,407.0,8,8,116.5,scpUp5,0
2,131.202.240.150-131.202.244.5-4768-53-17,131.202.240.150,4768,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,163.0,198.0,462616.82242990646,4672.897196261682,428.0,8,8,116.5,scpUp5,0
3,131.202.240.150-131.202.244.5-25488-53-17,131.202.240.150,25488,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,85.0,120.0,396039.603960396,6600.6600660066015,303.0,8,8,77.5,scpUp5,0
4,131.202.240.150-131.202.244.5-5070-53-17,131.202.240.150,5070,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,45.0,188.0,233.0,691394.6587537092,5934.718100890207,337.0,8,8,139.0,scpUp5,0
5,131.202.240.150-131.202.244.5-25563-53-17,131.202.240.150,25563,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,85.0,120.0,353982.3008849557,5899.705014749263,339.0,8,8,77.5,scpUp5,0
6,131.202.240.150-131.202.244.5-45031-53-17,131.202.240.150,45031,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,163.0,198.0,490099.00990099006,4950.495049504952,404.0,8,8,116.5,scpUp5,0
7,131.202.240.150-131.202.244.5-1910-53-17,131.202.240.150,1910,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,85.0,120.0,297029.702970297,4950.495049504952,404.0,8,8,77.5,scpUp5,0
8,131.202.240.150-131.202.244.5-2208-53-17,131.202.240.150,2208,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,45.0,188.0,233.0,518930.9576837416,4454.342984409799,449.0,8,8,139.0,scpUp5,0
9,131.202.240.150-131.202.244.5-17857-53-17,131.202.240.150,17857,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,45.0,188.0,233.0,768976.897689769,6600.6600660066015,303.0,8,8,139.0,scpUp5,0
10,131.202.240.150-131.202.244.5-11447-53-17,131.202.240.150,11447,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,163.0,198.0,446952.5959367946,4514.672686230249,443.0,8,8,116.5,scpUp5,0
11,131.202.240.150-131.202.244.5-22044-53-17,131.202.240.150,22044,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,163.0,198.0,516971.2793733682,5221.9321148825065,383.0,8,8,116.5,scpUp5,0
12,131.202.240.150-131.202.244.5-48442-53-17,131.202.240.150,48442,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,85.0,120.0,404040.404040404,6734.0067340067335,297.0,8,8,77.5,scpUp5,0
13,131.202.240.150-131.202.244.5-54024-53-17,131.202.240.150,54024,131.202.244.5,53,02/04/2015 08:17:49 a.m.,17,1,1,2,35.0,85.0,120.0,295566.5024630542,4926.1083743842355,406.0,8,8,77.5,scpUp5,0
14,131.202.240.150-131.202.240.72-44482-22-6,131.202.240.150,44482,131.202.240.72,22,02/04/2015 08:17:49 a.m.,6,96,71,167,76881.0,4437.0,81318.0,13889.149833999058,28.52367276959397,35269.795180722875,3080,2280,486.93413173652687,scpUp5,0
