,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.3-19471-53-17,131.202.240.150,19471,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,45.0,189.0,234.0,482474.22680412367,4123.711340206185,485.0,8,8,139.5,sftpDown2,0
1,131.202.240.150-131.202.6.3-10917-53-17,131.202.240.150,10917,131.202.6.3,53,02/04/2015 08:43:34 a.m.,17,1,1,2,45.0,189.0,234.0,196638.6554621849,1680.672268907563,1190.0,8,8,139.5,sftpDown2,0
2,131.202.240.150-131.202.244.3-1328-53-17,131.202.240.150,1328,131.202.244.3,53,02/04/2015 08:45:21 a.m.,17,1,1,2,36.0,164.0,200.0,455580.86560364463,4555.808656036446,439.0,8,8,118.0,sftpDown2,0
3,131.202.240.150-131.202.244.3-18011-53-17,131.202.240.150,18011,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,36.0,164.0,200.0,487804.8780487805,4878.048780487805,410.0,8,8,118.0,sftpDown2,0
4,131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,02/04/2015 08:43:15 a.m.,17,2,0,2,382.0,0.0,382.0,169.81521259797717,0.8890848827119223,2249504.0,16,0,286.5,sftpDown2,0
5,131.202.240.150-173.194.123.37-57590-443-6,131.202.240.150,57590,173.194.123.37,443,02/04/2015 08:42:40 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.47546195112258,25165.0,32,32,0.0,sftpDown2,0
6,131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,02/04/2015 08:43:47 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.56398933842543,25137.0,32,32,0.0,sftpDown2,0
7,131.202.240.150-131.202.244.3-61071-53-17,131.202.240.150,61071,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,36.0,164.0,200.0,472813.2387706856,4728.132387706856,423.0,8,8,118.0,sftpDown2,0
8,131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,02/04/2015 08:45:30 a.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08870311303131669,15031415.333333332,64,64,0.0,sftpDown2,0
9,131.202.240.150-131.202.244.5-20663-53-17,131.202.240.150,20663,131.202.244.5,53,02/04/2015 08:45:08 a.m.,17,1,1,2,36.0,164.0,200.0,579710.1449275364,5797.101449275363,345.0,8,8,118.0,sftpDown2,0
10,131.202.240.150-131.202.244.3-10917-53-17,131.202.240.150,10917,131.202.244.3,53,02/04/2015 08:43:34 a.m.,17,1,1,2,45.0,189.0,234.0,481481.48148148146,4115.22633744856,486.0,8,8,139.5,sftpDown2,0
11,131.202.240.150-131.202.244.3-20663-53-17,131.202.240.150,20663,131.202.244.3,53,02/04/2015 08:45:08 a.m.,17,1,1,2,36.0,164.0,200.0,588235.294117647,5882.352941176469,340.0,8,8,118.0,sftpDown2,0
12,131.202.240.150-131.202.240.86-22-1457-6,131.202.240.150,22,131.202.240.86,1457,02/04/2015 08:45:21 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,613.4969325153373,3260.0,20,20,0.0,sftpDown2,0
13,131.202.240.150-131.202.244.3-59427-53-17,131.202.240.150,59427,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,36.0,164.0,200.0,466200.46620046615,4662.004662004661,429.0,8,8,118.0,sftpDown2,0
14,131.202.240.150-131.202.244.3-56968-53-17,131.202.240.150,56968,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,36.0,164.0,200.0,584795.3216374269,5847.953216374269,342.0,8,8,118.0,sftpDown2,0
15,131.202.240.150-131.202.240.86-22-1453-6,131.202.240.150,22,131.202.240.86,1453,02/04/2015 08:45:08 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,3906.25,512.0,20,20,0.0,sftpDown2,0
16,131.202.240.150-131.202.244.5-10917-53-17,131.202.240.150,10917,131.202.244.5,53,02/04/2015 08:43:34 a.m.,17,1,1,2,45.0,189.0,234.0,587939.6984924623,5025.125628140703,398.0,8,8,139.5,sftpDown2,0
17,131.202.240.150-131.202.244.5-44205-53-17,131.202.240.150,44205,131.202.244.5,53,02/04/2015 08:43:45 a.m.,17,1,1,2,36.0,164.0,200.0,446428.5714285714,4464.285714285715,448.0,8,8,118.0,sftpDown2,0
18,131.202.240.150-131.202.244.5-51129-53-17,131.202.240.150,51129,131.202.244.5,53,02/04/2015 08:43:45 a.m.,17,1,1,2,36.0,164.0,200.0,569800.5698005698,5698.005698005698,351.0,8,8,118.0,sftpDown2,0
19,131.202.240.150-131.202.244.3-36329-53-17,131.202.240.150,36329,131.202.244.3,53,02/04/2015 08:45:21 a.m.,17,1,1,2,36.0,164.0,200.0,595238.0952380953,5952.380952380952,336.0,8,8,118.0,sftpDown2,0
20,131.202.240.150-131.202.244.3-25437-53-17,131.202.240.150,25437,131.202.244.3,53,02/04/2015 08:45:08 a.m.,17,1,1,2,36.0,164.0,200.0,500000.0,5000.0,400.0,8,8,118.0,sftpDown2,0
21,131.202.240.150-216.58.219.227-40837-443-6,131.202.240.150,40837,216.58.219.227,443,02/04/2015 08:45:07 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.4037006546709,25509.0,32,32,0.0,sftpDown2,0
22,131.202.240.150-131.202.244.3-1145-53-17,131.202.240.150,1145,131.202.244.3,53,02/04/2015 08:45:14 a.m.,17,1,1,2,36.0,164.0,200.0,609756.0975609756,6097.560975609756,328.0,8,8,118.0,sftpDown2,0
23,131.202.240.150-216.58.219.205-41348-443-6,131.202.240.150,41348,216.58.219.205,443,02/04/2015 08:42:39 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,76.61367554108408,26105.0,32,32,0.0,sftpDown2,0
