,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-213.199.179.159-40273-40005-17,131.202.240.150,40273,213.199.179.159,40005,31/03/2015 02:27:31 p.m.,17,1,1,2,34.0,871.0,905.0,7764.974388454642,17.1601643943749,116549.0,8,8,469.5,skype_audio2a,0
1,131.202.240.150-111.221.77.159-40273-40005-17,131.202.240.150,40273,111.221.77.159,40005,31/03/2015 02:27:31 p.m.,17,1,1,2,34.0,871.0,905.0,3592.3960289138263,7.938996748980831,251921.0,8,8,469.5,skype_audio2a,0
2,131.202.240.150-111.221.74.14-40273-40029-17,131.202.240.150,40273,111.221.74.14,40029,31/03/2015 02:21:12 p.m.,17,1,1,2,41.0,456.0,497.0,1978.5661963756809,7.962037007548011,251192.0,8,8,269.0,skype_audio2a,0
3,182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,31/03/2015 02:30:03 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,17391.304347826088,115.0,0,0,0.0,skype_audio2a,0
4,131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 02:29:20 p.m.,6,16,9,25,124.0,140.0,264.0,2.70308148832322,0.2559736257881837,4069429.666666667,512,288,10.64,skype_audio2a,0
5,131.202.240.150-216.58.219.227-58113-443-6,131.202.240.150,58113,216.58.219.227,443,31/03/2015 02:28:31 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.11279487580066,25604.0,32,32,0.0,skype_audio2a,0
6,131.202.240.150-65.55.223.14-40273-40029-17,131.202.240.150,40273,65.55.223.14,40029,31/03/2015 02:21:12 p.m.,17,1,1,2,41.0,456.0,497.0,15078.426018628075,60.677770698704535,32961.0,8,8,269.0,skype_audio2a,0
7,131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,31/03/2015 02:29:22 p.m.,6,5,4,9,1633.0,8.0,1641.0,27.32817389844644,0.14988029560391106,7505990.000000003,160,128,182.55555555555557,skype_audio2a,0
8,131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,31/03/2015 02:30:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08870235571946469,15031543.666666668,64,64,0.0,skype_audio2a,0
9,131.202.240.150-131.202.6.3-62553-53-17,131.202.240.150,62553,131.202.6.3,53,31/03/2015 02:24:31 p.m.,17,1,1,2,33.0,240.0,273.0,194444.44444444447,1424.5014245014245,1404.0,8,8,153.0,skype_audio2a,0
10,131.202.240.150-216.58.219.238-51328-443-6,131.202.240.150,51328,216.58.219.238,443,31/03/2015 02:27:46 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.4129224496197,25506.0,32,32,0.0,skype_audio2a,0
