,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,162.17.58.49-131.202.240.86-27603-49624-17,162.17.58.49,27603,131.202.240.86,49624,31/03/2015 02:29:45 p.m.,17,1,1,2,22.0,22.0,44.0,360655.737704918,16393.44262295082,122.0,8,8,33.0,skype_audio2b,0
1,109.192.50.129-131.202.240.86-28151-49624-17,109.192.50.129,28151,131.202.240.86,49624,31/03/2015 02:27:31 p.m.,17,1,1,2,18.0,26.0,44.0,287581.6993464052,13071.8954248366,153.0,8,8,31.0,skype_audio2b,0
2,12.251.243.118-131.202.240.86-58948-49624-17,12.251.243.118,58948,131.202.240.86,49624,31/03/2015 02:28:06 p.m.,17,1,1,2,18.0,26.0,44.0,301369.86301369866,13698.630136986301,146.0,8,8,31.0,skype_audio2b,0
3,131.202.240.86-54.183.74.146-2200-443-6,131.202.240.86,2200,54.183.74.146,443,31/03/2015 02:30:55 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,133333.33333333334,15.0,40,0,0.0,skype_audio2b,0
4,131.202.240.86-23.96.89.49-2224-443-6,131.202.240.86,2224,23.96.89.49,443,31/03/2015 02:30:56 p.m.,6,30,14,44,27930.0,5307.0,33237.0,130120.7366344076,172.2571956528548,5940.279069767442,612,292,755.3863636363636,skype_audio2b,0
5,131.202.240.86-54.183.74.146-2155-443-6,131.202.240.86,2155,54.183.74.146,443,31/03/2015 02:26:33 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,60606.0606060606,33.0,40,0,0.0,skype_audio2b,0
6,131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,31/03/2015 02:28:17 p.m.,6,2,1,3,213.0,202.0,415.0,1251.470100419167,9.046771810259038,165805.0,40,20,209.33333333333331,skype_audio2b,0
7,131.202.240.86-173.241.242.220-2198-443-6,131.202.240.86,2198,173.241.242.220,443,31/03/2015 02:26:32 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,43.92032852405736,45537.0,20,20,0.0,skype_audio2b,0
8,78.242.10.199-131.202.240.86-57404-49624-17,78.242.10.199,57404,131.202.240.86,49624,31/03/2015 02:29:15 p.m.,17,1,1,2,18.0,26.0,44.0,316546.76258992805,14388.489208633095,139.0,8,8,31.0,skype_audio2b,0
9,131.202.240.86-131.202.244.3-56909-53-17,131.202.240.86,56909,131.202.244.3,53,31/03/2015 02:21:23 p.m.,17,1,1,2,41.0,175.0,216.0,596685.0828729281,5524.861878453038,362.0,8,8,128.5,skype_audio2b,0
10,131.202.240.86-131.202.244.3-56960-53-17,131.202.240.86,56960,131.202.244.3,53,31/03/2015 02:30:55 p.m.,17,1,1,2,40.0,410.0,450.0,5373.326805736325,23.88145246993922,83747.0,8,8,245.0,skype_audio2b,0
11,62.235.155.227-131.202.240.86-46519-49624-17,62.235.155.227,46519,131.202.240.86,49624,31/03/2015 02:24:06 p.m.,17,4,1,5,79.0,22.0,101.0,9.34624842976086,0.46268556582974557,2701618.75,32,8,24.8,skype_audio2b,0
12,91.38.201.87-131.202.240.86-25785-49624-17,91.38.201.87,25785,131.202.240.86,49624,31/03/2015 02:29:43 p.m.,17,1,1,2,18.0,26.0,44.0,301369.86301369866,13698.630136986301,146.0,8,8,31.0,skype_audio2b,0
13,148.87.19.206-131.202.240.86-23684-443-6,148.87.19.206,23684,131.202.240.86,443,31/03/2015 02:22:42 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,2000000.0,1.0,40,0,0.0,skype_audio2b,0
14,80.187.97.83-131.202.240.86-2655-49624-17,80.187.97.83,2655,131.202.240.86,49624,31/03/2015 02:30:14 p.m.,17,1,1,2,18.0,26.0,44.0,312056.73758865247,14184.397163120566,141.0,8,8,31.0,skype_audio2b,0
15,173.241.242.220-131.202.240.86-443-2216-6,173.241.242.220,443,131.202.240.86,2216,31/03/2015 02:31:00 p.m.,6,2,1,3,23.0,0.0,23.0,484.28189417387824,63.16720358789716,23746.5,40,20,15.333333333333336,skype_audio2b,0
16,131.202.240.86-131.202.240.150-49624-49876-6,131.202.240.86,49624,131.202.240.150,49876,31/03/2015 02:29:21 p.m.,6,21,31,52,302.0,282.0,584.0,5.744030349253176,0.5114547571252828,1993544.5490196084,672,992,11.269230769230768,skype_audio2b,0
17,131.202.240.86-131.202.243.255-137-137-17,131.202.240.86,137,131.202.243.255,137,31/03/2015 02:21:24 p.m.,17,6,0,6,300.0,0.0,300.0,79.66273982467824,1.5932547964935648,753175.2,48,0,58.33333333333334,skype_audio2b,0
18,173.194.123.120-131.202.240.86-443-2171-6,173.194.123.120,443,131.202.240.86,2171,31/03/2015 02:23:07 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,74074.07407407407,27.0,20,20,0.0,skype_audio2b,0
19,75.136.91.228-131.202.240.86-39734-49624-17,75.136.91.228,39734,131.202.240.86,49624,31/03/2015 02:30:29 p.m.,17,1,1,2,18.0,26.0,44.0,207547.16981132075,9433.962264150943,212.0,8,8,31.0,skype_audio2b,0
20,131.202.240.86-68.67.152.196-2205-80-6,131.202.240.86,2205,68.67.152.196,80,31/03/2015 02:30:55 p.m.,6,10,9,19,1996.0,5160.0,7156.0,1790.784068628371,4.754736906643243,222000.83333333328,212,192,376.6315789473685,skype_audio2b,0
21,131.202.240.86-184.26.182.161-2203-443-6,131.202.240.86,2203,184.26.182.161,443,31/03/2015 02:30:54 p.m.,6,14,11,25,2538.0,5172.0,7710.0,12146.95451745396,39.38701205400117,26446.95833333333,292,232,308.4,skype_audio2b,0
22,151.236.160.79-131.202.240.86-47928-49624-17,151.236.160.79,47928,131.202.240.86,49624,31/03/2015 02:30:58 p.m.,17,1,1,2,18.0,26.0,44.0,218905.47263681592,9950.248756218905,201.0,8,8,31.0,skype_audio2b,0
23,131.202.240.86-205.204.71.144-2208-80-6,131.202.240.86,2208,205.204.71.144,80,31/03/2015 02:30:55 p.m.,6,5,4,9,356.0,635.0,991.0,250.46985212421686,2.274700977919225,494570.5,124,104,110.11111111111113,skype_audio2b,0
24,119.160.118.114-131.202.240.86-38931-49624-17,119.160.118.114,38931,131.202.240.86,49624,31/03/2015 02:23:54 p.m.,17,7,5,12,145.0,115.0,260.0,11.048168655563654,0.5099154764106302,2139392.0,56,40,23.5,skype_audio2b,0
25,131.202.240.86-173.194.123.122-2218-443-6,131.202.240.86,2218,173.194.123.122,443,31/03/2015 02:30:55 p.m.,6,7,6,13,779.0,1142.0,1921.0,335.53922865801945,2.2706975390704076,477092.75,152,132,147.76923076923075,skype_audio2b,0
26,131.202.240.86-131.202.244.3-64211-53-17,131.202.240.86,64211,131.202.244.3,53,31/03/2015 02:21:23 p.m.,17,1,1,2,28.0,432.0,460.0,4247.343102222469,18.466709140097688,108303.0,8,8,244.0,skype_audio2b,0
27,81.241.186.162-131.202.240.86-12053-49624-17,81.241.186.162,12053,131.202.240.86,49624,31/03/2015 02:21:52 p.m.,17,1,1,2,18.0,26.0,44.0,252873.5632183908,11494.252873563219,174.0,8,8,31.0,skype_audio2b,0
28,42.0.7.232-131.202.240.86-28040-80-6,42.0.7.232,28040,131.202.240.86,80,31/03/2015 02:22:45 p.m.,6,4,2,6,0.0,0.0,0.0,0.0,1.2162848376918562,986611.0,140,80,0.0,skype_audio2b,0
29,131.202.240.86-131.202.244.3-52362-53-17,131.202.240.86,52362,131.202.244.3,53,31/03/2015 02:23:27 p.m.,17,1,1,2,34.0,306.0,340.0,5443.570982564563,32.021005779791544,62459.0,8,8,187.0,skype_audio2b,0
30,109.83.106.246-131.202.240.86-29744-49624-17,109.83.106.246,29744,131.202.240.86,49624,31/03/2015 02:27:11 p.m.,17,5,5,10,90.0,130.0,220.0,187.30721192363654,8.513964178347116,130504.55555555556,40,40,23.8,skype_audio2b,0
31,151.237.68.251-131.202.240.86-17826-49624-17,151.237.68.251,17826,131.202.240.86,49624,31/03/2015 02:24:59 p.m.,17,1,1,2,18.0,26.0,44.0,295302.0134228188,13422.818791946309,149.0,8,8,31.0,skype_audio2b,0
32,85.115.224.214-131.202.240.86-61518-49624-17,85.115.224.214,61518,131.202.240.86,49624,31/03/2015 02:26:01 p.m.,17,1,1,2,18.0,26.0,44.0,266666.6666666667,12121.212121212122,165.0,8,8,31.0,skype_audio2b,0
33,109.200.115.78-131.202.240.86-48201-49624-17,109.200.115.78,48201,131.202.240.86,49624,31/03/2015 02:25:26 p.m.,17,1,1,2,18.0,26.0,44.0,297297.29729729734,13513.513513513513,148.0,8,8,31.0,skype_audio2b,0
34,62.226.148.145-131.202.240.86-22662-49624-17,62.226.148.145,22662,131.202.240.86,49624,31/03/2015 02:23:23 p.m.,17,1,1,2,18.0,26.0,44.0,314285.7142857143,14285.714285714286,140.0,8,8,31.0,skype_audio2b,0
35,173.194.123.121-131.202.240.86-443-2172-6,173.194.123.121,443,131.202.240.86,2172,31/03/2015 02:23:07 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,66666.66666666667,30.0,20,20,0.0,skype_audio2b,0
36,131.202.240.86-68.67.152.226-2209-443-6,131.202.240.86,2209,68.67.152.226,443,31/03/2015 02:30:55 p.m.,6,31,27,58,7300.0,14860.0,22160.0,3716.0003159271027,9.725993606668409,104621.07017543864,632,552,382.06896551724134,skype_audio2b,0
37,131.202.240.86-208.71.122.72-2213-443-6,131.202.240.86,2213,208.71.122.72,443,31/03/2015 02:30:55 p.m.,6,11,9,20,1058.0,5047.0,6105.0,1144.057553309709,3.747936292578899,280856.31578947365,232,184,305.25,skype_audio2b,0
38,5.233.5.5-131.202.240.86-58632-49624-17,5.233.5.5,58632,131.202.240.86,49624,31/03/2015 02:29:37 p.m.,17,5,5,10,115.0,110.0,225.0,2.813300946779548,0.12503559763464658,8886358.222222222,40,40,24.8,skype_audio2b,0
39,131.202.240.86-131.202.240.2-1039-7725-6,131.202.240.86,1039,131.202.240.2,7725,31/03/2015 02:30:50 p.m.,6,2,2,4,40.0,0.0,40.0,102.11479745529924,10.211479745529925,130572.0,40,40,11.0,skype_audio2b,0
40,131.202.240.86-66.119.34.47-2176-443-6,131.202.240.86,2176,66.119.34.47,443,31/03/2015 02:23:17 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2083010900604344,9601486.0,40,0,0.0,skype_audio2b,0
41,42.0.7.232-131.202.240.86-12448-49624-6,42.0.7.232,12448,131.202.240.86,49624,31/03/2015 02:22:42 p.m.,6,6,3,9,92.0,62.0,154.0,18.811120108146838,1.0993511751514387,1023330.875,196,112,17.11111111111111,skype_audio2b,0
