,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-224.0.0.252-58232-5355-17,131.202.240.87,58232,224.0.0.252,5355,25/05/2015 01:07:49 p.m.,17,2,0,2,44.0,0.0,44.0,105.01168254968364,4.773258297712894,419001.0,16,0,33.0,skype_chat1b,0
1,131.202.240.70-224.0.0.252-54593-5355-17,131.202.240.70,54593,224.0.0.252,5355,25/05/2015 01:12:11 p.m.,17,2,0,2,44.0,0.0,44.0,104.4808016526963,4.749127347849832,421130.0,16,0,33.0,skype_chat1b,0
2,131.202.240.79-224.0.0.252-61587-5355-17,131.202.240.79,61587,224.0.0.252,5355,25/05/2015 01:08:16 p.m.,17,2,0,2,44.0,0.0,44.0,104.74594347527996,4.7611792488763625,420064.0,16,0,33.0,skype_chat1b,0
3,131.202.240.185-224.0.0.252-61830-5355-17,131.202.240.185,61830,224.0.0.252,5355,25/05/2015 01:13:08 p.m.,17,2,0,2,44.0,0.0,44.0,106.83579096120646,4.8561723164184745,411847.0,16,0,33.0,skype_chat1b,0
4,131.202.243.48-224.0.0.252-53150-5355-17,131.202.243.48,53150,224.0.0.252,5355,25/05/2015 01:22:22 p.m.,17,2,0,2,44.0,0.0,44.0,104.68264504494215,4.758302047497371,420318.0,16,0,33.0,skype_chat1b,0
5,122.172.69.123-131.202.240.87-24776-42322-17,122.172.69.123,24776,131.202.240.87,42322,25/05/2015 01:22:07 p.m.,17,4,4,8,72.0,104.0,176.0,29.267174884506908,1.3303261311139505,859080.4285714286,32,32,24.25,skype_chat1b,0
6,131.202.240.66-224.0.0.252-64505-5355-17,131.202.240.66,64505,224.0.0.252,5355,25/05/2015 01:11:05 p.m.,17,2,0,2,44.0,0.0,44.0,106.96409166822657,4.86200416673757,411353.0,16,0,33.0,skype_chat1b,0
7,131.202.240.102-224.0.0.252-49737-5355-17,131.202.240.102,49737,224.0.0.252,5355,25/05/2015 01:08:39 p.m.,17,2,0,2,44.0,0.0,44.0,100.60891257771469,4.573132389896122,437337.0,16,0,33.0,skype_chat1b,0
8,131.202.240.102-224.0.0.252-61221-5355-17,131.202.240.102,61221,224.0.0.252,5355,25/05/2015 01:08:39 p.m.,17,2,0,2,44.0,0.0,44.0,99.874022539751,4.5397282972614095,440555.0,16,0,33.0,skype_chat1b,0
9,131.202.242.93-224.0.0.252-64951-5355-17,131.202.242.93,64951,224.0.0.252,5355,25/05/2015 01:21:50 p.m.,17,2,0,2,44.0,0.0,44.0,106.16940776773994,4.825882171260907,414432.0,16,0,33.0,skype_chat1b,0
10,131.202.242.93-224.0.0.252-53346-5355-17,131.202.242.93,53346,224.0.0.252,5355,25/05/2015 01:10:08 p.m.,17,2,0,2,44.0,0.0,44.0,107.22135849461212,4.87369811339146,410366.0,16,0,33.0,skype_chat1b,0
11,131.202.243.49-224.0.0.252-53251-5355-17,131.202.243.49,53251,224.0.0.252,5355,25/05/2015 01:11:06 p.m.,17,2,0,2,44.0,0.0,44.0,104.55776816691221,4.752625825768737,420820.0,16,0,33.0,skype_chat1b,0
12,131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,25/05/2015 01:07:18 p.m.,17,105,0,105,5250.0,0.0,5250.0,60.053409786852725,1.2010681957370544,840597.8846153845,840,0,50.47619047619048,skype_chat1b,0
13,131.202.242.93-224.0.0.252-57363-5355-17,131.202.242.93,57363,224.0.0.252,5355,25/05/2015 01:08:25 p.m.,17,2,0,2,44.0,0.0,44.0,106.85499049233437,4.857045022378835,411773.0,16,0,33.0,skype_chat1b,0
14,131.202.240.185-224.0.0.252-49347-5355-17,131.202.240.185,49347,224.0.0.252,5355,25/05/2015 01:14:50 p.m.,17,2,0,2,44.0,0.0,44.0,107.18374704635694,4.871988502107135,410510.0,16,0,33.0,skype_chat1b,0
15,131.202.242.93-224.0.0.252-52004-5355-17,131.202.242.93,52004,224.0.0.252,5355,25/05/2015 01:09:34 p.m.,17,2,0,2,44.0,0.0,44.0,106.78782230506368,4.853991922957441,412032.0,16,0,33.0,skype_chat1b,0
16,131.202.240.242-224.0.0.252-64927-5355-17,131.202.240.242,64927,224.0.0.252,5355,25/05/2015 01:15:04 p.m.,17,2,0,2,44.0,0.0,44.0,106.90509742941832,4.859322610428106,411580.0,16,0,33.0,skype_chat1b,0
17,131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,25/05/2015 01:21:19 p.m.,17,24,0,24,504.0,0.0,504.0,4.382614221557063,0.20869591531224105,4999993.695652173,192,0,21.875,skype_chat1b,0
18,131.202.243.21-224.0.0.252-53912-5355-17,131.202.243.21,53912,224.0.0.252,5355,25/05/2015 01:14:13 p.m.,17,2,0,2,44.0,0.0,44.0,107.47251512553522,4.885114323887964,409407.0,16,0,33.0,skype_chat1b,0
19,131.202.240.185-224.0.0.252-57617-5355-17,131.202.240.185,57617,224.0.0.252,5355,25/05/2015 01:12:21 p.m.,17,2,0,2,44.0,0.0,44.0,106.48622092502643,4.840282769319384,413199.0,16,0,33.0,skype_chat1b,0
20,131.202.243.49-224.0.0.252-54104-5355-17,131.202.243.49,54104,224.0.0.252,5355,25/05/2015 01:08:16 p.m.,17,2,0,2,44.0,0.0,44.0,104.56099827236713,4.752772648743961,420807.0,16,0,33.0,skype_chat1b,0
21,131.202.242.93-224.0.0.252-58982-5355-17,131.202.242.93,58982,224.0.0.252,5355,25/05/2015 01:18:17 p.m.,17,2,0,2,44.0,0.0,44.0,106.82878744470396,4.8558539747592695,411874.0,16,0,33.0,skype_chat1b,0
22,131.202.243.48-224.0.0.252-54336-5355-17,131.202.243.48,54336,224.0.0.252,5355,25/05/2015 01:12:28 p.m.,17,2,0,2,44.0,0.0,44.0,111.69156880962171,5.076889491346441,393942.0,16,0,33.0,skype_chat1b,0
23,131.202.243.49-224.0.0.252-49695-5355-17,131.202.243.49,49695,224.0.0.252,5355,25/05/2015 01:20:30 p.m.,17,2,0,2,44.0,0.0,44.0,104.64007381881572,4.756366991764351,420489.0,16,0,33.0,skype_chat1b,0
24,131.202.240.87-224.0.0.252-60013-5355-17,131.202.240.87,60013,224.0.0.252,5355,25/05/2015 01:22:06 p.m.,17,2,0,2,44.0,0.0,44.0,105.08215513947269,4.776461597248758,418720.0,16,0,33.0,skype_chat1b,0
25,131.202.240.83-224.0.0.252-54365-5355-17,131.202.240.83,54365,224.0.0.252,5355,25/05/2015 01:18:57 p.m.,17,2,0,2,44.0,0.0,44.0,106.95473140993073,4.861578700451399,411389.0,16,0,33.0,skype_chat1b,0
26,131.202.242.93-224.0.0.252-53016-5355-17,131.202.242.93,53016,224.0.0.252,5355,25/05/2015 01:13:45 p.m.,17,2,0,2,44.0,0.0,44.0,106.63306109589705,4.846957322540775,412630.0,16,0,33.0,skype_chat1b,0
