,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.5-50301-53-17,131.202.240.150,50301,131.202.244.5,53,31/03/2015 02:57:41 p.m.,17,1,1,2,37.0,213.0,250.0,584112.1495327103,4672.897196261682,428.0,8,8,143.5,skype_file3,0
1,131.202.240.150-131.202.6.3-50301-53-17,131.202.240.150,50301,131.202.6.3,53,31/03/2015 02:57:41 p.m.,17,1,1,2,37.0,373.0,410.0,287921.3483146068,1404.4943820224719,1424.0,8,8,223.5,skype_file3,0
2,131.202.240.150-216.58.219.227-58412-443-6,131.202.240.150,58412,216.58.219.227,443,31/03/2015 02:58:31 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,77.93928529675382,25661.0,32,32,0.0,skype_file3,0
3,203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,31/03/2015 02:57:41 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.04559515417437144,29242873.666666664,0,0,0.0,skype_file3,0
4,131.202.240.150-131.202.244.3-50301-53-17,131.202.240.150,50301,131.202.244.3,53,31/03/2015 02:57:41 p.m.,17,1,1,2,37.0,373.0,410.0,788461.5384615384,3846.153846153847,520.0,8,8,223.5,skype_file3,0
5,131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,31/03/2015 03:00:16 p.m.,17,4,0,4,805.0,0.0,805.0,7.091235715388348,0.03523595386528372,37840137.33333333,32,0,259.25,skype_file3,0
6,182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,31/03/2015 03:00:03 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,23529.411764705877,85.0,0,0,0.0,skype_file3,0
7,131.202.240.150-216.58.219.238-51630-443-6,131.202.240.150,51630,216.58.219.238,443,31/03/2015 03:01:41 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.03355442840422,25630.0,32,32,0.0,skype_file3,0
8,213.74.216.98-131.202.240.150-0-0-0,213.74.216.98,0,131.202.240.150,0,31/03/2015 02:57:24 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.2416932302632553,5516635.0,0,0,0.0,skype_file3,0
9,131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 03:03:32 p.m.,6,26,15,41,260.0,260.0,520.0,64.52536752780732,5.087577055077117,201471.15,832,480,13.170731707317074,skype_file3,0
