,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.3-42884-53-17,131.202.240.150,42884,131.202.244.3,53,01/04/2015 02:52:41 p.m.,17,1,1,2,33.0,240.0,273.0,588362.0689655172,4310.344827586207,464.0,8,8,153.0,spotify4,0
1,131.202.240.150-131.202.6.3-18555-53-17,131.202.240.150,18555,131.202.6.3,53,01/04/2015 03:22:41 p.m.,17,1,1,2,33.0,192.0,225.0,180722.89156626503,1606.4257028112452,1245.0,8,8,129.0,spotify4,0
2,131.202.240.150-131.202.244.5-42884-53-17,131.202.240.150,42884,131.202.244.5,53,01/04/2015 02:52:41 p.m.,17,1,1,2,33.0,240.0,273.0,667481.662591687,4889.975550122249,409.0,8,8,153.0,spotify4,0
3,131.202.240.150-131.202.6.3-48782-53-17,131.202.240.150,48782,131.202.6.3,53,01/04/2015 03:07:41 p.m.,17,1,1,2,33.0,192.0,225.0,1484.0611828957003,13.19165495907289,151611.0,8,8,129.0,spotify4,0
4,131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,01/04/2015 03:24:01 p.m.,6,6,4,10,91.0,205.0,296.0,19.69133958253961,0.6652479588695814,1670220.999999999,192,128,30.7,spotify4,0
5,131.202.240.150-131.202.244.5-33001-53-17,131.202.240.150,33001,131.202.244.5,53,01/04/2015 02:51:27 p.m.,17,1,1,2,38.0,237.0,275.0,2618.149967630146,19.041090673673786,105036.0,8,8,156.5,spotify4,0
6,131.202.240.150-131.202.244.5-50537-53-17,131.202.240.150,50537,131.202.244.5,53,01/04/2015 03:23:43 p.m.,17,1,1,2,37.0,214.0,251.0,622828.7841191067,4962.779156327542,403.0,8,8,144.0,spotify4,0
7,203.205.176.12-131.202.240.150-0-0-0,203.205.176.12,0,131.202.240.150,0,01/04/2015 02:55:11 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.08632163176715467,15446109.0,0,0,0.0,spotify4,0
8,131.202.240.150-131.202.244.3-50537-53-17,131.202.240.150,50537,131.202.244.3,53,01/04/2015 03:23:43 p.m.,17,1,1,2,37.0,214.0,251.0,511201.62932790216,4073.319755600815,491.0,8,8,144.0,spotify4,0
9,131.202.240.150-216.58.219.237-54037-443-6,131.202.240.150,54037,216.58.219.237,443,01/04/2015 03:23:43 p.m.,6,15,14,29,1267.0,1183.0,2450.0,13569.4979839603,160.61854756524437,6448.285714285714,488,456,84.48275862068967,spotify4,0
10,131.202.240.150-173.194.123.105-41994-443-6,131.202.240.150,41994,173.194.123.105,443,01/04/2015 03:23:43 p.m.,6,16,15,31,2154.0,4524.0,6678.0,50451.78447311957,234.20265328941403,4412.133333333332,520,488,215.41935483870967,spotify4,0
11,131.202.240.150-131.202.244.3-33001-53-17,131.202.240.150,33001,131.202.244.3,53,01/04/2015 02:51:27 p.m.,17,1,1,2,38.0,237.0,275.0,636574.0740740739,4629.62962962963,432.0,8,8,156.5,spotify4,0
12,131.202.240.150-131.202.6.3-63157-53-17,131.202.240.150,63157,131.202.6.3,53,01/04/2015 03:06:00 p.m.,17,1,1,2,41.0,372.0,413.0,217941.95250659628,1055.4089709762534,1895.0,8,8,227.0,spotify4,0
13,131.202.240.150-184.29.105.115-43240-80-6,131.202.240.150,43240,184.29.105.115,80,01/04/2015 03:21:54 p.m.,6,684,822,1506,1712.0,2495681.0,2497393.0,5602940.351648647,3378.7346122868375,296.16544850498383,21888,26304,1658.519256308101,spotify4,0
14,203.205.144.12-131.202.240.150-0-0-0,203.205.144.12,0,131.202.240.150,0,01/04/2015 02:55:10 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.08800402213582767,15150822.666666668,0,0,0.0,spotify4,0
15,101.226.77.16-131.202.240.150-0-0-0,101.226.77.16,0,131.202.240.150,0,01/04/2015 02:55:20 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.04595603758128503,29013235.333333336,0,0,0.0,spotify4,0
16,113.99.136.16-131.202.240.150-0-0-0,113.99.136.16,0,131.202.240.150,0,01/04/2015 03:20:21 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.04555051780746819,29271529.666666664,0,0,0.0,spotify4,0
17,131.202.243.27-131.202.240.150-22788-135-6,131.202.243.27,22788,131.202.240.150,135,01/04/2015 03:21:03 p.m.,6,3,3,6,0.0,0.0,0.0,0.0,6.000876127914674,199970.8,92,60,0.0,spotify4,0
18,131.202.240.150-173.194.123.99-56138-443-6,131.202.240.150,56138,173.194.123.99,443,01/04/2015 03:10:00 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.73527887413786,25083.0,32,32,0.0,spotify4,0
19,203.205.148.12-131.202.240.150-0-0-0,203.205.148.12,0,131.202.240.150,0,01/04/2015 02:55:11 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.08792908044844798,15163735.666666668,0,0,0.0,spotify4,0
20,131.202.240.150-173.194.123.119-54627-443-6,131.202.240.150,54627,173.194.123.119,443,01/04/2015 02:56:41 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.66857871255576,25104.0,32,32,0.0,spotify4,0
21,131.202.240.150-131.202.244.3-29196-53-17,131.202.240.150,29196,131.202.244.3,53,01/04/2015 03:02:43 p.m.,17,1,1,2,37.0,373.0,410.0,9986.846592293075,48.716324840454035,41054.0,8,8,223.5,spotify4,0
22,182.254.5.12-131.202.240.150-0-0-0,182.254.5.12,0,131.202.240.150,0,01/04/2015 02:55:20 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.04557198186248793,29257743.0,0,0,0.0,spotify4,0
23,131.202.243.27-131.202.240.150-22789-135-6,131.202.243.27,22789,131.202.240.150,135,01/04/2015 03:21:04 p.m.,6,3,3,6,0.0,0.0,0.0,0.0,6.001260264655577,199958.0,92,60,0.0,spotify4,0
24,131.202.240.150-131.202.244.5-29196-53-17,131.202.240.150,29196,131.202.244.5,53,01/04/2015 03:02:43 p.m.,17,1,1,2,37.0,373.0,410.0,10114.46615354253,49.338859285573314,40536.0,8,8,223.5,spotify4,0
25,131.202.240.150-131.202.244.3-48782-53-17,131.202.240.150,48782,131.202.244.3,53,01/04/2015 03:07:41 p.m.,17,1,1,2,33.0,240.0,273.0,617647.0588235294,4524.886877828054,442.0,8,8,153.0,spotify4,0
26,131.202.240.150-173.194.123.105-41987-443-6,131.202.240.150,41987,173.194.123.105,443,01/04/2015 03:04:35 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.77662544874352,25070.0,32,32,0.0,spotify4,0
27,131.202.240.150-131.202.6.3-29196-53-17,131.202.240.150,29196,131.202.6.3,53,01/04/2015 03:02:43 p.m.,17,1,1,2,37.0,213.0,250.0,6110.079186626259,48.88063349301007,40916.0,8,8,143.5,spotify4,0
28,131.202.240.196-131.202.240.150-56870-135-6,131.202.240.196,56870,131.202.240.150,135,01/04/2015 03:18:39 p.m.,6,3,3,6,0.0,0.0,0.0,0.0,5.884879977872852,203912.4,92,60,0.0,spotify4,0
29,45.113.68.12-131.202.240.150-0-0-0,45.113.68.12,0,131.202.240.150,0,01/04/2015 02:55:11 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.08775308703294132,15194147.333333332,0,0,0.0,spotify4,0
30,131.202.240.150-131.202.6.3-50537-53-17,131.202.240.150,50537,131.202.6.3,53,01/04/2015 03:23:43 p.m.,17,1,1,2,37.0,214.0,251.0,186895.01116902454,1489.2032762472077,1343.0,8,8,144.0,spotify4,0
31,131.202.240.150-131.202.244.5-48782-53-17,131.202.240.150,48782,131.202.244.5,53,01/04/2015 03:07:41 p.m.,17,1,1,2,33.0,240.0,273.0,5862.143010521794,42.94610264118531,46570.0,8,8,153.0,spotify4,0
