,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-74.125.226.5-48003-443-6,131.202.240.150,48003,74.125.226.5,443,01/04/2015 01:42:11 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,80.15710793154581,24951.0,32,32,0.0,vimeo4,0
1,131.202.240.150-173.194.123.109-60897-443-6,131.202.240.150,60897,173.194.123.109,443,01/04/2015 01:42:03 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.57981855801368,25132.0,32,32,0.0,vimeo4,0
2,131.202.240.150-131.202.244.3-57688-53-17,131.202.240.150,57688,131.202.244.3,53,01/04/2015 01:38:03 p.m.,17,1,1,2,31.0,313.0,344.0,1829.0089323692048,10.633772862611655,188080.0,8,8,187.5,vimeo4,0
3,131.202.240.150-173.194.123.122-33448-443-6,131.202.240.150,33448,173.194.123.122,443,01/04/2015 01:42:02 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,76.59313725490195,26112.0,32,32,0.0,vimeo4,0
4,131.202.240.150-173.194.123.123-53191-443-6,131.202.240.150,53191,173.194.123.123,443,01/04/2015 01:42:03 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.61149590000797,25122.0,32,32,0.0,vimeo4,0
5,131.202.240.150-72.21.91.187-58291-443-6,131.202.240.150,58291,72.21.91.187,443,01/04/2015 01:43:03 p.m.,6,10,9,19,920.0,5653.0,6573.0,37089.49328518226,107.21137569123123,9845.555555555555,328,296,345.9473684210526,vimeo4,0
6,131.202.240.196-131.202.240.150-56664-135-6,131.202.240.196,56664,131.202.240.150,135,01/04/2015 01:42:24 p.m.,6,3,3,6,0.0,0.0,0.0,0.0,6.0158095474908055,199474.4,92,60,0.0,vimeo4,0
7,131.202.240.150-104.156.85.217-34239-443-6,131.202.240.150,34239,104.156.85.217,443,01/04/2015 01:43:21 p.m.,6,13,12,25,4964.0,2729.0,7693.0,764.0997662210295,2.4831007611498426,419502.37500000006,424,392,307.72,vimeo4,0
8,131.202.240.150-192.0.80.242-38882-443-6,131.202.240.150,38882,192.0.80.242,443,01/04/2015 01:38:03 p.m.,6,12,9,21,376.0,6298.0,6674.0,400.7102069067213,1.2608502165180024,832771.4000000001,392,296,317.8095238095238,vimeo4,0
9,131.202.240.150-131.202.244.5-43165-53-17,131.202.240.150,43165,131.202.244.5,53,01/04/2015 01:43:05 p.m.,17,1,1,2,27.0,291.0,318.0,7422.795919796457,46.68425106790225,42841.0,8,8,172.5,vimeo4,0
10,131.202.240.150-199.127.194.209-36725-443-6,131.202.240.150,36725,199.127.194.209,443,01/04/2015 01:42:07 p.m.,6,10,5,15,4019.0,1431.0,5450.0,68.12402327181634,0.18749731175729267,5714367.642857143,320,160,363.33333333333326,vimeo4,0
11,131.202.240.150-131.202.244.3-38561-53-17,131.202.240.150,38561,131.202.244.3,53,01/04/2015 01:42:18 p.m.,17,1,1,2,37.0,213.0,250.0,396196.5134706815,3169.572107765452,631.0,8,8,143.5,vimeo4,0
12,131.202.240.150-131.202.244.5-30070-53-17,131.202.240.150,30070,131.202.244.5,53,01/04/2015 01:38:33 p.m.,17,1,1,2,32.0,479.0,511.0,1249388.753056235,4889.975550122249,409.0,8,8,271.5,vimeo4,0
13,131.202.240.150-173.194.123.121-59335-443-6,131.202.240.150,59335,173.194.123.121,443,01/04/2015 01:38:03 p.m.,6,10,9,19,477.0,4153.0,4630.0,272.14460647596013,1.1167921216076118,945167.4444444444,340,296,243.68421052631575,vimeo4,0
14,131.202.240.150-131.202.244.3-30070-53-17,131.202.240.150,30070,131.202.244.3,53,01/04/2015 01:38:33 p.m.,17,1,1,2,32.0,482.0,514.0,1200934.5794392524,4672.897196261682,428.0,8,8,273.0,vimeo4,0
15,131.202.240.150-131.202.6.3-46603-53-17,131.202.240.150,46603,131.202.6.3,53,01/04/2015 01:39:03 p.m.,17,1,1,2,27.0,243.0,270.0,5847.953216374269,43.31817197314273,46170.0,8,8,148.5,vimeo4,0
16,131.202.240.150-131.202.6.3-43340-53-17,131.202.240.150,43340,131.202.6.3,53,01/04/2015 01:40:05 p.m.,17,1,1,2,34.0,250.0,284.0,6497.071742313324,45.75402635431918,43712.0,8,8,159.0,vimeo4,0
