,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,189.244.130.193-131.202.240.87-21521-61009-17,189.244.130.193,21521,131.202.240.87,61009,01/04/2015 03:17:21 p.m.,17,2,0,2,392.0,0.0,392.0,1027.3344340487984,5.241502214534687,381570.0,16,0,247.5,voipbuster3b,0
1,119.197.197.35-131.202.240.87-52731-61009-17,119.197.197.35,52731,131.202.240.87,61009,01/04/2015 03:17:19 p.m.,17,2,0,2,390.0,0.0,390.0,1694.3040971748567,8.68873895987106,230183.0,16,0,246.5,voipbuster3b,0
2,154.45.216.199-131.202.240.87-1068-61009-17,154.45.216.199,1068,131.202.240.87,61009,01/04/2015 03:17:55 p.m.,17,1,1,2,94.0,334.0,428.0,1678431.3725490198,7843.137254901961,255.0,8,8,261.0,voipbuster3b,0
3,61.161.109.108-131.202.240.87-39638-61009-17,61.161.109.108,39638,131.202.240.87,61009,01/04/2015 03:14:58 p.m.,17,1,1,2,101.0,287.0,388.0,1319727.8911564627,6802.7210884353735,294.0,8,8,244.5,voipbuster3b,0
4,119.7.26.225-131.202.240.87-8245-61009-17,119.7.26.225,8245,131.202.240.87,61009,01/04/2015 03:15:35 p.m.,17,1,1,2,101.0,287.0,388.0,1630252.100840336,8403.361344537814,238.0,8,8,244.5,voipbuster3b,0
5,131.202.240.87-80.239.235.228-17617-80-17,131.202.240.87,17617,80.239.235.228,80,01/04/2015 03:18:16 p.m.,17,50,50,100,8600.0,8600.0,17200.0,2460.4271759331314,14.304809162401927,70612.68686868684,400,400,173.72,voipbuster3b,0
6,131.202.240.87-195.219.64.228-17617-80-17,131.202.240.87,17617,195.219.64.228,80,01/04/2015 03:18:16 p.m.,17,50,50,100,8600.0,8600.0,17200.0,2454.2020219200194,14.268616406511741,70791.79797979798,400,400,173.72,voipbuster3b,0
7,131.202.240.87-144.76.175.238-61009-51413-17,131.202.240.87,61009,144.76.175.238,51413,01/04/2015 03:17:19 p.m.,17,1,1,2,103.0,268.0,371.0,2089.293357060798,11.26303696528732,177572.0,8,8,237.0,voipbuster3b,0
8,119.9.24.124-131.202.240.87-53121-61009-17,119.9.24.124,53121,131.202.240.87,61009,01/04/2015 03:13:46 p.m.,17,3,3,6,357.0,867.0,1224.0,13.299356519761801,0.06519292411647942,18406905.6,24,24,223.83333333333331,voipbuster3b,0
9,37.147.135.231-131.202.240.87-6881-61009-17,37.147.135.231,6881,131.202.240.87,61009,01/04/2015 03:14:52 p.m.,17,1,1,2,103.0,289.0,392.0,1555555.5555555557,7936.5079365079355,252.0,8,8,247.5,voipbuster3b,0
