,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-224.0.0.252-65260-5355-17,131.202.240.87,65260,224.0.0.252,5355,29/04/2015 10:05:23 a.m.,17,2,0,2,44.0,0.0,44.0,106.9898408282959,4.863174583104359,411254.0,16,0,33.0,voipbuster_4a,0
1,131.202.240.87-224.0.0.252-62624-5355-17,131.202.240.87,62624,224.0.0.252,5355,29/04/2015 10:25:41 a.m.,17,2,0,2,44.0,0.0,44.0,107.09635020506515,4.868015918412053,410845.0,16,0,33.0,voipbuster_4a,0
2,131.202.240.87-224.0.0.252-58155-5355-17,131.202.240.87,58155,224.0.0.252,5355,29/04/2015 09:55:34 a.m.,17,2,0,2,44.0,0.0,44.0,106.53598252809887,4.842544660368129,413006.0,16,0,33.0,voipbuster_4a,0
3,131.202.240.87-224.0.0.252-64554-5355-17,131.202.240.87,64554,224.0.0.252,5355,29/04/2015 10:31:25 a.m.,17,2,0,2,44.0,0.0,44.0,107.00285016682716,4.8637659166739615,411204.0,16,0,33.0,voipbuster_4a,0
4,131.202.240.87-224.0.0.252-56867-5355-17,131.202.240.87,56867,224.0.0.252,5355,29/04/2015 10:35:39 a.m.,17,2,0,2,44.0,0.0,44.0,106.76035696781176,4.8527434985368965,412138.0,16,0,33.0,voipbuster_4a,0
5,131.202.240.87-194.221.62.228-13929-80-17,131.202.240.87,13929,194.221.62.228,80,29/04/2015 09:48:24 a.m.,17,50,50,100,8600.0,8600.0,17200.0,2461.7269443885866,14.312365955747595,70575.40404040403,400,400,173.72,voipbuster_4a,0
6,131.202.240.87-224.0.0.252-56670-5355-17,131.202.240.87,56670,224.0.0.252,5355,29/04/2015 09:56:14 a.m.,17,2,0,2,44.0,0.0,44.0,107.03668925789519,4.8653040571770525,411074.0,16,0,33.0,voipbuster_4a,0
7,131.202.240.87-224.0.0.252-53073-5355-17,131.202.240.87,53073,224.0.0.252,5355,29/04/2015 10:06:16 a.m.,17,2,0,2,44.0,0.0,44.0,106.9557713577306,4.861625970805936,411385.0,16,0,33.0,voipbuster_4a,0
8,131.202.240.87-194.221.62.228-13949-80-17,131.202.240.87,13949,194.221.62.228,80,29/04/2015 10:49:16 a.m.,17,4,3,7,688.0,516.0,1204.0,2794.534410606233,16.24729308491996,71806.83333333334,32,24,196.57142857142856,voipbuster_4a,0
9,131.202.240.87-224.0.0.252-58609-5355-17,131.202.240.87,58609,224.0.0.252,5355,29/04/2015 10:02:13 a.m.,17,2,0,2,44.0,0.0,44.0,106.8962668908249,4.858921222310222,411614.0,16,0,33.0,voipbuster_4a,0
10,131.202.240.87-224.0.0.252-62329-5355-17,131.202.240.87,62329,224.0.0.252,5355,29/04/2015 10:00:43 a.m.,17,2,0,2,44.0,0.0,44.0,106.70779767231491,4.850354439650677,412341.0,16,0,33.0,voipbuster_4a,0
11,131.202.240.87-224.0.0.252-51332-5355-17,131.202.240.87,51332,224.0.0.252,5355,29/04/2015 10:45:45 a.m.,17,2,0,2,44.0,0.0,44.0,107.15659962884851,4.870754528584024,410614.0,16,0,33.0,voipbuster_4a,0
12,131.202.240.87-224.0.0.252-54654-5355-17,131.202.240.87,54654,224.0.0.252,5355,29/04/2015 10:35:30 a.m.,17,2,0,2,44.0,0.0,44.0,106.87497571023279,4.8579534413742165,411696.0,16,0,33.0,voipbuster_4a,0
13,131.202.240.87-224.0.0.252-51838-5355-17,131.202.240.87,51838,224.0.0.252,5355,29/04/2015 10:13:29 a.m.,17,2,0,2,48.0,0.0,48.0,116.4887382085488,4.8536974253562,412057.0,16,0,36.0,voipbuster_4a,0
14,131.202.240.87-224.0.0.252-62524-5355-17,131.202.240.87,62524,224.0.0.252,5355,29/04/2015 10:25:28 a.m.,17,2,0,2,44.0,0.0,44.0,107.13077014849787,4.8695804612953575,410713.0,16,0,33.0,voipbuster_4a,0
15,131.202.240.87-224.0.0.252-49907-5355-17,131.202.240.87,49907,224.0.0.252,5355,29/04/2015 09:50:41 a.m.,17,2,0,2,44.0,0.0,44.0,106.95655133185215,4.8616614241750975,411382.0,16,0,33.0,voipbuster_4a,0
16,131.202.240.87-131.202.244.3-13925-53-17,131.202.240.87,13925,131.202.244.3,53,29/04/2015 09:48:24 a.m.,17,1,1,2,37.0,121.0,158.0,554385.9649122807,7017.543859649124,285.0,8,8,97.5,voipbuster_4a,0
17,131.202.240.87-224.0.0.252-54180-5355-17,131.202.240.87,54180,224.0.0.252,5355,29/04/2015 10:44:04 a.m.,17,2,0,2,44.0,0.0,44.0,106.94823219433466,4.8612832815606675,411414.0,16,0,33.0,voipbuster_4a,0
18,131.202.240.87-131.202.244.3-13945-53-17,131.202.240.87,13945,131.202.244.3,53,29/04/2015 10:49:16 a.m.,17,1,1,2,37.0,121.0,158.0,410389.6103896104,5194.805194805194,385.0,8,8,97.5,voipbuster_4a,0
19,131.202.240.87-224.0.0.252-54474-5355-17,131.202.240.87,54474,224.0.0.252,5355,29/04/2015 10:05:36 a.m.,17,2,0,2,44.0,0.0,44.0,106.74067353365,4.851848796984091,412214.0,16,0,33.0,voipbuster_4a,0
