,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,204.236.238.164-10.8.8.138-21-50975-6,204.236.238.164,21,10.8.8.138,50975,22/05/2015 03:44:43 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,100000.0,20.0,32,32,0.0,vpn_ftps_A,1
1,75.101.155.12-10.8.8.138-1420-55570-6,75.101.155.12,1420,10.8.8.138,55570,22/05/2015 03:46:17 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,4000.0,500.0,40,0,0.0,vpn_ftps_A,1
2,75.101.155.12-10.8.8.138-21-54472-6,75.101.155.12,21,10.8.8.138,54472,22/05/2015 03:46:21 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,39215.68627450981,51.0,32,32,0.0,vpn_ftps_A,1
3,204.236.238.164-10.8.8.138-1265-47056-6,204.236.238.164,1265,10.8.8.138,47056,22/05/2015 03:42:08 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,33898.30508474576,59.0,40,0,0.0,vpn_ftps_A,1
4,10.8.8.138-131.202.244.3-9240-53-17,10.8.8.138,9240,131.202.244.3,53,22/05/2015 03:40:28 p.m.,17,1,1,2,35.0,35.0,70.0,276.6131486084383,7.903232817383953,253061.0,8,8,52.5,vpn_ftps_A,1
5,10.8.8.138-23.21.114.223-59312-443-6,10.8.8.138,59312,23.21.114.223,443,22/05/2015 03:46:11 p.m.,6,11,6,17,4617.0,2393.0,7010.0,685.7582681561348,1.66303716956552,638891.3125,352,192,468.1764705882353,vpn_ftps_A,1
6,204.236.238.164-10.8.8.138-21-50941-6,204.236.238.164,21,10.8.8.138,50941,22/05/2015 03:43:29 p.m.,6,2,1,3,0.0,0.0,0.0,0.0,801.4961261020572,1871.5,76,32,0.0,vpn_ftps_A,1
7,75.101.155.12-10.8.8.138-21-54414-6,75.101.155.12,21,10.8.8.138,54414,22/05/2015 03:44:20 p.m.,6,2,1,3,0.0,0.0,0.0,0.0,13.013998724628124,115260.5,52,32,0.0,vpn_ftps_A,1
8,10.8.8.138-74.125.226.64-58926-443-17,10.8.8.138,58926,74.125.226.64,443,22/05/2015 03:45:08 p.m.,17,9,8,17,2436.0,6684.0,9120.0,8334.209095436747,15.535258182283409,68392.8125,72,64,615.8823529411766,vpn_ftps_A,1
9,204.236.238.164-10.8.8.138-1361-52025-6,204.236.238.164,1361,10.8.8.138,52025,22/05/2015 03:44:19 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,111111.11111111114,18.0,40,0,0.0,vpn_ftps_A,1
10,204.236.238.164-10.8.8.138-1291-43679-6,204.236.238.164,1291,10.8.8.138,43679,22/05/2015 03:42:30 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,13605.442176870747,147.0,40,0,0.0,vpn_ftps_A,1
11,10.8.8.138-131.202.244.3-33250-53-17,10.8.8.138,33250,131.202.244.3,53,22/05/2015 03:44:48 p.m.,17,1,1,2,35.0,35.0,70.0,260.82809193072404,7.452231198020687,268376.0,8,8,52.5,vpn_ftps_A,1
12,10.8.8.138-204.236.238.164-50940-21-6,10.8.8.138,50940,204.236.238.164,21,22/05/2015 03:44:47 p.m.,6,32,19,51,2417.0,1999.0,4416.0,54.20673609531546,0.6260288815355727,1629317.7999999996,1024,608,88.88235294117645,vpn_ftps_A,1
13,204.236.238.164-10.8.8.138-1813-58134-6,204.236.238.164,1813,10.8.8.138,58134,22/05/2015 03:43:52 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,614.8170919151553,3253.0,40,0,0.0,vpn_ftps_A,1
14,10.8.8.138-74.125.226.35-60722-443-6,10.8.8.138,60722,74.125.226.35,443,22/05/2015 03:44:52 p.m.,6,15,13,28,659.0,4345.0,5004.0,54.800106590806855,0.3066352886775763,3381988.5555555555,488,424,178.71428571428572,vpn_ftps_A,1
15,204.236.238.164-10.8.8.138-1335-35158-6,204.236.238.164,1335,10.8.8.138,35158,22/05/2015 03:40:52 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,31746.031746031742,63.0,40,0,0.0,vpn_ftps_A,1
16,10.8.8.138-74.125.226.56-59887-443-17,10.8.8.138,59887,74.125.226.56,443,22/05/2015 03:44:48 p.m.,17,4,3,7,1751.0,1676.0,3427.0,7094.62117165795,14.491493493319421,80507.0,32,24,682.4285714285714,vpn_ftps_A,1
17,10.8.8.138-74.125.226.64-43452-443-6,10.8.8.138,43452,74.125.226.64,443,22/05/2015 03:45:08 p.m.,6,12,9,21,887.0,289.0,1176.0,25.501100971002124,0.4553768030536094,2305782.8000000003,392,296,56.0,vpn_ftps_A,1
18,10.8.8.138-74.125.22.188-49466-5228-6,10.8.8.138,49466,74.125.22.188,5228,22/05/2015 03:44:54 p.m.,6,3,2,5,0.0,0.0,0.0,0.0,0.05528040899011582,22611989.0,96,64,0.0,vpn_ftps_A,1
19,10.8.8.138-74.125.226.56-51239-443-6,10.8.8.138,51239,74.125.226.56,443,22/05/2015 03:44:48 p.m.,6,13,10,23,887.0,289.0,1176.0,12.875959260333511,0.2518257338330534,4151500.0454545454,424,328,51.1304347826087,vpn_ftps_A,1
20,204.236.238.164-10.8.8.138-1318-41865-6,204.236.238.164,1318,10.8.8.138,41865,22/05/2015 03:41:01 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,5154.639175257732,388.0,40,0,0.0,vpn_ftps_A,1
21,10.8.8.138-131.202.244.3-9393-53-17,10.8.8.138,9393,131.202.244.3,53,22/05/2015 03:46:12 p.m.,17,1,1,2,35.0,35.0,70.0,242.34115402857543,6.924032972245013,288849.0,8,8,52.5,vpn_ftps_A,1
22,10.8.8.138-74.125.226.33-41347-443-6,10.8.8.138,41347,74.125.226.33,443,22/05/2015 03:45:07 p.m.,6,14,12,26,663.0,4346.0,5009.0,108.48871921995377,0.5631277100656414,1846827.96,456,392,192.65384615384616,vpn_ftps_A,1
23,204.236.238.164-10.8.8.138-1999-47604-6,204.236.238.164,1999,10.8.8.138,47604,22/05/2015 03:44:35 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,42553.191489361714,47.0,40,0,0.0,vpn_ftps_A,1
24,10.8.8.138-74.125.226.33-36920-443-17,10.8.8.138,36920,74.125.226.33,443,22/05/2015 03:45:07 p.m.,17,8,5,13,5241.0,5079.0,10320.0,21882.20925498711,27.564798480119425,39301.33333333333,64,40,897.6923076923077,vpn_ftps_A,1
25,10.8.8.138-23.21.114.223-59271-443-6,10.8.8.138,59271,23.21.114.223,443,22/05/2015 03:44:10 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,8.651454525792149,231175.0,32,32,0.0,vpn_ftps_A,1
26,75.101.155.12-10.8.8.138-21-54459-6,75.101.155.12,21,10.8.8.138,54459,22/05/2015 03:46:02 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,40816.32653061225,49.0,32,32,0.0,vpn_ftps_A,1
27,204.236.238.164-10.8.8.138-1942-36949-6,204.236.238.164,1942,10.8.8.138,36949,22/05/2015 03:41:31 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,40000.0,50.0,40,0,0.0,vpn_ftps_A,1
28,204.236.238.164-10.8.8.138-1910-39647-6,204.236.238.164,1910,10.8.8.138,39647,22/05/2015 03:43:33 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,35087.71929824561,57.0,40,0,0.0,vpn_ftps_A,1
29,204.236.238.164-10.8.8.138-1841-38108-6,204.236.238.164,1841,10.8.8.138,38108,22/05/2015 03:42:27 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,80000.0,25.0,40,0,0.0,vpn_ftps_A,1
30,10.8.8.138-131.202.244.3-43896-53-17,10.8.8.138,43896,131.202.244.3,53,22/05/2015 03:43:40 p.m.,17,1,1,2,35.0,35.0,70.0,263.2766661651873,7.522190461862494,265880.0,8,8,52.5,vpn_ftps_A,1
31,10.8.8.138-74.125.226.35-54373-443-17,10.8.8.138,54373,74.125.226.35,443,22/05/2015 03:44:52 p.m.,17,4,3,7,3103.0,1501.0,4604.0,9477.307160266122,14.409459192411568,80965.33333333331,32,24,850.5714285714287,vpn_ftps_A,1
32,10.8.8.138-204.236.238.164-59805-1878-6,10.8.8.138,59805,204.236.238.164,1878,22/05/2015 03:40:44 p.m.,6,218,54,272,270331.0,4173.0,274504.0,103422.22742988773,102.4788194741405,9794.121771217713,7008,1736,1009.2058823529413,vpn_ftps_A,1
33,204.236.238.164-10.8.8.138-1878-59805-6,204.236.238.164,1878,10.8.8.138,59805,22/05/2015 03:40:47 p.m.,6,41,1,42,53.0,0.0,53.0,233.3753115340244,184.9389261213024,5539.073170731708,1312,20,1.261904761904762,vpn_ftps_A,1
34,10.8.8.138-204.236.238.164-44296-1901-6,10.8.8.138,44296,204.236.238.164,1901,22/05/2015 03:40:46 p.m.,6,77,24,101,85844.0,4173.0,90017.0,53884.81004702058,60.45931118287746,16705.450000000008,2472,776,891.2574257425744,vpn_ftps_A,1
35,204.236.238.164-10.8.8.138-1901-44296-6,204.236.238.164,1901,10.8.8.138,44296,22/05/2015 03:40:48 p.m.,6,19,1,20,53.0,0.0,53.0,225.86638937660882,85.23259976475802,12350.105263157895,608,20,2.65,vpn_ftps_A,1
36,10.8.8.138-204.236.238.164-53875-1879-6,10.8.8.138,53875,204.236.238.164,1879,22/05/2015 03:40:48 p.m.,6,178,50,228,218236.0,4173.0,222409.0,103533.30341664693,106.13596202939408,9463.3832599119,5704,1608,975.4780701754387,vpn_ftps_A,1
37,204.236.238.164-10.8.8.138-1879-53875-6,204.236.238.164,1879,10.8.8.138,53875,22/05/2015 03:40:50 p.m.,6,39,1,40,53.0,0.0,53.0,235.20953619342208,177.51663108937518,5777.717948717948,1248,20,1.325,vpn_ftps_A,1
38,10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,22/05/2015 03:40:50 p.m.,6,9,10,19,465.0,4487.0,4952.0,4687.54732983976,17.985339108835912,58689.77777777778,296,328,260.63157894736844,vpn_ftps_A,1
39,10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,22/05/2015 03:40:51 p.m.,6,3,0,3,53.0,0.0,53.0,407692.30769230775,23076.92307692308,65.0,96,0,17.666666666666668,vpn_ftps_A,1
40,10.8.8.138-204.236.238.164-32797-1742-6,10.8.8.138,32797,204.236.238.164,1742,22/05/2015 03:40:51 p.m.,6,272,70,342,341423.0,4173.0,345596.0,162337.07974948318,160.64792785310954,6243.046920821121,8712,2248,1010.514619883041,vpn_ftps_A,1
41,204.236.238.164-10.8.8.138-1742-32797-6,204.236.238.164,1742,10.8.8.138,32797,22/05/2015 03:40:53 p.m.,6,67,1,68,53.0,0.0,53.0,230.36166781847498,295.558366257666,3433.925373134329,2144,20,0.7794117647058824,vpn_ftps_A,1
42,10.8.8.138-204.236.238.164-36877-1410-6,10.8.8.138,36877,204.236.238.164,1410,22/05/2015 03:40:53 p.m.,6,260,134,394,325178.0,4173.0,329351.0,136482.9080903225,163.2734249708884,6140.279898218827,8328,4296,835.9162436548222,vpn_ftps_A,1
43,204.236.238.164-10.8.8.138-1410-36877-6,204.236.238.164,1410,10.8.8.138,36877,22/05/2015 03:40:56 p.m.,6,38,1,39,53.0,0.0,53.0,229.52267943909854,168.894047134431,6076.684210526313,1216,20,1.358974358974359,vpn_ftps_A,1
44,10.8.8.138-204.236.238.164-55089-1528-6,10.8.8.138,55089,204.236.238.164,1528,22/05/2015 03:40:56 p.m.,6,215,74,289,267003.0,4173.0,271176.0,110264.93984295617,117.51249230984426,8539.281250000007,6888,2376,938.3252595155707,vpn_ftps_A,1
45,204.236.238.164-10.8.8.138-1528-55089-6,204.236.238.164,1528,10.8.8.138,55089,22/05/2015 03:40:59 p.m.,6,26,1,27,53.0,0.0,53.0,215.03456782109123,109.5459119088578,9479.69230769231,832,20,1.9629629629629632,vpn_ftps_A,1
46,10.8.8.138-204.236.238.164-41865-1318-6,10.8.8.138,41865,204.236.238.164,1318,22/05/2015 03:40:59 p.m.,6,9,10,19,289.0,4663.0,4952.0,5060.48671417856,19.416245470394312,54364.55555555555,296,328,260.63157894736844,vpn_ftps_A,1
47,10.8.8.138-204.236.238.164-41865-1318-6,10.8.8.138,41865,204.236.238.164,1318,22/05/2015 03:41:00 p.m.,6,3,0,3,245.0,0.0,245.0,2058823.5294117646,25210.084033613442,59.5,96,0,81.66666666666667,vpn_ftps_A,1
48,10.8.8.138-204.236.238.164-48596-1592-6,10.8.8.138,48596,204.236.238.164,1592,22/05/2015 03:41:00 p.m.,6,2228,1033,3261,2898118.0,4173.0,2902291.0,468387.9515972332,526.278415968136,1900.7177914110428,71304,33064,890.0003066544003,vpn_ftps_A,1
49,204.236.238.164-10.8.8.138-1592-48596-6,204.236.238.164,1592,10.8.8.138,48596,22/05/2015 03:41:06 p.m.,6,92,1,93,53.0,0.0,53.0,238.47341021476106,418.4533424523166,2415.728260869566,2944,20,0.5698924731182796,vpn_ftps_A,1
50,10.8.8.138-204.236.238.164-53881-1362-6,10.8.8.138,53881,204.236.238.164,1362,22/05/2015 03:41:02 p.m.,6,1987,882,2869,2584103.0,4173.0,2588276.0,445045.9528005846,493.31556549026345,2027.8068340306781,63592,28232,902.1526664342977,vpn_ftps_A,1
51,204.236.238.164-10.8.8.138-1362-53881-6,204.236.238.164,1362,10.8.8.138,53881,22/05/2015 03:41:08 p.m.,6,91,1,92,53.0,0.0,53.0,242.06218714604114,420.18341919690164,2406.0659340659345,2912,20,0.5760869565217391,vpn_ftps_A,1
52,10.8.8.138-204.236.238.164-40097-1774-6,10.8.8.138,40097,204.236.238.164,1774,22/05/2015 03:41:07 p.m.,6,972,569,1541,1256397.0,4173.0,1260570.0,291690.51006791234,356.58081345316236,2806.2344155844194,31112,19236,818.0207657365347,vpn_ftps_A,1
53,204.236.238.164-10.8.8.138-1774-40097-6,204.236.238.164,1774,10.8.8.138,40097,22/05/2015 03:41:11 p.m.,6,47,1,48,53.0,0.0,53.0,231.76997922816224,209.9048868481469,4865.425531914895,1516,20,1.1041666666666667,vpn_ftps_A,1
54,10.8.8.138-204.236.238.164-49065-1616-6,10.8.8.138,49065,204.236.238.164,1616,22/05/2015 03:41:08 p.m.,6,1062,455,1517,1374474.0,4173.0,1378647.0,369045.01547896455,406.08022828293923,2464.191952506593,33992,14568,908.798286090969,vpn_ftps_A,1
55,204.236.238.164-10.8.8.138-1616-49065-6,204.236.238.164,1616,10.8.8.138,49065,22/05/2015 03:41:12 p.m.,6,72,1,73,53.0,0.0,53.0,232.5693649101097,320.33138940449084,3165.125,2304,20,0.726027397260274,vpn_ftps_A,1
56,10.8.8.138-204.236.238.164-45363-1406-6,10.8.8.138,45363,204.236.238.164,1406,22/05/2015 03:41:12 p.m.,6,224,72,296,278859.0,4173.0,283032.0,117172.57693393623,122.54120655065547,8188.183050847449,7176,2312,956.1891891891893,vpn_ftps_A,1
57,204.236.238.164-10.8.8.138-1406-45363-6,204.236.238.164,1406,10.8.8.138,45363,22/05/2015 03:41:15 p.m.,6,67,1,68,53.0,0.0,53.0,223.67304908568366,286.97674222314134,3536.6119402985078,2144,20,0.7794117647058824,vpn_ftps_A,1
58,10.8.8.138-204.236.238.164-41998-1306-6,10.8.8.138,41998,204.236.238.164,1306,22/05/2015 03:41:12 p.m.,6,682,445,1127,876779.0,4173.0,880952.0,223116.93357312746,285.43301353185484,3506.560390763766,21832,15184,781.678793256433,vpn_ftps_A,1
59,204.236.238.164-10.8.8.138-1306-41998-6,204.236.238.164,1306,10.8.8.138,41998,22/05/2015 03:41:16 p.m.,6,37,1,38,53.0,0.0,53.0,240.11235446020024,172.1560277261813,5965.675675675676,1184,20,1.3947368421052628,vpn_ftps_A,1
