,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.0.14-131.202.244.5-16882-53-17,10.8.0.14,16882,131.202.244.5,53,14/04/2015 05:05:19 p.m.,17,1,1,2,37.0,213.0,250.0,347222.2222222222,2777.777777777778,720.0,8,8,143.5,vpn_hangouts_audio1,1
1,10.8.0.14-131.202.244.3-62980-53-17,10.8.0.14,62980,131.202.244.3,53,14/04/2015 04:20:11 p.m.,17,1,1,2,37.0,373.0,410.0,584045.584045584,2849.002849002849,702.0,8,8,223.5,vpn_hangouts_audio1,1
2,10.8.0.14-131.202.244.3-41947-53-17,10.8.0.14,41947,131.202.244.3,53,14/04/2015 04:43:17 p.m.,17,1,1,2,33.0,345.0,378.0,466091.2453760789,2466.0912453760793,811.0,8,8,205.5,vpn_hangouts_audio1,1
3,10.8.0.14-131.202.244.3-2791-53-17,10.8.0.14,2791,131.202.244.3,53,14/04/2015 04:20:41 p.m.,17,1,1,2,37.0,373.0,410.0,616541.3533834587,3007.518796992481,665.0,8,8,223.5,vpn_hangouts_audio1,1
4,10.8.0.14-131.202.244.3-63468-53-17,10.8.0.14,63468,131.202.244.3,53,14/04/2015 04:41:44 p.m.,17,1,1,2,33.0,345.0,378.0,620689.6551724138,3284.072249589491,609.0,8,8,205.5,vpn_hangouts_audio1,1
5,10.8.0.14-131.202.244.5-50436-53-17,10.8.0.14,50436,131.202.244.5,53,14/04/2015 05:03:52 p.m.,17,1,1,2,33.0,185.0,218.0,310984.30813124106,2853.0670470756068,701.0,8,8,125.5,vpn_hangouts_audio1,1
6,10.8.0.14-131.202.244.5-6546-53-17,10.8.0.14,6546,131.202.244.5,53,14/04/2015 04:36:44 p.m.,17,1,1,2,33.0,345.0,378.0,418141.592920354,2212.389380530973,904.0,8,8,205.5,vpn_hangouts_audio1,1
7,10.8.0.14-131.202.244.3-23544-53-17,10.8.0.14,23544,131.202.244.3,53,14/04/2015 04:44:48 p.m.,17,1,1,2,33.0,345.0,378.0,525000.0,2777.777777777778,720.0,8,8,205.5,vpn_hangouts_audio1,1
8,10.8.0.14-131.202.244.5-15922-53-17,10.8.0.14,15922,131.202.244.5,53,14/04/2015 04:52:09 p.m.,17,1,1,2,32.0,82.0,114.0,137349.39759036145,2409.6385542168673,830.0,8,8,73.0,vpn_hangouts_audio1,1
9,10.8.0.14-131.202.244.5-31509-53-17,10.8.0.14,31509,131.202.244.5,53,14/04/2015 04:53:49 p.m.,17,1,1,2,37.0,213.0,250.0,282485.8757062147,2259.8870056497176,885.0,8,8,143.5,vpn_hangouts_audio1,1
