,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.178-157.55.235.169-15685-40028-17,10.8.8.178,15685,157.55.235.169,40028,03/06/2015 03:06:26 p.m.,17,1,1,2,34.0,20.0,54.0,384.5770364778441,14.243593943623853,140414.0,8,8,44.0,vpn_icq_chat1a,1
1,10.8.8.178-78.84.178.114-15685-18854-17,10.8.8.178,15685,78.84.178.114,18854,03/06/2015 03:22:31 p.m.,17,5,5,10,90.0,130.0,220.0,214.64754872499358,9.756706760226981,113881.77777777777,40,40,23.8,vpn_icq_chat1a,1
2,178.237.19.228-10.8.8.178-443-43993-6,178.237.19.228,443,10.8.8.178,43993,03/06/2015 03:19:57 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,76923.07692307692,26.0,20,20,0.0,vpn_icq_chat1a,1
3,10.8.8.178-111.221.74.14-15685-40029-17,10.8.8.178,15685,111.221.74.14,40029,03/06/2015 03:06:26 p.m.,17,1,1,2,41.0,20.0,61.0,159.1069146300112,5.216620151803647,383390.0,8,8,51.0,vpn_icq_chat1a,1
4,10.8.8.178-157.55.130.172-15685-40027-17,10.8.8.178,15685,157.55.130.172,40027,03/06/2015 03:22:10 p.m.,17,2,2,4,268.0,42.0,310.0,13.889333820505449,0.1792172105871671,7439761.666666666,16,16,111.0,vpn_icq_chat1a,1
5,10.8.8.178-64.4.23.162-15685-40019-17,10.8.8.178,15685,64.4.23.162,40019,03/06/2015 03:22:10 p.m.,17,2,2,4,274.0,42.0,316.0,14.113274570898392,0.17864904520124547,7463422.666666666,16,16,113.25,vpn_icq_chat1a,1
6,10.8.8.178-111.221.77.153-15685-40019-17,10.8.8.178,15685,111.221.77.153,40019,03/06/2015 03:22:31 p.m.,17,1,1,2,22.0,98.0,120.0,306.1739986834518,5.102899978057531,391934.0,8,8,71.0,vpn_icq_chat1a,1
7,10.8.8.178-111.221.77.171-15685-443-17,10.8.8.178,15685,111.221.77.171,443,03/06/2015 03:22:31 p.m.,17,1,1,2,18.0,26.0,44.0,113.28177296273029,5.149171498305923,388412.0,8,8,31.0,vpn_icq_chat1a,1
8,10.8.8.178-105.97.100.100-15685-11891-17,10.8.8.178,15685,105.97.100.100,11891,03/06/2015 03:22:51 p.m.,17,1,1,2,18.0,26.0,44.0,235.9907320003433,10.726851454561057,186448.0,8,8,31.0,vpn_icq_chat1a,1
9,10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,03/06/2015 03:21:30 p.m.,6,8,7,15,91.0,30.0,121.0,1.9695714878190225,0.24416175468830856,4388191.642857143,256,224,8.2,vpn_icq_chat1a,1
10,10.8.8.178-157.56.52.25-15685-40002-17,10.8.8.178,15685,157.56.52.25,40002,03/06/2015 03:16:30 p.m.,17,1,1,2,34.0,482.0,516.0,1886.4268662282066,7.311732039644212,273533.0,8,8,275.0,vpn_icq_chat1a,1
11,10.8.8.178-65.55.223.25-15685-40002-17,10.8.8.178,15685,65.55.223.25,40002,03/06/2015 03:06:26 p.m.,17,1,1,2,34.0,482.0,516.0,2437.457486206636,9.447509636459829,211696.0,8,8,275.0,vpn_icq_chat1a,1
12,10.8.8.178-191.254.252.23-15685-32994-17,10.8.8.178,15685,191.254.252.23,32994,03/06/2015 03:22:31 p.m.,17,1,1,2,18.0,26.0,44.0,93.08032408876478,4.230923822216581,472710.0,8,8,31.0,vpn_icq_chat1a,1
13,10.8.8.178-157.55.130.142-15685-40019-17,10.8.8.178,15685,157.55.130.142,40019,03/06/2015 03:16:30 p.m.,17,1,1,2,41.0,20.0,61.0,296.57288157018326,9.723701035087977,205683.0,8,8,51.0,vpn_icq_chat1a,1
14,10.8.8.178-118.106.47.16-15685-57835-17,10.8.8.178,15685,118.106.47.16,57835,03/06/2015 03:22:31 p.m.,17,5,5,10,90.0,130.0,220.0,117.52569939810816,5.342077245368553,207992.3333333333,40,40,23.8,vpn_icq_chat1a,1
15,10.8.8.178-198.7.63.141-38264-53-17,10.8.8.178,38264,198.7.63.141,53,03/06/2015 03:22:41 p.m.,17,1,1,2,36.0,126.0,162.0,170.5557590994656,2.105626655548958,949836.0,8,8,99.0,vpn_icq_chat1a,1
16,10.8.8.178-111.221.77.147-15685-443-17,10.8.8.178,15685,111.221.77.147,443,03/06/2015 03:22:31 p.m.,17,1,1,2,18.0,26.0,44.0,113.25611325611324,5.148005148005148,388500.0,8,8,31.0,vpn_icq_chat1a,1
17,10.8.8.178-134.170.25.26-54269-443-6,10.8.8.178,54269,134.170.25.26,443,03/06/2015 03:22:29 p.m.,6,5,3,8,1914.0,1370.0,3284.0,1833.3422655733607,4.4661200135770045,255894.85714285716,160,96,574.0,vpn_icq_chat1a,1
18,10.8.8.178-198.7.63.141-54299-53-17,10.8.8.178,54299,198.7.63.141,53,03/06/2015 03:22:41 p.m.,17,1,1,2,36.0,409.0,445.0,468.12391713470294,2.103927717459339,950603.0,8,8,240.5,vpn_icq_chat1a,1
19,10.8.8.178-157.56.53.46-38688-12350-6,10.8.8.178,38688,157.56.53.46,12350,03/06/2015 03:19:30 p.m.,6,2,1,3,5.0,5.0,10.0,36.331796498341454,10.899538949502436,137620.5,64,32,5.0,vpn_icq_chat1a,1
20,178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,03/06/2015 03:23:00 p.m.,6,16,17,33,3638.0,291.0,3929.0,376.5116525996265,3.1623528978843667,326102.1250000001,320,340,119.66666666666669,vpn_icq_chat1a,1
21,10.8.8.178-111.221.77.153-15685-40033-17,10.8.8.178,15685,111.221.77.153,40033,03/06/2015 03:06:26 p.m.,17,1,1,2,35.0,443.0,478.0,1249.640532273666,5.228621473948394,382510.0,8,8,256.5,vpn_icq_chat1a,1
22,10.8.8.178-96.44.142.5-50611-123-17,10.8.8.178,50611,96.44.142.5,123,03/06/2015 03:11:13 p.m.,17,1,1,2,48.0,48.0,96.0,396.72864174163874,8.265180036284141,241979.0,8,8,72.0,vpn_icq_chat1a,1
23,10.8.8.178-111.221.77.154-15685-40005-17,10.8.8.178,15685,111.221.77.154,40005,03/06/2015 03:22:31 p.m.,17,1,1,2,22.0,98.0,120.0,313.3371978254399,5.222286630423998,382974.0,8,8,71.0,vpn_icq_chat1a,1
24,10.8.8.178-157.55.130.147-15685-40019-17,10.8.8.178,15685,157.55.130.147,40019,03/06/2015 03:16:30 p.m.,17,1,1,2,34.0,20.0,54.0,256.48454680605494,9.499427659483516,210539.0,8,8,44.0,vpn_icq_chat1a,1
25,10.8.8.178-157.55.130.168-15685-40019-17,10.8.8.178,15685,157.55.130.168,40019,03/06/2015 03:16:30 p.m.,17,1,1,2,35.0,443.0,478.0,2318.328863194347,9.700120766503543,206183.0,8,8,256.5,vpn_icq_chat1a,1
26,10.8.8.178-78.46.223.24-54299-53-17,10.8.8.178,54299,78.46.223.24,53,03/06/2015 03:22:41 p.m.,17,1,1,2,36.0,409.0,445.0,468.1204700139911,2.103912224781982,950610.0,8,8,240.5,vpn_icq_chat1a,1
27,10.8.8.178-188.54.181.196-15685-26861-17,10.8.8.178,15685,188.54.181.196,26861,03/06/2015 03:22:31 p.m.,17,1,1,2,18.0,26.0,44.0,131.01164812653343,5.955074914842429,335848.0,8,8,31.0,vpn_icq_chat1a,1
28,178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,03/06/2015 03:00:55 p.m.,6,64,65,129,6100.0,1483.0,7583.0,65.8395129616017,1.120044464202376,899796.8671875001,1280,1300,60.77519379844962,vpn_icq_chat1a,1
29,10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,03/06/2015 03:01:30 p.m.,6,3,3,6,4.0,2.0,6.0,0.07139782616466632,0.07139782616466632,16807234.4,96,96,1.3333333333333333,vpn_icq_chat1a,1
30,10.8.8.178-134.170.25.26-54269-443-6,10.8.8.178,54269,134.170.25.26,443,03/06/2015 03:02:30 p.m.,6,4,1,5,1407.0,149.0,1556.0,1313.2552694789686,4.219971945626505,296210.5,128,32,405.0,vpn_icq_chat1a,1
31,178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,03/06/2015 03:02:56 p.m.,6,83,82,165,8742.0,1590.0,10332.0,89.21260781378626,1.4247077322178407,706178.2134146342,1660,1640,62.84848484848485,vpn_icq_chat1a,1
