,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.138-74.125.226.63-57042-443-6,10.8.8.138,57042,74.125.226.63,443,24/05/2015 01:07:33 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,8.391268046470842,238343.0,32,32,0.0,vpn_netflix_A,1
1,10.8.8.138-131.202.244.3-51746-53-17,10.8.8.138,51746,131.202.244.3,53,24/05/2015 01:23:35 p.m.,17,1,1,2,33.0,33.0,66.0,258.1785891713641,7.823593611253456,255637.0,8,8,49.5,vpn_netflix_A,1
2,209.148.205.32-10.8.8.138-80-41273-6,209.148.205.32,80,10.8.8.138,41273,24/05/2015 01:07:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,166666.66666666663,12.0,32,32,0.0,vpn_netflix_A,1
3,209.148.205.32-10.8.8.138-80-41296-6,209.148.205.32,80,10.8.8.138,41296,24/05/2015 01:08:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,40000.0,50.0,32,32,0.0,vpn_netflix_A,1
4,10.8.8.138-74.125.226.63-44264-443-17,10.8.8.138,44264,74.125.226.63,443,24/05/2015 01:03:33 p.m.,17,9,8,17,6247.0,5423.0,11670.0,25761.760011655708,37.52784234774182,28312.3125,72,64,765.8823529411765,vpn_netflix_A,1
5,54.243.70.179-10.8.8.138-443-42087-6,54.243.70.179,443,10.8.8.138,42087,24/05/2015 01:18:18 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,41666.66666666666,48.0,32,32,0.0,vpn_netflix_A,1
6,10.8.8.138-74.125.226.58-42354-443-6,10.8.8.138,42354,74.125.226.58,443,24/05/2015 01:04:20 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.145281949042491,218692.0,32,32,0.0,vpn_netflix_A,1
7,107.22.243.234-10.8.8.138-443-35936-6,107.22.243.234,443,10.8.8.138,35936,24/05/2015 01:10:41 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,9.58611929925468,208635.0,40,0,0.0,vpn_netflix_A,1
8,54.243.108.61-10.8.8.138-443-51762-6,54.243.108.61,443,10.8.8.138,51762,24/05/2015 01:20:32 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,34482.758620689645,58.0,32,32,0.0,vpn_netflix_A,1
9,10.8.8.138-50.16.198.195-443-44471-6,10.8.8.138,443,50.16.198.195,44471,24/05/2015 01:14:45 p.m.,6,6,0,6,0.0,0.0,0.0,0.0,5020.92050209205,239.0,120,0,0.0,vpn_netflix_A,1
10,209.148.205.41-10.8.8.138-80-57836-6,209.148.205.41,80,10.8.8.138,57836,24/05/2015 01:08:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,90909.09090909091,22.0,32,32,0.0,vpn_netflix_A,1
11,10.8.8.138-131.202.244.3-17603-53-17,10.8.8.138,17603,131.202.244.3,53,24/05/2015 01:14:45 p.m.,17,1,1,2,33.0,33.0,66.0,266.15800913809164,8.065394216305808,247973.0,8,8,49.5,vpn_netflix_A,1
12,10.8.8.138-131.202.244.3-22969-53-17,10.8.8.138,22969,131.202.244.3,53,24/05/2015 01:25:29 p.m.,17,1,1,2,37.0,37.0,74.0,294.0966067610425,7.948556939487637,251618.0,8,8,55.5,vpn_netflix_A,1
13,209.148.205.16-10.8.8.138-80-58753-6,209.148.205.16,80,10.8.8.138,58753,24/05/2015 01:07:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,153846.15384615384,13.0,32,32,0.0,vpn_netflix_A,1
14,209.148.205.33-10.8.8.138-80-54020-6,209.148.205.33,80,10.8.8.138,54020,24/05/2015 01:08:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,142857.14285714287,14.0,32,32,0.0,vpn_netflix_A,1
15,74.125.226.65-10.8.8.138-443-36057-6,74.125.226.65,443,10.8.8.138,36057,24/05/2015 01:26:06 p.m.,6,2,1,3,0.0,0.0,0.0,0.0,14.411852307337554,104081.0,64,32,0.0,vpn_netflix_A,1
16,173.223.153.85-10.8.8.138-80-42637-6,173.223.153.85,80,10.8.8.138,42637,24/05/2015 01:08:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,166666.66666666663,12.0,32,32,0.0,vpn_netflix_A,1
17,10.8.8.138-74.125.226.33-58187-443-6,10.8.8.138,58187,74.125.226.33,443,24/05/2015 01:07:41 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.309383392990963,214837.0,32,32,0.0,vpn_netflix_A,1
18,10.8.8.138-74.125.226.37-53315-443-6,10.8.8.138,53315,74.125.226.37,443,24/05/2015 01:03:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.77450223347376,204614.0,32,32,0.0,vpn_netflix_A,1
19,10.8.8.138-50.19.232.176-443-55467-6,10.8.8.138,443,50.19.232.176,55467,24/05/2015 01:16:50 p.m.,6,6,0,6,0.0,0.0,0.0,0.0,5439.709882139619,220.6,120,0,0.0,vpn_netflix_A,1
20,209.148.205.16-10.8.8.138-80-58788-6,209.148.205.16,80,10.8.8.138,58788,24/05/2015 01:07:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,142857.14285714287,14.0,32,32,0.0,vpn_netflix_A,1
21,10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,24/05/2015 01:32:53 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.156125676981043,218433.0,32,32,0.0,vpn_netflix_A,1
22,209.148.205.41-10.8.8.138-80-57837-6,209.148.205.41,80,10.8.8.138,57837,24/05/2015 01:03:48 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,74074.07407407407,27.0,32,32,0.0,vpn_netflix_A,1
23,10.8.8.138-216.58.221.142-55602-443-17,10.8.8.138,55602,216.58.221.142,443,24/05/2015 01:19:01 p.m.,17,8,6,14,4634.0,4459.0,9093.0,10328.083914971918,15.901591862928278,67724.23076923077,64,48,745.9285714285713,vpn_netflix_A,1
24,50.16.198.195-10.8.8.138-443-44471-6,50.16.198.195,443,10.8.8.138,44471,24/05/2015 01:14:45 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,9.332928906414054,214295.0,40,0,0.0,vpn_netflix_A,1
25,10.8.8.138-185.2.220.137-43533-80-6,10.8.8.138,43533,185.2.220.137,80,24/05/2015 01:31:39 p.m.,6,12791,24824,37615,16048.0,32449733.0,32465781.0,422969.77989124844,490.0546908330746,2040.6428191630841,416332,794368,863.1250830785591,vpn_netflix_A,1
26,23.21.207.234-10.8.8.138-443-46958-6,23.21.207.234,443,10.8.8.138,46958,24/05/2015 01:29:41 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,9.371675983674539,213409.0,40,0,0.0,vpn_netflix_A,1
27,10.8.8.138-74.125.226.56-56126-443-17,10.8.8.138,56126,74.125.226.56,443,24/05/2015 01:11:55 p.m.,17,5,4,9,2081.0,1705.0,3786.0,5869.931253895456,13.953877782635793,80622.75,40,32,570.6666666666666,vpn_netflix_A,1
28,107.22.243.234-10.8.8.138-443-35969-6,107.22.243.234,443,10.8.8.138,35969,24/05/2015 01:21:42 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,95238.09523809524,21.0,32,32,0.0,vpn_netflix_A,1
29,209.148.205.16-10.8.8.138-80-58754-6,209.148.205.16,80,10.8.8.138,58754,24/05/2015 01:07:38 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,250000.0,8.0,32,32,0.0,vpn_netflix_A,1
30,108.160.163.107-10.8.8.138-443-36320-6,108.160.163.107,443,10.8.8.138,36320,24/05/2015 01:31:49 p.m.,6,4,2,6,554.0,1172.0,1726.0,36.84363916022887,0.12807754053381992,9369324.2,128,64,333.8333333333333,vpn_netflix_A,1
31,209.148.205.32-10.8.8.138-80-41267-6,209.148.205.32,80,10.8.8.138,41267,24/05/2015 01:05:18 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,200000.0,10.0,32,32,0.0,vpn_netflix_A,1
32,10.8.8.138-131.202.244.3-7349-53-17,10.8.8.138,7349,131.202.244.3,53,24/05/2015 01:19:01 p.m.,17,1,1,2,41.0,41.0,82.0,329.2709860059831,8.030999658682513,249035.0,8,8,61.5,vpn_netflix_A,1
33,23.21.207.234-10.8.8.138-443-46960-6,23.21.207.234,443,10.8.8.138,46960,24/05/2015 01:23:46 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,76923.07692307692,26.0,32,32,0.0,vpn_netflix_A,1
34,10.8.8.138-74.125.226.34-59391-443-17,10.8.8.138,59391,74.125.226.34,443,24/05/2015 01:07:30 p.m.,17,4,3,7,3112.0,1501.0,4613.0,9954.360562346923,15.105251232696395,77235.83333333331,32,24,851.8571428571429,vpn_netflix_A,1
35,209.148.205.16-10.8.8.138-80-58778-6,209.148.205.16,80,10.8.8.138,58778,24/05/2015 01:05:18 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,285714.2857142857,7.0,32,32,0.0,vpn_netflix_A,1
36,10.8.8.138-216.58.219.200-38609-443-6,10.8.8.138,38609,216.58.219.200,443,24/05/2015 01:03:43 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.149758675114942,218585.0,32,32,0.0,vpn_netflix_A,1
