,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.0.6-157.55.56.160-40273-40010-17,10.8.0.6,40273,157.55.56.160,40010,14/04/2015 02:09:36 p.m.,17,1,1,2,34.0,20.0,54.0,1129.6598468683321,41.839253587715994,47802.0,8,8,44.0,vpn_skype_audio1,1
1,10.8.0.6-65.55.223.21-40273-40029-17,10.8.0.6,40273,65.55.223.21,40029,14/04/2015 02:07:56 p.m.,17,1,1,2,38.0,20.0,58.0,1765.22506619594,60.86982986882552,32857.0,8,8,48.0,vpn_skype_audio1,1
2,10.8.0.6-157.55.130.167-40273-40019-17,10.8.0.6,40273,157.55.130.167,40019,14/04/2015 02:07:52 p.m.,17,1,1,2,34.0,20.0,54.0,1597.9167899627155,59.18210333195242,33794.0,8,8,44.0,vpn_skype_audio1,1
3,10.8.0.6-149.13.32.15-40273-13392-17,10.8.0.6,40273,149.13.32.15,13392,14/04/2015 02:57:00 p.m.,17,2,2,4,1090.0,22.0,1112.0,7867.108130288366,28.29895010895096,47116.0,16,16,376.75,vpn_skype_audio1,1
4,10.8.0.6-111.221.74.19-40273-40017-17,10.8.0.6,40273,111.221.74.19,40017,14/04/2015 02:25:01 p.m.,17,1,1,2,32.0,20.0,52.0,200.5167161531639,7.712181390506305,259330.0,8,8,42.0,vpn_skype_audio1,1
5,10.8.0.6-95.62.106.124-40273-37582-17,10.8.0.6,40273,95.62.106.124,37582,14/04/2015 02:50:58 p.m.,17,3,0,3,303.0,0.0,303.0,50.19537264928693,0.4969838876167022,3018206.5,24,0,134.66666666666666,vpn_skype_audio1,1
6,10.8.0.6-213.199.179.168-40273-40013-17,10.8.0.6,40273,213.199.179.168,40013,14/04/2015 02:31:29 p.m.,17,1,1,2,33.0,20.0,53.0,445.09015175054793,16.795854783039545,119077.0,8,8,43.0,vpn_skype_audio1,1
7,10.8.0.6-64.4.23.146-40273-40030-17,10.8.0.6,40273,64.4.23.146,40030,14/04/2015 02:24:13 p.m.,17,1,1,2,33.0,20.0,53.0,540.3531666734635,20.39068553484768,98084.0,8,8,43.0,vpn_skype_audio1,1
8,10.8.0.6-157.55.130.176-40273-40016-17,10.8.0.6,40273,157.55.130.176,40016,14/04/2015 02:19:44 p.m.,17,1,1,2,38.0,20.0,58.0,1764.312222425017,60.83835249741437,32874.0,8,8,48.0,vpn_skype_audio1,1
9,95.121.28.148-10.8.0.6-40273-12089-17,95.121.28.148,40273,10.8.0.6,12089,14/04/2015 02:51:01 p.m.,17,2,0,2,222.0,0.0,222.0,36.71172120920472,0.33073622710995243,6047115.0,16,0,166.5,vpn_skype_audio1,1
10,10.8.0.6-111.221.77.171-40273-40004-17,10.8.0.6,40273,111.221.77.171,40004,14/04/2015 02:56:23 p.m.,17,1,1,2,144.0,58.0,202.0,826.5883180973736,8.184042753439343,244378.0,8,8,173.0,vpn_skype_audio1,1
11,10.8.0.6-131.202.6.3-4972-53-17,10.8.0.6,4972,131.202.6.3,53,14/04/2015 02:44:57 p.m.,17,1,1,2,36.0,409.0,445.0,3046.421994482211,13.691784244863868,146073.0,8,8,240.5,vpn_skype_audio1,1
12,10.8.0.6-74.125.226.95-50214-443-6,10.8.0.6,50214,74.125.226.95,443,14/04/2015 02:57:32 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,76.1846716440652,26252.0,32,32,0.0,vpn_skype_audio1,1
13,10.8.0.6-111.221.77.159-40273-40005-17,10.8.0.6,40273,111.221.77.159,40005,14/04/2015 01:55:42 p.m.,17,1,1,2,34.0,1284.0,1318.0,5388.609509791897,8.176949180260845,244590.0,8,8,676.0,vpn_skype_audio1,1
14,10.8.0.6-213.199.179.159-40273-40004-17,10.8.0.6,40273,213.199.179.159,40004,14/04/2015 02:53:04 p.m.,17,1,1,2,31.0,20.0,51.0,464.18072102738665,18.203165530485748,109871.0,8,8,41.0,vpn_skype_audio1,1
15,10.8.0.6-157.55.56.159-40273-40005-17,10.8.0.6,40273,157.55.56.159,40005,14/04/2015 02:55:03 p.m.,17,1,1,2,34.0,1284.0,1318.0,27872.943365901112,42.295816943704274,47286.0,8,8,676.0,vpn_skype_audio1,1
16,10.8.0.6-213.199.179.194-40273-33033-17,10.8.0.6,40273,213.199.179.194,33033,14/04/2015 01:57:11 p.m.,17,1,1,2,34.0,20.0,54.0,484.48743024278195,17.943978897880818,111458.0,8,8,44.0,vpn_skype_audio1,1
17,10.8.0.6-65.55.223.22-40273-40017-17,10.8.0.6,40273,65.55.223.22,40017,14/04/2015 02:48:11 p.m.,17,1,1,2,32.0,1297.0,1329.0,37552.981068098336,56.51313930488839,35390.0,8,8,680.5,vpn_skype_audio1,1
18,10.8.0.6-173.194.123.103-43623-443-6,10.8.0.6,43623,173.194.123.103,443,14/04/2015 02:56:49 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,77.34550235903781,25858.0,32,32,0.0,vpn_skype_audio1,1
19,10.8.0.6-111.221.74.45-40273-40008-17,10.8.0.6,40273,111.221.74.45,40008,14/04/2015 02:42:56 p.m.,17,1,1,2,35.0,20.0,55.0,214.72548322993973,7.808199390179628,256141.0,8,8,45.0,vpn_skype_audio1,1
20,10.8.0.6-111.221.77.168-40273-40014-17,10.8.0.6,40273,111.221.77.168,40014,14/04/2015 02:53:04 p.m.,17,1,1,2,33.0,20.0,53.0,214.29033510156555,8.086427739681719,247328.0,8,8,43.0,vpn_skype_audio1,1
21,10.8.0.6-157.55.56.156-40273-40031-17,10.8.0.6,40273,157.55.56.156,40031,14/04/2015 02:53:04 p.m.,17,1,1,2,37.0,20.0,57.0,1212.430604300938,42.54142471231362,47013.0,8,8,47.0,vpn_skype_audio1,1
22,10.8.0.6-111.221.77.143-40273-40026-17,10.8.0.6,40273,111.221.77.143,40026,14/04/2015 02:19:02 p.m.,17,1,1,2,34.0,20.0,54.0,209.3023255813953,7.751937984496124,258000.0,8,8,44.0,vpn_skype_audio1,1
23,10.8.0.6-111.221.77.165-40273-40028-17,10.8.0.6,40273,111.221.77.165,40028,14/04/2015 02:19:02 p.m.,17,1,1,2,33.0,20.0,53.0,212.70533087718877,8.026616259516556,249171.0,8,8,43.0,vpn_skype_audio1,1
24,10.8.0.6-111.221.77.158-40273-443-17,10.8.0.6,40273,111.221.77.158,443,14/04/2015 01:56:22 p.m.,17,1,1,2,18.0,26.0,44.0,178.99275892929782,8.136034496786266,245820.0,8,8,31.0,vpn_skype_audio1,1
25,10.8.0.6-65.55.223.19-40273-40014-17,10.8.0.6,40273,65.55.223.19,40014,14/04/2015 02:02:57 p.m.,17,1,1,2,34.0,857.0,891.0,26382.802321449715,59.2206561648703,33772.0,8,8,462.5,vpn_skype_audio1,1
26,10.8.0.6-131.202.152.90-40273-65028-17,10.8.0.6,40273,131.202.152.90,65028,14/04/2015 02:24:15 p.m.,17,1,1,2,165.0,18.0,183.0,35064.188541866264,383.2151753209427,5219.0,8,8,174.0,vpn_skype_audio1,1
