,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.134-157.55.235.155-15685-443-17,10.8.8.134,15685,157.55.235.155,443,05/06/2015 10:11:19 a.m.,17,1,1,2,18.0,26.0,44.0,314.70832260464056,14.304923754756386,139812.0,8,8,31.0,vpn_skype_files1a,1
1,10.8.8.134-50.183.58.89-15685-61070-17,10.8.8.134,15685,50.183.58.89,61070,05/06/2015 10:18:45 a.m.,17,12,4,16,4260.0,84.0,4344.0,79.87022485821748,0.2941813070284254,3625881.866666666,96,32,272.8125,vpn_skype_files1a,1
2,10.8.8.134-111.221.74.27-15685-40034-17,10.8.8.134,15685,111.221.74.27,40034,05/06/2015 10:26:34 a.m.,17,1,1,2,35.0,20.0,55.0,144.7269397357023,5.262797808570993,380026.0,8,8,45.0,vpn_skype_files1a,1
3,10.8.8.134-81.105.201.97-15685-21981-17,10.8.8.134,15685,81.105.201.97,21981,05/06/2015 10:48:07 a.m.,17,1,1,2,18.0,26.0,44.0,319.5561075161049,14.525277614368406,137691.0,8,8,31.0,vpn_skype_files1a,1
4,10.8.8.134-73.45.157.98-50838-36950-6,10.8.8.134,50838,73.45.157.98,36950,05/06/2015 10:12:22 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,8.792406877420659,227469.0,32,32,0.0,vpn_skype_files1a,1
5,10.8.8.134-73.209.160.18-15685-49415-17,10.8.8.134,15685,73.209.160.18,49415,05/06/2015 10:12:59 a.m.,17,1,1,2,18.0,26.0,44.0,191.8548879393041,8.720676724513822,229340.0,8,8,31.0,vpn_skype_files1a,1
6,10.8.8.134-73.25.184.121-37938-58698-6,10.8.8.134,37938,73.25.184.121,58698,05/06/2015 09:56:37 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,5.19608734622829,384905.0,32,32,0.0,vpn_skype_files1a,1
7,10.8.8.134-114.180.50.175-15685-31443-17,10.8.8.134,15685,114.180.50.175,31443,05/06/2015 10:12:01 a.m.,17,1,1,2,18.0,26.0,44.0,107.93414054987538,4.906097297721608,407656.0,8,8,31.0,vpn_skype_files1a,1
8,46.17.57.54-10.8.8.134-15685-5144-17,46.17.57.54,15685,10.8.8.134,5144,05/06/2015 10:46:49 a.m.,17,24,0,24,672.0,0.0,672.0,12.42980581609851,0.4439216362892324,2350591.1304347827,192,0,29.16666666666667,vpn_skype_files1a,1
9,10.8.8.134-68.186.166.162-15685-11413-17,10.8.8.134,15685,68.186.166.162,11413,05/06/2015 10:16:40 a.m.,17,13,4,17,1372.0,88.0,1460.0,24.510934663719716,0.2854012940296131,3722828.2500000005,104,32,87.1764705882353,vpn_skype_files1a,1
10,10.8.8.134-126.88.18.197-15685-15249-17,10.8.8.134,15685,126.88.18.197,15249,05/06/2015 10:26:34 a.m.,17,1,1,2,18.0,26.0,44.0,104.2110747951305,4.736867036142296,422220.0,8,8,31.0,vpn_skype_files1a,1
11,10.8.8.134-213.199.179.159-15685-40005-17,10.8.8.134,15685,213.199.179.159,40005,05/06/2015 10:28:04 a.m.,17,1,1,2,43.0,21.0,64.0,450.2096288584372,14.069050901826165,142156.0,8,8,53.5,vpn_skype_files1a,1
