,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.138-193.235.32.101-48631-80-6,10.8.8.138,48631,193.235.32.101,80,24/05/2015 11:41:20 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.20564490145357,217258.0,32,32,0.0,vpn_spotify_A,1
1,198.41.30.199-10.8.8.138-80-57111-6,198.41.30.199,80,10.8.8.138,57111,24/05/2015 11:54:26 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,90909.09090909091,22.0,32,32,0.0,vpn_spotify_A,1
2,74.125.226.37-10.8.8.138-443-53285-6,74.125.226.37,443,10.8.8.138,53285,24/05/2015 12:04:29 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,37037.03703703704,54.0,32,32,0.0,vpn_spotify_A,1
3,54.192.55.186-10.8.8.138-80-38629-6,54.192.55.186,80,10.8.8.138,38629,24/05/2015 11:41:32 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,100000.0,20.0,32,32,0.0,vpn_spotify_A,1
4,10.8.8.138-74.125.226.40-52719-443-6,10.8.8.138,52719,74.125.226.40,443,24/05/2015 12:41:21 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.777703901792744,204547.0,32,32,0.0,vpn_spotify_A,1
5,10.8.8.138-74.125.226.46-37123-443-6,10.8.8.138,37123,74.125.226.46,443,24/05/2015 12:31:58 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.2240711360366,216824.0,32,32,0.0,vpn_spotify_A,1
6,74.125.226.63-10.8.8.138-443-56857-6,74.125.226.63,443,10.8.8.138,56857,24/05/2015 11:54:15 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,117647.0588235294,17.0,32,32,0.0,vpn_spotify_A,1
7,10.8.8.138-74.125.226.71-43676-443-17,10.8.8.138,43676,74.125.226.71,443,24/05/2015 11:54:50 a.m.,17,12,11,23,6878.0,7711.0,14589.0,13138.922786651236,20.71390939015549,50471.13636363637,96,88,693.0,vpn_spotify_A,1
8,10.8.8.138-74.125.226.63-56862-443-6,10.8.8.138,56862,74.125.226.63,443,24/05/2015 12:04:31 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,7.881524917441027,253758.0,32,32,0.0,vpn_spotify_A,1
9,24.156.140.49-10.8.8.138-443-47270-6,24.156.140.49,443,10.8.8.138,47270,24/05/2015 11:41:43 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,117647.0588235294,17.0,32,32,0.0,vpn_spotify_A,1
10,10.8.8.138-131.202.244.3-16082-53-17,10.8.8.138,16082,131.202.244.3,53,24/05/2015 12:08:13 p.m.,17,1,1,2,33.0,33.0,66.0,252.9065088938789,7.663833602844816,260966.0,8,8,49.5,vpn_spotify_A,1
11,10.8.8.138-74.125.226.35-50093-443-17,10.8.8.138,50093,74.125.226.35,443,24/05/2015 12:14:45 p.m.,17,2,1,3,1387.0,1350.0,2737.0,12466.635693658733,13.664562324068761,109773.0,16,8,1362.3333333333333,vpn_spotify_A,1
12,54.230.52.100-10.8.8.138-443-33878-6,54.230.52.100,443,10.8.8.138,33878,24/05/2015 11:41:43 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,57142.857142857145,35.0,32,32,0.0,vpn_spotify_A,1
13,10.8.8.138-74.125.226.32-51784-443-17,10.8.8.138,51784,74.125.226.32,443,24/05/2015 12:12:22 p.m.,17,11,10,21,7725.0,8096.0,15821.0,658.8547205143772,0.8745306321219849,1200644.0500000005,88,80,817.6666666666665,vpn_spotify_A,1
14,10.8.8.138-74.125.226.55-46514-443-17,10.8.8.138,46514,74.125.226.55,443,24/05/2015 11:44:15 a.m.,17,9,8,17,6179.0,4488.0,10667.0,21628.625131541863,34.46954413014077,30824.3125,72,64,706.8823529411765,vpn_spotify_A,1
15,10.8.8.138-74.125.226.33-57976-443-6,10.8.8.138,57976,74.125.226.33,443,24/05/2015 11:47:50 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,8.987834965374367,222523.0,32,32,0.0,vpn_spotify_A,1
16,10.8.8.138-74.125.226.63-56871-443-6,10.8.8.138,56871,74.125.226.63,443,24/05/2015 12:21:29 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.849208616087695,203062.0,32,32,0.0,vpn_spotify_A,1
17,74.125.226.47-10.8.8.138-443-45326-6,74.125.226.47,443,10.8.8.138,45326,24/05/2015 11:48:54 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,66666.66666666669,30.0,32,32,0.0,vpn_spotify_A,1
18,10.8.8.138-131.202.244.3-46664-53-17,10.8.8.138,46664,131.202.244.3,53,24/05/2015 12:09:23 p.m.,17,1,1,2,37.0,37.0,74.0,294.9088373019826,7.970509116269803,250925.0,8,8,55.5,vpn_spotify_A,1
19,10.8.8.138-74.125.226.63-55316-443-17,10.8.8.138,55316,74.125.226.63,443,24/05/2015 12:17:29 p.m.,17,4,3,7,1756.0,1676.0,3432.0,7404.291123264619,15.101992384280985,77252.5,32,24,683.1428571428571,vpn_spotify_A,1
20,10.8.8.138-131.202.244.3-24478-53-17,10.8.8.138,24478,131.202.244.3,53,24/05/2015 12:11:09 p.m.,17,1,1,2,39.0,39.0,78.0,303.3661980047839,7.778620461661124,257115.0,8,8,58.5,vpn_spotify_A,1
21,10.8.8.138-74.125.226.35-52548-443-17,10.8.8.138,52548,74.125.226.35,443,24/05/2015 12:14:46 p.m.,17,2,1,3,1387.0,1350.0,2737.0,12981.099860086792,14.228461666152858,105422.5,16,8,1362.3333333333333,vpn_spotify_A,1
22,10.8.8.138-74.125.226.47-41951-443-17,10.8.8.138,41951,74.125.226.47,443,24/05/2015 12:28:35 p.m.,17,4,2,6,1753.0,1659.0,3412.0,13869.242150789392,24.389054192478408,49202.40000000001,32,16,793.6666666666665,vpn_spotify_A,1
23,10.8.8.138-74.125.226.32-33832-443-6,10.8.8.138,33832,74.125.226.32,443,24/05/2015 12:18:46 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.814168715374386,203787.0,32,32,0.0,vpn_spotify_A,1
24,10.8.8.138-131.202.244.3-50223-53-17,10.8.8.138,50223,131.202.244.3,53,24/05/2015 12:28:35 p.m.,17,1,1,2,33.0,33.0,66.0,255.484200624775,7.741945473478031,258333.0,8,8,49.5,vpn_spotify_A,1
25,10.8.8.138-74.125.226.40-41928-443-17,10.8.8.138,41928,74.125.226.40,443,24/05/2015 12:37:20 p.m.,17,4,3,7,2403.0,1501.0,3904.0,8363.03811351796,14.995201535508635,77802.66666666669,32,24,750.5714285714287,vpn_spotify_A,1
26,10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,24/05/2015 12:45:37 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.327792624514373,214413.0,32,32,0.0,vpn_spotify_A,1
27,10.8.8.138-74.125.226.35-49132-443-17,10.8.8.138,49132,74.125.226.35,443,24/05/2015 12:24:47 p.m.,17,5,3,8,3830.0,2361.0,6191.0,13527.095705676966,17.479690784270023,65382.0,40,24,942.625,vpn_spotify_A,1
28,10.8.8.138-216.58.219.205-37960-443-17,10.8.8.138,37960,216.58.219.205,443,24/05/2015 12:27:56 p.m.,17,10,9,19,6039.0,4719.0,10758.0,15114.433033142726,26.69401632549841,39542.77777777778,80,72,637.2631578947369,vpn_spotify_A,1
29,10.8.8.138-131.202.244.3-10128-53-17,10.8.8.138,10128,131.202.244.3,53,24/05/2015 12:24:47 p.m.,17,1,1,2,41.0,41.0,82.0,318.19822197042305,7.760932243181051,257701.0,8,8,61.5,vpn_spotify_A,1
30,10.8.8.138-131.202.244.3-6986-53-17,10.8.8.138,6986,131.202.244.3,53,24/05/2015 12:14:45 p.m.,17,1,1,2,37.0,37.0,74.0,290.4626206008652,7.850341097320678,254766.0,8,8,55.5,vpn_spotify_A,1
31,10.8.8.138-131.202.244.3-37784-53-17,10.8.8.138,37784,131.202.244.3,53,24/05/2015 11:54:26 a.m.,17,1,1,2,38.0,38.0,76.0,304.50425905299176,8.01326997507873,249586.0,8,8,57.0,vpn_spotify_A,1
32,10.8.8.138-131.202.244.3-18988-53-17,10.8.8.138,18988,131.202.244.3,53,24/05/2015 12:17:28 p.m.,17,1,1,2,33.0,33.0,66.0,253.9379621863289,7.695089763222088,259906.0,8,8,49.5,vpn_spotify_A,1
33,10.8.8.138-74.125.226.63-56856-443-6,10.8.8.138,56856,74.125.226.63,443,24/05/2015 11:58:05 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.860863219966276,202822.0,32,32,0.0,vpn_spotify_A,1
34,10.8.8.138-74.125.226.63-33588-443-17,10.8.8.138,33588,74.125.226.63,443,24/05/2015 12:00:30 p.m.,17,4,2,6,1753.0,1658.0,3411.0,10452.000772179475,18.38522563268158,65269.8,32,16,793.5,vpn_spotify_A,1
35,10.8.8.138-74.125.226.40-33262-443-17,10.8.8.138,33262,74.125.226.40,443,24/05/2015 11:54:49 a.m.,17,10,7,17,7946.0,5188.0,13134.0,28541.005693424315,36.94206614802904,28761.25000000001,80,56,852.0,vpn_spotify_A,1
36,10.8.8.138-131.202.244.3-60959-53-17,10.8.8.138,60959,131.202.244.3,53,24/05/2015 12:37:20 p.m.,17,1,1,2,37.0,37.0,74.0,296.93236763437193,8.025199125253296,249215.0,8,8,55.5,vpn_spotify_A,1
37,74.125.226.56-10.8.8.138-443-38002-6,74.125.226.56,443,10.8.8.138,38002,24/05/2015 12:42:04 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,37735.84905660377,53.0,32,32,0.0,vpn_spotify_A,1
38,10.8.8.138-74.125.226.32-42030-443-17,10.8.8.138,42030,74.125.226.32,443,24/05/2015 12:12:22 p.m.,17,7,5,12,2965.0,1628.0,4593.0,192.20162716483142,0.5021597051987757,2172434.545454546,56,40,495.25,vpn_spotify_A,1
39,10.8.8.138-131.202.244.3-47022-53-17,10.8.8.138,47022,131.202.244.3,53,24/05/2015 12:41:54 p.m.,17,1,1,2,33.0,33.0,66.0,256.2251054016911,7.76439713338458,257586.0,8,8,49.5,vpn_spotify_A,1
40,10.8.8.138-131.202.244.3-41150-53-17,10.8.8.138,41150,131.202.244.3,53,24/05/2015 12:27:56 p.m.,17,1,1,2,37.0,37.0,74.0,294.92881853109503,7.971049149489055,250908.0,8,8,55.5,vpn_spotify_A,1
41,10.8.8.138-74.125.226.47-39020-443-17,10.8.8.138,39020,74.125.226.47,443,24/05/2015 11:48:43 a.m.,17,4,3,7,1756.0,1678.0,3434.0,7149.385515103441,14.573587246861994,80053.5,32,24,683.4285714285714,vpn_spotify_A,1
42,10.8.8.138-131.202.244.3-31162-53-17,10.8.8.138,31162,131.202.244.3,53,24/05/2015 11:54:05 a.m.,17,1,1,2,33.0,33.0,66.0,260.37249046287127,7.890075468571856,253483.0,8,8,49.5,vpn_spotify_A,1
43,10.8.8.138-108.160.170.38-43577-443-6,10.8.8.138,43577,108.160.170.38,443,24/05/2015 12:44:15 p.m.,6,4,5,9,2035.0,554.0,2589.0,29.012780471585987,0.10085555204491074,11154566.875,128,160,318.4444444444445,vpn_spotify_A,1
44,10.8.8.138-74.125.226.56-54454-443-17,10.8.8.138,54454,74.125.226.56,443,24/05/2015 12:41:54 p.m.,17,4,3,7,1756.0,1677.0,3433.0,7136.175608539298,14.550896958862536,80178.33333333334,32,24,683.2857142857142,vpn_spotify_A,1
45,10.8.8.138-131.202.244.3-1643-53-17,10.8.8.138,1643,131.202.244.3,53,24/05/2015 11:41:56 a.m.,17,1,1,2,38.0,38.0,76.0,302.3022704491575,7.955322906556777,251404.0,8,8,57.0,vpn_spotify_A,1
46,10.8.8.138-74.125.226.69-39029-443-17,10.8.8.138,39029,74.125.226.69,443,24/05/2015 12:24:47 p.m.,17,8,7,15,2393.0,5248.0,7641.0,7215.072618133713,14.163864582123505,75645.21428571429,64,56,599.4,vpn_spotify_A,1
47,10.8.8.138-74.125.226.55-38380-443-17,10.8.8.138,38380,74.125.226.55,443,24/05/2015 12:08:13 p.m.,17,4,3,7,1756.0,1676.0,3432.0,7466.225770661561,15.228315965801555,76611.66666666669,32,24,683.1428571428571,vpn_spotify_A,1
48,10.8.8.138-194.132.198.82-35523-4070-6,10.8.8.138,35523,194.132.198.82,4070,24/05/2015 12:45:21 p.m.,6,2,0,2,11.0,0.0,11.0,229166.66666666663,41666.66666666666,48.0,64,0,11.0,vpn_spotify_A,1
49,10.8.8.138-131.202.244.3-53352-53-17,10.8.8.138,53352,131.202.244.3,53,24/05/2015 11:43:50 a.m.,17,1,1,2,37.0,37.0,74.0,277.33429276007587,7.495521425947996,266826.0,8,8,55.5,vpn_spotify_A,1
50,10.8.8.138-74.125.226.69-51748-443-6,10.8.8.138,51748,74.125.226.69,443,24/05/2015 12:28:48 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.362331595060434,213622.0,32,32,0.0,vpn_spotify_A,1
51,10.8.8.138-74.125.226.33-45451-443-17,10.8.8.138,45451,74.125.226.33,443,24/05/2015 11:43:50 a.m.,17,2,1,3,1387.0,1350.0,2737.0,13040.78521059653,14.29388221841052,104940.0,16,8,1362.3333333333333,vpn_spotify_A,1
52,10.8.8.138-74.125.226.46-35247-443-17,10.8.8.138,35247,74.125.226.46,443,24/05/2015 12:27:57 p.m.,17,4,3,7,3112.0,1502.0,4614.0,9993.762021105162,15.161754258286981,76948.0,32,24,852.0,vpn_spotify_A,1
53,10.8.8.138-74.125.226.47-45325-443-6,10.8.8.138,45325,74.125.226.47,443,24/05/2015 11:52:44 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.384692627854708,213113.0,32,32,0.0,vpn_spotify_A,1
54,10.8.8.138-74.125.226.40-52699-443-6,10.8.8.138,52699,74.125.226.40,443,24/05/2015 11:58:50 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.788327419552184,204325.0,32,32,0.0,vpn_spotify_A,1
55,10.8.8.138-131.202.244.3-31792-53-17,10.8.8.138,31792,131.202.244.3,53,24/05/2015 12:04:18 p.m.,17,1,1,2,37.0,37.0,74.0,226.69415588592997,6.126869077998107,326431.0,8,8,55.5,vpn_spotify_A,1
56,10.8.8.138-74.125.226.55-44233-443-6,10.8.8.138,44233,74.125.226.55,443,24/05/2015 12:12:14 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.782821365681864,204440.0,32,32,0.0,vpn_spotify_A,1
57,10.8.8.138-74.125.226.40-42623-443-17,10.8.8.138,42623,74.125.226.40,443,24/05/2015 12:37:20 p.m.,17,16,14,30,13793.0,8459.0,22252.0,28337.6525797681,38.204636769415906,27077.413793103446,128,112,786.7333333333332,vpn_spotify_A,1
58,198.41.30.199-10.8.8.138-80-57112-6,198.41.30.199,80,10.8.8.138,57112,24/05/2015 11:54:27 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,26315.78947368421,76.0,32,32,0.0,vpn_spotify_A,1
59,10.8.8.138-74.125.226.63-41914-443-17,10.8.8.138,41914,74.125.226.63,443,24/05/2015 11:54:05 a.m.,17,4,3,7,1756.0,1677.0,3433.0,7459.637991351774,15.210447404445796,76701.66666666669,32,24,683.2857142857142,vpn_spotify_A,1
60,10.8.8.138-74.125.226.48-57978-443-6,10.8.8.138,57978,74.125.226.48,443,24/05/2015 11:44:52 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.661182335494217,207014.0,32,32,0.0,vpn_spotify_A,1
