,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.222-224.0.0.252-62589-5355-17,10.8.8.222,62589,224.0.0.252,5355,22/05/2015 01:27:53 p.m.,17,2,0,2,44.0,0.0,44.0,106.79171005079887,4.854168638672675,412017.0,16,0,33.0,vpn_voipbuster1a,1
1,10.8.8.222-224.0.0.252-56845-5355-17,10.8.8.222,56845,224.0.0.252,5355,22/05/2015 12:37:01 p.m.,17,2,0,2,44.0,0.0,44.0,106.46998756236964,4.839544889198621,413262.0,16,0,33.0,vpn_voipbuster1a,1
2,10.8.8.222-224.0.0.252-53263-5355-17,10.8.8.222,53263,224.0.0.252,5355,22/05/2015 01:07:49 p.m.,17,2,0,2,44.0,0.0,44.0,106.71219720414041,4.850554418370018,412324.0,16,0,33.0,vpn_voipbuster1a,1
3,10.8.8.222-224.0.0.252-61592-5355-17,10.8.8.222,61592,224.0.0.252,5355,22/05/2015 01:17:13 p.m.,17,2,0,2,44.0,0.0,44.0,106.9360158070874,4.860727991231246,411461.0,16,0,33.0,vpn_voipbuster1a,1
4,10.8.8.222-224.0.0.252-59434-5355-17,10.8.8.222,59434,224.0.0.252,5355,22/05/2015 01:17:47 p.m.,17,2,0,2,44.0,0.0,44.0,106.46354712342756,4.8392521419739785,413287.0,16,0,33.0,vpn_voipbuster1a,1
5,10.8.8.222-224.0.0.252-61153-5355-17,10.8.8.222,61153,224.0.0.252,5355,22/05/2015 12:36:23 p.m.,17,2,0,2,44.0,0.0,44.0,106.430069397243,4.8377304271474095,413417.0,16,0,33.0,vpn_voipbuster1a,1
6,10.8.8.222-224.0.0.252-52377-5355-17,10.8.8.222,52377,224.0.0.252,5355,22/05/2015 12:51:52 p.m.,17,2,0,2,44.0,0.0,44.0,107.18792479305422,4.872178399684283,410494.0,16,0,33.0,vpn_voipbuster1a,1
7,10.8.8.222-224.0.0.252-53139-5355-17,10.8.8.222,53139,224.0.0.252,5355,22/05/2015 01:32:10 p.m.,17,2,0,2,44.0,0.0,44.0,106.39892827261342,4.836314921482426,413538.0,16,0,33.0,vpn_voipbuster1a,1
8,10.8.8.222-224.0.0.252-51919-5355-17,10.8.8.222,51919,224.0.0.252,5355,22/05/2015 01:11:56 p.m.,17,2,0,2,44.0,0.0,44.0,106.56772015316686,4.843987279689404,412883.0,16,0,33.0,vpn_voipbuster1a,1
9,10.8.8.222-198.7.63.141-64640-53-17,10.8.8.222,64640,198.7.63.141,53,22/05/2015 01:16:44 p.m.,17,1,1,2,32.0,82.0,114.0,980.4174514306354,17.200306165449742,116277.0,8,8,73.0,vpn_voipbuster1a,1
