,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.8.8.138-131.202.244.3-54113-53-17,10.8.8.138,54113,131.202.244.3,53,24/05/2015 02:47:25 p.m.,17,1,1,2,37.0,37.0,74.0,293.6484631074356,7.936444948849612,252002.0,8,8,55.5,vpn_youtube_A,1
1,74.125.226.47-10.8.8.138-443-46267-6,74.125.226.47,443,10.8.8.138,46267,24/05/2015 03:12:10 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,40000.0,50.0,32,32,0.0,vpn_youtube_A,1
2,10.8.8.138-74.125.226.57-50675-443-17,10.8.8.138,50675,74.125.226.57,443,24/05/2015 03:02:09 p.m.,17,5,4,9,2207.0,2010.0,4217.0,6514.9448230366725,13.904316672357135,80910.12499999999,40,32,618.5555555555555,vpn_youtube_A,1
3,10.8.8.138-108.160.163.110-32809-443-6,10.8.8.138,32809,108.160.163.110,443,24/05/2015 03:16:38 p.m.,6,2,1,3,0.0,0.0,0.0,0.0,11.02981727269385,135995.0,40,32,0.0,vpn_youtube_A,1
4,10.8.8.138-74.125.226.37-54185-443-6,10.8.8.138,54185,74.125.226.37,443,24/05/2015 03:00:55 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,8.996486871876533,222309.0,32,32,0.0,vpn_youtube_A,1
5,10.8.8.138-74.125.226.34-36291-443-17,10.8.8.138,36291,74.125.226.34,443,24/05/2015 03:12:45 p.m.,17,11,10,21,7682.0,8318.0,16000.0,1343.6767328768974,1.763575711900928,595381.2999999999,88,80,826.190476190476,vpn_youtube_A,1
6,208.117.251.116-10.8.8.138-443-56585-6,208.117.251.116,443,10.8.8.138,56585,24/05/2015 02:48:47 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,40816.32653061225,49.0,32,32,0.0,vpn_youtube_A,1
7,10.8.8.138-74.125.226.37-33809-443-17,10.8.8.138,33809,74.125.226.37,443,24/05/2015 03:16:54 p.m.,17,6,4,10,2901.0,1824.0,4725.0,581.3176681447516,1.2303019431634952,903120.6666666669,48,32,607.5,vpn_youtube_A,1
8,10.8.8.138-74.125.226.37-54813-443-17,10.8.8.138,54813,74.125.226.37,443,24/05/2015 03:08:07 p.m.,17,2,1,3,1387.0,1350.0,2737.0,13307.402455330011,14.586118876868849,102837.5,16,8,1362.3333333333333,vpn_youtube_A,1
9,10.8.8.138-74.125.226.36-45525-443-6,10.8.8.138,45525,74.125.226.36,443,24/05/2015 02:35:28 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.336065688558184,214223.0,32,32,0.0,vpn_youtube_A,1
10,208.117.251.116-10.8.8.138-443-56645-6,208.117.251.116,443,10.8.8.138,56645,24/05/2015 03:15:49 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,66666.66666666669,30.0,32,32,0.0,vpn_youtube_A,1
11,10.8.8.138-74.125.226.46-37899-443-6,10.8.8.138,37899,74.125.226.46,443,24/05/2015 02:38:56 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,9.87196067010869,202594.0,32,32,0.0,vpn_youtube_A,1
12,10.8.8.138-74.125.226.37-35870-443-17,10.8.8.138,35870,74.125.226.37,443,24/05/2015 03:08:54 p.m.,17,14,7,21,5131.0,2280.0,7411.0,82.11738258228155,0.2326899250071397,4512442.9,112,56,417.19047619047615,vpn_youtube_A,1
13,10.8.8.138-74.125.226.47-35657-443-17,10.8.8.138,35657,74.125.226.47,443,24/05/2015 03:11:59 p.m.,17,5,4,9,2081.0,1705.0,3786.0,5854.473197924803,13.917131215352144,80835.62499999999,40,32,570.6666666666666,vpn_youtube_A,1
