,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.5-33356-53-17,131.202.240.150,33356,131.202.244.5,53,01/04/2015 12:05:01 p.m.,17,1,1,2,33.0,219.0,252.0,701949.860724234,5571.030640668524,359.0,8,8,142.5,youtube2,0
1,131.202.240.150-131.202.244.5-64893-53-17,131.202.240.150,64893,131.202.244.5,53,01/04/2015 12:05:05 p.m.,17,1,1,2,33.0,219.0,252.0,604316.54676259,4796.1630695443655,417.0,8,8,142.5,youtube2,0
2,216.58.219.238-131.202.240.150-80-49500-6,216.58.219.238,80,131.202.240.150,49500,01/04/2015 12:05:06 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,43478.260869565216,46.0,32,32,0.0,youtube2,0
3,63.245.217.160-131.202.240.150-443-43093-6,63.245.217.160,443,131.202.240.150,43093,01/04/2015 12:04:59 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,200000.0,10.0,40,0,0.0,youtube2,0
4,131.202.240.150-131.202.244.5-28882-53-17,131.202.240.150,28882,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,31.0,235.0,266.0,745098.0392156863,5602.240896358542,357.0,8,8,148.5,youtube2,0
5,63.245.217.160-131.202.240.150-443-43091-6,63.245.217.160,443,131.202.240.150,43091,01/04/2015 12:04:59 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,666666.6666666665,3.0,40,0,0.0,youtube2,0
6,131.202.240.150-131.202.244.5-28138-53-17,131.202.240.150,28138,131.202.244.5,53,01/04/2015 12:04:59 p.m.,17,1,1,2,33.0,219.0,252.0,625310.1736972705,4962.779156327542,403.0,8,8,142.5,youtube2,0
7,131.202.240.150-216.58.219.226-43101-443-6,131.202.240.150,43101,216.58.219.226,443,01/04/2015 12:05:01 p.m.,6,10,11,21,1234.0,758.0,1992.0,11118.118850011442,117.2090842621688,8958.35,328,360,94.85714285714286,youtube2,0
8,131.202.240.150-131.202.244.5-15883-53-17,131.202.240.150,15883,131.202.244.5,53,01/04/2015 12:05:01 p.m.,17,1,1,2,43.0,231.0,274.0,641686.1826697892,4683.840749414519,427.0,8,8,158.5,youtube2,0
9,131.202.240.150-173.194.123.97-48888-80-6,131.202.240.150,48888,173.194.123.97,80,01/04/2015 12:05:00 p.m.,6,4,3,7,437.0,781.0,1218.0,60.566888171744225,0.3480855642054266,3351666.333333333,128,96,236.42857142857144,youtube2,0
10,131.202.240.150-216.58.219.238-47584-443-6,131.202.240.150,47584,216.58.219.238,443,01/04/2015 12:05:07 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.65963973884999,25426.0,32,32,0.0,youtube2,0
11,131.202.240.150-131.202.6.3-56746-53-17,131.202.240.150,56746,131.202.6.3,53,01/04/2015 12:05:26 p.m.,17,1,1,2,54.0,246.0,300.0,234009.360374415,1560.0624024960998,1282.0,8,8,177.0,youtube2,0
12,131.202.240.150-131.202.244.3-4113-53-17,131.202.240.150,4113,131.202.244.3,53,01/04/2015 12:05:27 p.m.,17,1,1,2,22.0,97.0,119.0,403389.83050847455,6779.661016949151,295.0,8,8,70.5,youtube2,0
13,131.202.240.150-216.58.219.225-34437-443-6,131.202.240.150,34437,216.58.219.225,443,01/04/2015 12:05:00 p.m.,6,84,111,195,6095.0,83901.0,89996.0,3399.069731464578,7.364978417214018,136477.60824742267,2696,3560,461.51794871794885,youtube2,0
14,131.202.240.150-131.202.244.5-29664-53-17,131.202.240.150,29664,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,32.0,248.0,280.0,684596.5770171147,4889.975550122249,409.0,8,8,156.0,youtube2,0
15,131.202.240.150-131.202.244.5-23378-53-17,131.202.240.150,23378,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,42.0,228.0,270.0,767045.4545454546,5681.818181818182,352.0,8,8,156.0,youtube2,0
16,131.202.240.150-131.202.244.5-3232-53-17,131.202.240.150,3232,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,37.0,213.0,250.0,684931.5068493151,5479.452054794521,365.0,8,8,143.5,youtube2,0
17,199.212.24.175-131.202.240.150-443-58587-6,199.212.24.175,443,131.202.240.150,58587,01/04/2015 12:05:00 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,98.92664589207105,20217.0,64,0,0.0,youtube2,0
18,131.202.240.150-131.202.244.5-33080-53-17,131.202.240.150,33080,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,31.0,235.0,266.0,612903.2258064515,4608.294930875576,434.0,8,8,148.5,youtube2,0
19,131.202.240.150-216.58.219.238-47632-443-6,131.202.240.150,47632,216.58.219.238,443,01/04/2015 12:04:59 p.m.,6,260,390,650,12888.0,412314.0,425202.0,14919.875173304132,22.807792208521327,43912.2218798151,8328,12488,654.156923076923,youtube2,0
20,131.202.240.150-216.58.219.226-43050-443-6,131.202.240.150,43050,216.58.219.226,443,01/04/2015 12:05:26 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.65654619105675,25427.0,32,32,0.0,youtube2,0
21,131.202.240.150-131.202.244.5-12401-53-17,131.202.240.150,12401,131.202.244.5,53,01/04/2015 12:04:59 p.m.,17,1,1,2,33.0,219.0,252.0,531645.5696202532,4219.4092827004215,474.0,8,8,142.5,youtube2,0
22,131.202.240.150-131.202.244.5-43617-53-17,131.202.240.150,43617,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,29.0,213.0,242.0,545045.0450450451,4504.5045045045035,444.0,8,8,135.5,youtube2,0
23,131.202.240.150-131.202.244.5-21200-53-17,131.202.240.150,21200,131.202.244.5,53,01/04/2015 12:05:01 p.m.,17,1,1,2,31.0,183.0,214.0,644578.313253012,6024.09638554217,332.0,8,8,122.5,youtube2,0
24,119.81.4.50-131.202.240.150-0-0-0,119.81.4.50,0,131.202.240.150,0,01/04/2015 12:05:01 p.m.,0,2,2,4,0.0,0.0,0.0,0.0,0.17487480930995014,7624502.0,0,0,0.0,youtube2,0
25,131.202.240.150-216.58.219.206-59492-443-6,131.202.240.150,59492,216.58.219.206,443,01/04/2015 12:05:20 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,77.82706825433887,25698.0,32,32,0.0,youtube2,0
26,131.202.240.150-131.202.244.5-57728-53-17,131.202.240.150,57728,131.202.244.5,53,01/04/2015 12:05:01 p.m.,17,1,1,2,45.0,232.0,277.0,699494.9494949495,5050.505050505051,396.0,8,8,161.0,youtube2,0
27,131.202.240.150-131.202.244.3-12459-53-17,131.202.240.150,12459,131.202.244.3,53,01/04/2015 12:05:27 p.m.,17,1,1,2,32.0,82.0,114.0,340298.50746268657,5970.1492537313425,335.0,8,8,73.0,youtube2,0
28,131.202.240.150-131.202.244.3-22523-53-17,131.202.240.150,22523,131.202.244.3,53,01/04/2015 12:05:27 p.m.,17,1,1,2,32.0,82.0,114.0,342342.3423423423,6006.006006006006,333.0,8,8,73.0,youtube2,0
29,131.202.240.150-131.202.244.5-44830-53-17,131.202.240.150,44830,131.202.244.5,53,01/04/2015 12:05:07 p.m.,17,1,1,2,30.0,211.0,241.0,5966.232608803289,49.512303807496174,40394.0,8,8,135.5,youtube2,0
30,131.202.240.150-131.202.244.5-16196-53-17,131.202.240.150,16196,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,37.0,213.0,250.0,609756.0975609756,4878.048780487805,410.0,8,8,143.5,youtube2,0
31,63.245.217.160-131.202.240.150-443-43090-6,63.245.217.160,443,131.202.240.150,43090,01/04/2015 12:05:00 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,200000.0,10.0,40,0,0.0,youtube2,0
32,131.202.240.150-131.202.244.5-61947-53-17,131.202.240.150,61947,131.202.244.5,53,01/04/2015 12:05:00 p.m.,17,1,1,2,31.0,218.0,249.0,575057.7367205543,4618.937644341801,433.0,8,8,140.0,youtube2,0
33,63.245.217.160-131.202.240.150-443-43092-6,63.245.217.160,443,131.202.240.150,43092,01/04/2015 12:04:59 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,181818.18181818182,11.0,40,0,0.0,youtube2,0
34,131.202.240.150-173.194.123.84-39748-443-6,131.202.240.150,39748,173.194.123.84,443,01/04/2015 12:05:00 p.m.,6,8,7,15,693.0,285.0,978.0,6928.651888376443,106.26766699963869,10082.35714285714,264,232,65.2,youtube2,0
35,182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,01/04/2015 12:05:03 p.m.,0,1,1,2,0.0,0.0,0.0,0.0,28169.014084507042,71.0,0,0,0.0,youtube2,0
36,131.202.240.150-216.58.219.206-59539-443-6,131.202.240.150,59539,216.58.219.206,443,01/04/2015 12:05:00 p.m.,6,62,79,141,8691.0,6831.0,15522.0,567.7055216877992,5.156969369796398,195297.42857142858,2016,2536,110.08510638297872,youtube2,0
37,63.245.217.160-131.202.240.150-443-43089-6,63.245.217.160,443,131.202.240.150,43089,01/04/2015 12:05:00 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,200000.0,10.0,40,0,0.0,youtube2,0
