Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,Con Flow count,Conn Timedelta Min,Conn Timedelta Max,Conn Timedelta Mean,Conn Pkt Num Min,Conn Pkt Num Max,Conn Pkt Num Mean,Conn Pkt Num Tot,Conn Pkt Len Min,Conn Pkt Len Max,Conn Pkt Len Mean,Conn Pkt Len Tot,Conn-Rev Flow count,Conn-Rev Timedelta Min,Conn-Rev Timedelta Max,Conn-Rev Timedelta Mean,Conn-Rev Pkt Num Min,Conn-Rev Pkt Num Max,Conn-Rev Pkt Num Mean,Conn-Rev Pkt Num Tot,Conn-Rev Pkt Len Min,Conn-Rev Pkt Len Max,Conn-Rev Pkt Len Mean,Conn-Rev Pkt Len Tot,Time Flow count,Time Timedelta Min,Time Timedelta Max,Time Timedelta Mean,Time Pkt Num Min,Time Pkt Num Max,Time Pkt Num Mean,Time Pkt Num Tot,Time Pkt Len Min,Time Pkt Len Max,Time Pkt Len Mean,Time Pkt Len Tot,Time-Rev Flow count,Time-Rev Timedelta Min,Time-Rev Timedelta Max,Time-Rev Timedelta Mean,Time-Rev Pkt Num Min,Time-Rev Pkt Num Max,Time-Rev Pkt Num Mean,Time-Rev Pkt Num Tot,Time-Rev Pkt Len Min,Time-Rev Pkt Len Max,Time-Rev Pkt Len Mean,Time-Rev Pkt Len Tot,VPN
 131.202.240.150-23.203.88.184-60982-443-6, 131.202.240.150, 60982, 23.203.88.184, 443, 2015-01-04 13:12:05, 28, 10768.0, 1, 0, 0, 0.0, 28, 28, 28.0, 28, 10768.0, 10768.0, 10768.0, 10768.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 28, 28, 28.0, 28, 10768.0, 10768.0, 10768.0, 10768.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-176.32.100.5-56307-443-6, 131.202.240.150, 56307, 176.32.100.5, 443, 2015-01-04 13:12:05, 3, 0.0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.65.248.82-39638-443-6, 131.202.240.150, 39638, 23.65.248.82, 443, 2015-01-04 13:12:05, 3, 0.0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.245.109-55676-443-6, 131.202.240.150, 55676, 23.78.245.109, 443, 2015-01-04 13:12:08, 3, 0.0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-199.16.156.232-34809-443-6, 131.202.240.150, 34809, 199.16.156.232, 443, 2015-01-04 13:12:08, 6, 0.0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.49.90.99-38385-443-6, 131.202.240.150, 38385, 23.49.90.99, 443, 2015-01-04 13:12:08, 3, 0.0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-74.121.139.108-47126-443-6, 131.202.240.150, 47126, 74.121.139.108, 443, 2015-01-04 13:12:09, 3, 0.0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 3, 3, 3.0, 3, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58971-443-6, 131.202.240.150, 58971, 23.235.44.143, 443, 2015-01-04 13:12:12, 25, 13219.0, 1, 0, 0, 0.0, 25, 25, 25.0, 25, 13219.0, 13219.0, 13219.0, 13219.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 25, 25, 25.0, 25, 13219.0, 13219.0, 13219.0, 13219.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58970-443-6, 131.202.240.150, 58970, 23.235.44.143, 443, 2015-01-04 13:12:12, 28, 30977.0, 2, 0.0, 0.0, 0.0, 25, 28, 26.5, 53, 13219.0, 30977.0, 22098.0, 44196.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 25, 28, 26.5, 53, 13219.0, 30977.0, 22098.0, 44196.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.244.3-55217-53-17, 131.202.240.150, 55217, 131.202.244.3, 53, 2015-01-04 13:12:12, 2, 318.0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 318.0, 318.0, 318.0, 318.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 318.0, 318.0, 318.0, 318.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
