Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,17,15/04/2015 03:41:32 p.m.,134449,2,2,126.0,85.0,108.0,18.0,63.0,63.63961030678928,67.0,18.0,42.5,34.64823227814083,1569.3683106605476,29.751058022000905,44816.33333333333,77436.24038093103,134232.0,93.0,134449.0,134449.0,0.0,134449.0,134449.0,93.0,93.0,0.0,93.0,93.0,0,0,0,0,16,16,14.875529011000452,14.875529011000452,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,1.0,79.75,63.0,42.5,0,0,0,0,4,1569,0,31,0,21,0,0,1,8,0,0,0,0,1.4291268921512545E15,94938.27776244943,1.429126892218386E15,1.429126892084123E15,No Label
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,6,15/04/2015 03:41:59 p.m.,90004764,4,3,18.0,0.0,6.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.19998941389369124,0.0777736609586577,1.5000794E7,1.6244174565560788E7,2.9832271E7,171556.0,8.9832349E7,2.9944116333333332E7,96862.56534561394,3.0000607E7,2.9832271E7,6.0000586E7,3.0000293E7,52.32590180780452,3.000033E7,3.0000256E7,0,0,0,0,80,60,0.04444209197637583,0.03333156898228187,0.0,6.0,2.25,3.1052950170405937,9.642857142857142,0,0,0,3,7,0,0,0,0.0,2.5714285714285716,4.5,0.0,0,0,0,0,0,0,0,2,0,0,16384,16384,3,20,0,0,0,0,1.1909391442546475E15,5.834386290113794E14,1.429127008830665E15,2.9832271E7,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,15/04/2015 03:42:25 p.m.,5907930,6,0,300.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,50.779206930346156,1.015584138606923,1181586.0,962153.4900908482,2902738.0,750658.0,5907930.0,1181586.0,962153.4900908482,2902738.0,750658.0,0,0,0,0,0,0,0,0,0,48,0,1.015584138606923,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,5,8,0,0,0,0,1.429126948712657E15,1886866.2201743696,1.429126950915337E15,1.429126946510501E15,No Label
131.202.240.87-224.0.0.252-60954-5355-17,131.202.240.87,60954,224.0.0.252,5355,17,15/04/2015 03:41:38 p.m.,411381,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.95681132575399,4.861673242079727,411381.0,0.0,411381.0,411381.0,411381.0,411381.0,0.0,411381.0,411381.0,0,0,0,0,0,0,0,0,0,16,0,4.861673242079727,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58738-5355-17,131.202.240.87,58738,224.0.0.252,5355,17,15/04/2015 03:41:31 p.m.,410901,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.08175448587372,4.867352476630623,410901.0,0.0,410901.0,410901.0,410901.0,410901.0,0.0,410901.0,410901.0,0,0,0,0,0,0,0,0,0,16,0,4.867352476630623,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-57423-5355-17,131.202.240.87,57423,224.0.0.252,5355,17,15/04/2015 03:40:16 p.m.,412459,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.67726974074998,4.848966806397726,412459.0,0.0,412459.0,412459.0,412459.0,412459.0,0.0,412459.0,412459.0,0,0,0,0,0,0,0,0,0,16,0,4.848966806397726,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58080-5355-17,131.202.240.87,58080,224.0.0.252,5355,17,15/04/2015 03:40:16 p.m.,412059,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.78082507602066,4.853673867091849,412059.0,0.0,412059.0,412059.0,412059.0,412059.0,0.0,412059.0,412059.0,0,0,0,0,0,0,0,0,0,16,0,4.853673867091849,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60194-5355-17,131.202.240.87,60194,224.0.0.252,5355,17,15/04/2015 03:41:38 p.m.,410948,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.06950757760106,4.866795798981866,410948.0,0.0,410948.0,410948.0,410948.0,410948.0,0.0,410948.0,410948.0,0,0,0,0,0,0,0,0,0,16,0,4.866795798981866,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-203.23.237.200-10623-123-17,131.202.240.87,10623,203.23.237.200,123,17,15/04/2015 03:39:52 p.m.,277923,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,345.4194147299792,7.196237806874566,277923.0,0.0,277923.0,277923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.598118903437283,3.598118903437283,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-52713-5355-17,131.202.240.87,52713,224.0.0.252,5355,17,15/04/2015 03:40:28 p.m.,411933,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.81348665923828,4.855158484510831,411933.0,0.0,411933.0,411933.0,411933.0,411933.0,0.0,411933.0,411933.0,0,0,0,0,0,0,0,0,0,16,0,4.855158484510831,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-59621-5355-17,131.202.240.87,59621,224.0.0.252,5355,17,15/04/2015 03:42:30 p.m.,411527,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.91886559083609,4.859948435947095,411527.0,0.0,411527.0,411527.0,411527.0,411527.0,0.0,411527.0,411527.0,0,0,0,0,0,0,0,0,0,16,0,4.859948435947095,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,6,15/04/2015 03:42:04 p.m.,89974133,4,3,18.0,0.0,6.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.20005749874800127,0.0778001384020005,1.4995688833333334E7,1.6235635851301685E7,2.9826011E7,174260.0,8.9799873E7,2.9933291E7,115793.07136439555,3.0001267E7,2.9799591E7,5.9999286E7,2.9999643E7,1139.8561312727147,3.0000449E7,2.9998837E7,0,0,0,0,80,60,0.044457221944000286,0.033342916458000214,0.0,6.0,2.25,3.1052950170405937,9.642857142857142,0,0,0,3,7,0,0,0,0.0,2.5714285714285716,4.5,0.0,0,0,0,0,0,0,0,2,0,0,16384,16384,3,20,0,0,0,0,1.1909391488764258E15,5.83438631291589E14,1.429127014372201E15,2.9799591E7,No Label
131.202.240.87-224.0.0.252-59876-5355-17,131.202.240.87,59876,224.0.0.252,5355,17,15/04/2015 03:41:31 p.m.,411276,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.98411772143281,4.8629144418833095,411276.0,0.0,411276.0,411276.0,411276.0,411276.0,0.0,411276.0,411276.0,0,0,0,0,0,0,0,0,0,16,0,4.8629144418833095,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-49679-5355-17,131.202.240.87,49679,224.0.0.252,5355,17,15/04/2015 03:40:36 p.m.,411791,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.85031970101338,4.856832713682426,411791.0,0.0,411791.0,411791.0,411791.0,411791.0,0.0,411791.0,411791.0,0,0,0,0,0,0,0,0,0,16,0,4.856832713682426,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,6,15/04/2015 03:42:04 p.m.,90000965,4,3,18.0,0.0,6.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.19999785557854854,0.0777769438361022,1.5000160833333334E7,1.6240829240985284E7,2.9827919E7,173313.0,8.9825719E7,2.9941906333333332E7,100869.58047069162,3.0001232E7,2.9825439E7,6.0002213E7,3.00011065E7,1970.706599166908,3.00025E7,2.9999713E7,0,0,0,0,80,60,0.04444396790634412,0.03333297592975809,0.0,6.0,2.25,3.1052950170405937,9.642857142857142,0,0,0,3,7,0,0,0,0.0,2.5714285714285716,4.5,0.0,0,0,0,0,0,0,0,2,0,0,16384,16384,3,20,0,0,0,0,1.19093914887615E15,5.834386312787909E14,1.429127014371902E15,2.9825439E7,No Label
131.202.240.87-131.202.244.3-59450-53-17,131.202.240.87,59450,131.202.244.3,53,17,15/04/2015 03:42:25 p.m.,354,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,322033.89830508473,5649.717514124294,354.0,0.0,354.0,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2824.858757062147,2824.858757062147,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
