Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.244.3-55732-53-17,131.202.240.87,55732,131.202.244.3,53,17,14/04/2015 02:19:26 p.m.,413,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,276029.05569007265,4842.6150121065375,413.0,0.0,413.0,413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2421.3075060532688,2421.3075060532688,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-49778-5355-17,131.202.240.87,49778,224.0.0.252,5355,17,14/04/2015 02:20:00 p.m.,413133,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.50323261516267,4.84105602796194,413133.0,0.0,413133.0,413133.0,413133.0,413133.0,0.0,413133.0,413133.0,0,0,0,0,0,0,0,0,0,16,0,4.84105602796194,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,14/04/2015 02:23:59 p.m.,1500552,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,99.96321353741823,1.9992642707483645,750276.0,422.8498551495554,750575.0,749977.0,1500552.0,750276.0,422.8498551495554,750575.0,749977.0,0,0,0,0,0,0,0,0,0,24,0,1.9992642707483645,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.429035839942846E15,0.0,1.429035839942846E15,1.429035839942846E15,No Label
131.202.240.87-224.0.0.252-61843-5355-17,131.202.240.87,61843,224.0.0.252,5355,17,14/04/2015 02:20:35 p.m.,412070,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.77797461596332,4.853544300725605,412070.0,0.0,412070.0,412070.0,412070.0,412070.0,0.0,412070.0,412070.0,0,0,0,0,0,0,0,0,0,16,0,4.853544300725605,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.204.188-64231-5228-6,131.202.240.87,64231,173.194.204.188,5228,6,14/04/2015 02:22:17 p.m.,90114401,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.033291016382609034,0.06658203276521807,1.80228802E7,2.4625638412093483E7,4.4999018E7,38322.0,9.0075219E7,4.50376095E7,671.0443353460336,4.5038084E7,4.5037135E7,9.0075335E7,4.50376675E7,463.1549416771886,4.5037995E7,4.503734E7,0,0,0,0,60,96,0.033291016382609034,0.033291016382609034,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,361,2,20,0,0,0,0,1.4290357823824648E15,3.67258465936413E7,1.429035827362139E15,1.42903573740263E15,No Label
131.202.240.87-49.212.186.27-11009-123-17,131.202.240.87,11009,49.212.186.27,123,17,14/04/2015 02:17:47 p.m.,209922,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,457.3127161517135,9.527348253160698,209922.0,0.0,209922.0,209922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.763674126580349,4.763674126580349,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60680-5355-17,131.202.240.87,60680,224.0.0.252,5355,17,14/04/2015 02:20:58 p.m.,410919,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.07706384956647,4.867139265889385,410919.0,0.0,410919.0,410919.0,410919.0,410919.0,0.0,410919.0,410919.0,0,0,0,0,0,0,0,0,0,16,0,4.867139265889385,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-77.72.169.132-30315-11113-17,131.202.240.87,30315,77.72.169.132,11113,17,14/04/2015 02:19:38 p.m.,142804,2,2,126.0,85.0,108.0,18.0,63.0,63.63961030678928,67.0,18.0,42.5,34.64823227814083,1477.5496484692308,28.010419876193946,47601.33333333333,82260.00040319313,142587.0,105.0,142804.0,142804.0,0.0,142804.0,142804.0,105.0,105.0,0.0,105.0,105.0,0,0,0,0,16,16,14.005209938096973,14.005209938096973,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,1.0,79.75,63.0,42.5,0,0,0,0,4,1477,0,31,0,21,0,0,1,8,0,0,0,0,1.429035578459943E15,100829.18435651455,1.42903557853124E15,1.429035578388646E15,No Label
131.202.240.87-224.0.0.252-53437-5355-17,131.202.240.87,53437,224.0.0.252,5355,17,14/04/2015 02:20:35 p.m.,411499,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.92614076826432,4.860279125830196,411499.0,0.0,411499.0,411499.0,411499.0,411499.0,0.0,411499.0,411499.0,0,0,0,0,0,0,0,0,0,16,0,4.860279125830196,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-59697-5355-17,131.202.240.87,59697,224.0.0.252,5355,17,14/04/2015 02:19:26 p.m.,410802,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.10756033320189,4.8685254696909945,410802.0,0.0,410802.0,410802.0,410802.0,410802.0,0.0,410802.0,410802.0,0,0,0,0,0,0,0,0,0,16,0,4.8685254696909945,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
