Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 12:51:26 p.m.,87585472,9,0,450.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,5.13783838488648,0.1027567676977296,1.0948184E7,1.9919457325854022E7,5.3421226E7,750058.0,8.7585472E7,1.0948184E7,1.9919457325854022E7,5.3421226E7,750058.0,0,0,0,0,0,0,0,0,0,72,0,0.1027567676977296,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.55555555555556,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,8,8,0,0,0,0,1.430326325068834E15,3.512380512659921E7,1.430326373200635E15,1.430326287119485E15,No Label
131.202.240.87-224.0.0.252-64036-5355-17,131.202.240.87,64036,224.0.0.252,5355,17,29/04/2015 12:51:26 p.m.,410637,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.15059772986848,4.870481714994022,410637.0,0.0,410637.0,410637.0,410637.0,410637.0,0.0,410637.0,410637.0,0,0,0,0,0,0,0,0,0,16,0,4.870481714994022,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60662-5355-17,131.202.240.87,60662,224.0.0.252,5355,17,29/04/2015 12:43:49 p.m.,413396,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.43547591171661,4.8379761778053005,413396.0,0.0,413396.0,413396.0,413396.0,413396.0,0.0,413396.0,413396.0,0,0,0,0,0,0,0,0,0,16,0,4.8379761778053005,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,6,29/04/2015 12:50:32 p.m.,117096028,3,3,52.0,137.0,46.0,0.0,17.333333333333336,25.006665778014735,137.0,0.0,45.666666666666664,79.09698687897873,1.6140598722955828,0.05123999594589152,2.34192056E7,5.229085777774642E7,1.16959925E8,59.0,1.17096028E8,5.8548014E7,8.268779844238941E7,1.17017117E8,78911.0,1.17018742E8,5.8509371E7,8.274466255551888E7,1.17018683E8,59.0,1,0,0,0,60,60,0.02561999797294576,0.02561999797294576,0.0,137.0,27.857142857142858,50.86724083805009,2587.476190476191,0,0,0,3,6,0,0,0,1.0,32.5,17.333333333333332,45.666666666666664,0,0,0,0,0,0,0,8,0,22,63808,16384,1,20,0,0,0,0,1.430326319797437E15,5.845422993913546E7,1.430326349096151E15,1.430326232116132E15,No Label
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,6,29/04/2015 12:50:32 p.m.,55062,1,1,74.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,1343.9395590425338,36.32269078493335,55062.0,0.0,55062.0,55062.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,18.161345392466675,18.161345392466675,0.0,74.0,49.33333333333333,42.72391992003231,1825.3333333333335,0,0,0,1,2,0,0,0,1.0,74.0,74.0,0.0,0,0,0,0,0,0,0,37,0,0,64800,16384,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,17,29/04/2015 12:50:35 p.m.,137935,2,2,126.0,85.0,108.0,18.0,63.0,63.63961030678928,67.0,18.0,42.5,34.64823227814083,1529.7060209518977,28.999166273969625,45978.33333333333,79469.67272068845,137742.0,65.0,137935.0,137935.0,0.0,137935.0,137935.0,128.0,128.0,0.0,128.0,128.0,0,0,0,0,16,16,14.499583136984812,14.499583136984812,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,1.0,79.75,63.0,42.5,0,0,0,0,4,1529,0,31,0,21,0,0,1,8,0,0,0,0,1.4303262354346715E15,97353.75452698268,1.430326235503511E15,1.430326235365832E15,No Label
131.202.240.87-224.0.0.252-56771-5355-17,131.202.240.87,56771,224.0.0.252,5355,17,29/04/2015 12:46:13 p.m.,418483,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.14166644762153,4.7791666567100695,418483.0,0.0,418483.0,418483.0,418483.0,418483.0,0.0,418483.0,418483.0,0,0,0,0,0,0,0,0,0,16,0,4.7791666567100695,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-55517-53-17,131.202.240.87,55517,131.202.244.3,53,17,29/04/2015 12:47:46 p.m.,1672,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,68181.81818181818,1196.1722488038276,1672.0,0.0,1672.0,1672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,598.0861244019138,598.0861244019138,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-53266-5355-17,131.202.240.87,53266,224.0.0.252,5355,17,29/04/2015 12:52:52 p.m.,410949,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.06924703552022,4.86678395616001,410949.0,0.0,410949.0,410949.0,410949.0,410949.0,0.0,410949.0,410949.0,0,0,0,0,0,0,0,0,0,16,0,4.86678395616001,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-63159-5355-17,131.202.240.87,63159,224.0.0.252,5355,17,29/04/2015 12:46:53 p.m.,413114,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.50813092754059,4.8412786785245725,413114.0,0.0,413114.0,413114.0,413114.0,413114.0,0.0,413114.0,413114.0,0,0,0,0,0,0,0,0,0,16,0,4.8412786785245725,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
