Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.83-224.0.0.252-56669-5355-17,131.202.240.83,56669,224.0.0.252,5355,17,25/05/2015 12:53:05 p.m.,410466,2,0,44,0,22,22,22,0,0,0,0,0,107.1952366,4.872510756,410466,0,410466,410466,410466,410466,0,410466,410466,0,0,0,0,0,0,0,0,0,16,0,4.872510756,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-57058-5355-17,131.202.240.102,57058,224.0.0.252,5355,17,25/05/2015 12:59:34 p.m.,410825,2,0,44,0,22,22,22,0,0,0,0,0,107.1015639,4.868252906,410825,0,410825,410825,410825,410825,0,410825,410825,0,0,0,0,0,0,0,0,0,16,0,4.868252906,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-54240-5355-17,131.202.240.102,54240,224.0.0.252,5355,17,25/05/2015 12:59:50 p.m.,410627,2,0,44,0,22,22,22,0,0,0,0,0,107.1532072,4.870600326,410627,0,410627,410627,410627,410627,0,410627,410627,0,0,0,0,0,0,0,0,0,16,0,4.870600326,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-60710-5355-17,131.202.240.102,60710,224.0.0.252,5355,17,25/05/2015 01:00:40 p.m.,410594,2,0,44,0,22,22,22,0,0,0,0,0,107.1618192,4.870991783,410594,0,410594,410594,410594,410594,0,410594,410594,0,0,0,0,0,0,0,0,0,16,0,4.870991783,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
173.194.196.16-131.202.240.242-465-5516-6,173.194.196.16,465,131.202.240.242,5516,6,25/05/2015 12:58:27 p.m.,78,2,0,0,0,0,0,0,0,0,0,0,0,0,25641.02564,78,0,78,78,78,78,0,78,78,0,0,0,0,0,0,0,0,0,40,0,25641.02564,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-54481-5355-17,131.202.243.49,54481,224.0.0.252,5355,17,25/05/2015 12:58:19 p.m.,420507,2,0,44,0,22,22,22,0,0,0,0,0,104.6355947,4.756163393,420507,0,420507,420507,420507,420507,0,420507,420507,0,0,0,0,0,0,0,0,0,16,0,4.756163393,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-58902-5355-17,131.202.243.49,58902,224.0.0.252,5355,17,25/05/2015 12:55:43 p.m.,420501,2,0,44,0,22,22,22,0,0,0,0,0,104.6370877,4.756231257,420501,0,420501,420501,420501,420501,0,420501,420501,0,0,0,0,0,0,0,0,0,16,0,4.756231257,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,17,25/05/2015 01:02:47 p.m.,750839,2,0,100,0,50,50,50,0,0,0,0,0,133.1843444,2.663686889,750839,0,750839,750839,750839,750839,0,750839,750839,0,0,0,0,0,0,0,0,0,16,0,2.663686889,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,75,50,0,0,0,0,0,0,0,1,50,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.70-224.0.0.252-62695-5355-17,131.202.240.70,62695,224.0.0.252,5355,17,25/05/2015 12:59:13 p.m.,410930,2,0,44,0,22,22,22,0,0,0,0,0,107.0741976,4.86700898,410930,0,410930,410930,410930,410930,0,410930,410930,0,0,0,0,0,0,0,0,0,16,0,4.86700898,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-56046-5355-17,131.202.240.102,56046,224.0.0.252,5355,17,25/05/2015 12:54:35 p.m.,422958,2,0,44,0,22,22,22,0,0,0,0,0,104.0292417,4.728601894,422958,0,422958,422958,422958,422958,0,422958,422958,0,0,0,0,0,0,0,0,0,16,0,4.728601894,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
