Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.83-224.0.0.252-56669-5355-17,131.202.240.83,56669,224.0.0.252,5355,17,25/05/2015 12:53:05 p.m.,410466,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.19523663348487,4.872510756067494,410466.0,0.0,410466.0,410466.0,410466.0,410466.0,0.0,410466.0,410466.0,0,0,0,0,0,0,0,0,0,16,0,4.872510756067494,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-57058-5355-17,131.202.240.102,57058,224.0.0.252,5355,17,25/05/2015 12:59:34 p.m.,410825,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.10156392624597,4.868252905738453,410825.0,0.0,410825.0,410825.0,410825.0,410825.0,0.0,410825.0,410825.0,0,0,0,0,0,0,0,0,0,16,0,4.868252905738453,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-54240-5355-17,131.202.240.102,54240,224.0.0.252,5355,17,25/05/2015 12:59:50 p.m.,410627,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.15320716854956,4.870600325843162,410627.0,0.0,410627.0,410627.0,410627.0,410627.0,0.0,410627.0,410627.0,0,0,0,0,0,0,0,0,0,16,0,4.870600325843162,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-60710-5355-17,131.202.240.102,60710,224.0.0.252,5355,17,25/05/2015 01:00:40 p.m.,410594,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.16181921801098,4.870991782636863,410594.0,0.0,410594.0,410594.0,410594.0,410594.0,0.0,410594.0,410594.0,0,0,0,0,0,0,0,0,0,16,0,4.870991782636863,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
173.194.196.16-131.202.240.242-465-5516-6,173.194.196.16,465,131.202.240.242,5516,6,25/05/2015 12:58:27 p.m.,78,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,25641.02564102564,78.0,0.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,0,0,0,0,0,0,0,0,0,40,0,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-54481-5355-17,131.202.243.49,54481,224.0.0.252,5355,17,25/05/2015 12:58:19 p.m.,420507,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.63559465121864,4.756163393237211,420507.0,0.0,420507.0,420507.0,420507.0,420507.0,0.0,420507.0,420507.0,0,0,0,0,0,0,0,0,0,16,0,4.756163393237211,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-58902-5355-17,131.202.243.49,58902,224.0.0.252,5355,17,25/05/2015 12:55:43 p.m.,420501,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.63708766447643,4.756231257476201,420501.0,0.0,420501.0,420501.0,420501.0,420501.0,0.0,420501.0,420501.0,0,0,0,0,0,0,0,0,0,16,0,4.756231257476201,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,17,25/05/2015 01:02:47 p.m.,750839,2,0,100.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,133.18434444667898,2.6636868889335794,750839.0,0.0,750839.0,750839.0,750839.0,750839.0,0.0,750839.0,750839.0,0,0,0,0,0,0,0,0,0,16,0,2.6636868889335794,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,75.0,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.70-224.0.0.252-62695-5355-17,131.202.240.70,62695,224.0.0.252,5355,17,25/05/2015 12:59:13 p.m.,410930,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.07419755189449,4.867008979631567,410930.0,0.0,410930.0,410930.0,410930.0,410930.0,0.0,410930.0,410930.0,0,0,0,0,0,0,0,0,0,16,0,4.867008979631567,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-56046-5355-17,131.202.240.102,56046,224.0.0.252,5355,17,25/05/2015 12:54:35 p.m.,422958,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.02924167411422,4.728601894277919,422958.0,0.0,422958.0,422958.0,422958.0,422958.0,0.0,422958.0,422958.0,0,0,0,0,0,0,0,0,0,16,0,4.728601894277919,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-50946-5355-17,131.202.240.242,50946,224.0.0.252,5355,17,25/05/2015 12:55:13 p.m.,409762,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.37940560618115,4.880882073008234,409762.0,0.0,409762.0,409762.0,409762.0,409762.0,0.0,409762.0,409762.0,0,0,0,0,0,0,0,0,0,16,0,4.880882073008234,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.70-224.0.0.252-54154-5355-17,131.202.240.70,54154,224.0.0.252,5355,17,25/05/2015 12:58:47 p.m.,410175,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.2712866459438,4.875967574815627,410175.0,0.0,410175.0,410175.0,410175.0,410175.0,0.0,410175.0,410175.0,0,0,0,0,0,0,0,0,0,16,0,4.875967574815627,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-61669-5355-17,131.202.242.93,61669,224.0.0.252,5355,17,25/05/2015 01:01:55 p.m.,411072,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.03721002646738,4.8653277284757905,411072.0,0.0,411072.0,411072.0,411072.0,411072.0,0.0,411072.0,411072.0,0,0,0,0,0,0,0,0,0,16,0,4.8653277284757905,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-51481-5355-17,131.202.242.93,51481,224.0.0.252,5355,17,25/05/2015 01:00:48 p.m.,410653,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.14642289232029,4.870291949650922,410653.0,0.0,410653.0,410653.0,410653.0,410653.0,0.0,410653.0,410653.0,0,0,0,0,0,0,0,0,0,16,0,4.870291949650922,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,17,25/05/2015 01:00:59 p.m.,109999655,23,0,483.0,0.0,21.0,21.0,21.0,0.0,0,0,0,0,4.390922862439886,0.20909156487808983,4999984.318181817,630.1666738225189,5001020.0,4998903.0,1.09999655E8,4999984.318181817,630.1666738225189,5001020.0,4998903.0,0,0,0,0,0,0,0,0,0,184,0,0.20909156487808983,0.0,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.91304347826087,21.0,0.0,0,0,0,0,0,0,1,21,0,0,0,0,22,8,0,0,0,0,1.4325733140711468E15,3.1024052122708634E7,1.43257336407081E15,1.432573264072075E15,No Label
131.202.242.93-224.0.0.252-58605-5355-17,131.202.242.93,58605,224.0.0.252,5355,17,25/05/2015 01:02:00 p.m.,411451,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.93861480467905,4.860846127485411,411451.0,0.0,411451.0,411451.0,411451.0,411451.0,0.0,411451.0,411451.0,0,0,0,0,0,0,0,0,0,16,0,4.860846127485411,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-52555-5355-17,131.202.242.93,52555,224.0.0.252,5355,17,25/05/2015 12:55:42 p.m.,412412,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.68942707777659,4.849519412626209,412412.0,0.0,412412.0,412412.0,412412.0,412412.0,0.0,412412.0,412412.0,0,0,0,0,0,0,0,0,0,16,0,4.849519412626209,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-55697-5355-17,131.202.242.93,55697,224.0.0.252,5355,17,25/05/2015 12:54:21 p.m.,410513,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.18296375510641,4.871952897959383,410513.0,0.0,410513.0,410513.0,410513.0,410513.0,0.0,410513.0,410513.0,0,0,0,0,0,0,0,0,0,16,0,4.871952897959383,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-51042-5355-17,131.202.242.93,51042,224.0.0.252,5355,17,25/05/2015 12:55:18 p.m.,414368,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.18580585373388,4.826627538806085,414368.0,0.0,414368.0,414368.0,414368.0,414368.0,0.0,414368.0,414368.0,0,0,0,0,0,0,0,0,0,16,0,4.826627538806085,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.83-224.0.0.252-56495-5355-17,131.202.240.83,56495,224.0.0.252,5355,17,25/05/2015 12:57:20 p.m.,410445,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.20072116848786,4.872760053113084,410445.0,0.0,410445.0,410445.0,410445.0,410445.0,0.0,410445.0,410445.0,0,0,0,0,0,0,0,0,0,16,0,4.872760053113084,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-55311-5355-17,131.202.240.102,55311,224.0.0.252,5355,17,25/05/2015 01:00:24 p.m.,410705,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.13285691676508,4.869675314398413,410705.0,0.0,410705.0,410705.0,410705.0,410705.0,0.0,410705.0,410705.0,0,0,0,0,0,0,0,0,0,16,0,4.869675314398413,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-52119-5355-17,131.202.242.93,52119,224.0.0.252,5355,17,25/05/2015 12:53:03 p.m.,411199,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.00415127468696,4.863825057940316,411199.0,0.0,411199.0,411199.0,411199.0,411199.0,0.0,411199.0,411199.0,0,0,0,0,0,0,0,0,0,16,0,4.863825057940316,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-64755-5355-17,131.202.240.102,64755,224.0.0.252,5355,17,25/05/2015 12:58:15 p.m.,431392,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,101.99540093464877,4.63615458793858,431392.0,0.0,431392.0,431392.0,431392.0,431392.0,0.0,431392.0,431392.0,0,0,0,0,0,0,0,0,0,16,0,4.63615458793858,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-62065-5355-17,131.202.240.102,62065,224.0.0.252,5355,17,25/05/2015 12:54:30 p.m.,415032,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.0159216638717,4.818905530175987,415032.0,0.0,415032.0,415032.0,415032.0,415032.0,0.0,415032.0,415032.0,0,0,0,0,0,0,0,0,0,16,0,4.818905530175987,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.49-224.0.0.252-60391-5355-17,131.202.243.49,60391,224.0.0.252,5355,17,25/05/2015 12:58:43 p.m.,411067,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.03851197006813,4.86538690773037,411067.0,0.0,411067.0,411067.0,411067.0,411067.0,0.0,411067.0,411067.0,0,0,0,0,0,0,0,0,0,16,0,4.86538690773037,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-53122-5355-17,131.202.240.102,53122,224.0.0.252,5355,17,25/05/2015 01:00:18 p.m.,410736,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.12477114253439,4.869307779206109,410736.0,0.0,410736.0,410736.0,410736.0,410736.0,0.0,410736.0,410736.0,0,0,0,0,0,0,0,0,0,16,0,4.869307779206109,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-59804-5355-17,131.202.240.87,59804,224.0.0.252,5355,17,25/05/2015 12:57:19 p.m.,419255,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,104.94806263491193,4.770366483405088,419255.0,0.0,419255.0,419255.0,419255.0,419255.0,0.0,419255.0,419255.0,0,0,0,0,0,0,0,0,0,16,0,4.770366483405088,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.70-224.0.0.252-49256-5355-17,131.202.240.70,49256,224.0.0.252,5355,17,25/05/2015 01:00:27 p.m.,423431,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,103.91303423698312,4.723319738044688,423431.0,0.0,423431.0,423431.0,423431.0,423431.0,0.0,423431.0,423431.0,0,0,0,0,0,0,0,0,0,16,0,4.723319738044688,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.21-224.0.0.252-64804-5355-17,131.202.243.21,64804,224.0.0.252,5355,17,25/05/2015 12:55:26 p.m.,411163,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.01352018542525,4.864250917519329,411163.0,0.0,411163.0,411163.0,411163.0,411163.0,0.0,411163.0,411163.0,0,0,0,0,0,0,0,0,0,16,0,4.864250917519329,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-57772-5355-17,131.202.240.242,57772,224.0.0.252,5355,17,25/05/2015 12:59:48 p.m.,411420,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.94667250012152,4.861212386369161,411420.0,0.0,411420.0,411420.0,411420.0,411420.0,0.0,411420.0,411420.0,0,0,0,0,0,0,0,0,0,16,0,4.861212386369161,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.153-224.0.0.252-51491-5355-17,131.202.243.153,51491,224.0.0.252,5355,17,25/05/2015 12:57:56 p.m.,414378,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.18324331890206,4.826511059950094,414378.0,0.0,414378.0,414378.0,414378.0,414378.0,0.0,414378.0,414378.0,0,0,0,0,0,0,0,0,0,16,0,4.826511059950094,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-63463-5355-17,131.202.240.102,63463,224.0.0.252,5355,17,25/05/2015 01:00:09 p.m.,410721,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.12868346152254,4.869485611887388,410721.0,0.0,410721.0,410721.0,410721.0,410721.0,0.0,410721.0,410721.0,0,0,0,0,0,0,0,0,0,16,0,4.869485611887388,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.243.115-224.0.0.252-50181-5355-17,131.202.243.115,50181,224.0.0.252,5355,17,25/05/2015 12:54:43 p.m.,414606,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.12485106341926,4.823856866519057,414606.0,0.0,414606.0,414606.0,414606.0,414606.0,0.0,414606.0,414606.0,0,0,0,0,0,0,0,0,0,16,0,4.823856866519057,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-56373-5355-17,131.202.240.102,56373,224.0.0.252,5355,17,25/05/2015 12:58:35 p.m.,449247,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,97.94166683361269,4.451893946982395,449247.0,0.0,449247.0,449247.0,449247.0,449247.0,0.0,449247.0,449247.0,0,0,0,0,0,0,0,0,0,16,0,4.451893946982395,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.242.93-224.0.0.252-58328-5355-17,131.202.242.93,58328,224.0.0.252,5355,17,25/05/2015 12:52:51 p.m.,412041,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.78548979349142,4.853885899704156,412041.0,0.0,412041.0,412041.0,412041.0,412041.0,0.0,412041.0,412041.0,0,0,0,0,0,0,0,0,0,16,0,4.853885899704156,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-59770-5355-17,131.202.240.102,59770,224.0.0.252,5355,17,25/05/2015 12:54:05 p.m.,410851,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.09478618769334,4.867944826713334,410851.0,0.0,410851.0,410851.0,410851.0,410851.0,0.0,410851.0,410851.0,0,0,0,0,0,0,0,0,0,16,0,4.867944826713334,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-56986-5355-17,131.202.240.102,56986,224.0.0.252,5355,17,25/05/2015 01:02:19 p.m.,410577,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.16625626861709,4.871193466755322,410577.0,0.0,410577.0,410577.0,410577.0,410577.0,0.0,410577.0,410577.0,0,0,0,0,0,0,0,0,0,16,0,4.871193466755322,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.102-224.0.0.252-62239-5355-17,131.202.240.102,62239,224.0.0.252,5355,17,25/05/2015 12:59:58 p.m.,411180,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.00909577314071,4.864049807870033,411180.0,0.0,411180.0,411180.0,411180.0,411180.0,0.0,411180.0,411180.0,0,0,0,0,0,0,0,0,0,16,0,4.864049807870033,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
