Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-131.202.240.101-52942-55618-17,10.0.2.15,52942,131.202.240.101,55618,17,14/04/2015 01:28:50 p.m.,82337551,4306,4296,472252.0,292090.0,154.0,22.0,109.67301439851403,14.371232106488344,118.0,22.0,67.99115456238361,8.100757576400563,9283.03053366258,104.47238101604455,9573.020695267945,6691.745233567016,40176.0,-30.0,8.2337551E7,19126.028106852413,4756.400509579452,41474.0,130.0,8.2316533E7,19165.665424912677,3571.6321874065125,42767.0,2.0,0,0,0,0,34448,34368,52.29691614218645,52.1754648738581,22.0,154.0,88.85412065558536,23.885406890756226,570.5126623369849,0,0,0,0,0,0,0,0,0.0,88.86445012787723,109.6730143985137,67.99115456238361,0,0,0,0,8602,9283,0,54,0,33,0,0,4305,8,0,0,0,0,1.4290325721472268E15,2.3765154589131173E7,1.429032613292652E15,1.429032530962963E15,No Label
10.0.2.15-224.0.0.252-51890-5355-17,10.0.2.15,51890,224.0.0.252,5355,17,14/04/2015 12:05:33 p.m.,409972,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.32440264213166,4.878381938278712,409972.0,0.0,409972.0,409972.0,409972.0,409972.0,0.0,409972.0,409972.0,0,0,0,0,0,0,0,0,0,16,0,4.878381938278712,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-10.0.2.3-60119-53-17,10.0.2.15,60119,10.0.2.3,53,17,14/04/2015 12:41:47 p.m.,37851,2,1,100.0,445.0,50.0,50.0,50.0,0.0,445.0,445.0,445.0,0.0,14398.562785659558,79.2581437742728,18925.5,18753.178943848427,32186.0,5665.0,32186.0,32186.0,0.0,32186.0,32186.0,0,0,0,0,0,0,0,0,0,16,8,52.838762516181866,26.419381258090933,50.0,445.0,148.75,197.5,39006.25,0,0,0,0,0,0,0,0,0.0,198.33333333333334,50.0,445.0,0,0,0,0,0,0,0,33,0,148,0,0,1,8,0,0,0,0,1.429029707220275E15,0.0,1.429029707220275E15,1.429029707220275E15,No Label
10.0.2.15-74.125.226.183-49328-443-6,10.0.2.15,49328,74.125.226.183,443,6,14/04/2015 01:30:01 p.m.,3078910,33,70,3451.0,47972.0,533.0,0.0,104.57575757575756,148.86235888880503,1420.0,0.0,685.3142857142857,654.2086832519392,16701.689883757565,33.45339746858466,30185.392156862734,195534.08352784027,1962314.0,1.0,3077582.0,96174.4375,343936.41538478865,1962982.0,127.0,3047895.0,44172.391304347824,237074.58341089112,1962880.0,1.0,0,0,0,0,672,1404,10.718078800614503,22.73531866797016,0.0,1420.0,494.4519230769231,607.8048019535706,369426.6772778192,0,2,0,49,102,0,0,0,2.0,499.252427184466,104.57575757575758,685.3142857142857,0,0,0,0,34,47998,0,33,0,465,8192,65535,23,20,0,0,0,0,1.4290326026748875E15,845413.0313011507,1.429032604946206E15,1.429032601868056E15,No Label
10.0.2.15-173.252.79.87-52942-443-17,10.0.2.15,52942,173.252.79.87,443,17,14/04/2015 01:29:43 p.m.,28676093,28,0,560.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,19.52846226297285,0.9764231131486426,1062077.5185185187,651707.3288429737,1652972.0,99530.0,2.8676093E7,1062077.5185185187,651707.3288429737,1652972.0,99530.0,0,0,0,0,0,0,0,0,0,224,0,0.9764231131486426,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.714285714285715,20.0,0.0,0,0,0,0,5,66,1,20,0,0,0,0,27,8,0,0,0,0,1.4290325972371195E15,8024987.1742645195,1.42903261037313E15,1.429032584948844E15,No Label
10.0.2.15-157.56.106.184-55755-3544-17,10.0.2.15,55755,157.56.106.184,3544,17,14/04/2015 12:45:57 p.m.,35250553,3,2,183.0,218.0,61.0,61.0,61.0,0.0,109.0,109.0,109.0,0.0,11.375708063360028,0.14184174642593553,8812638.25,1.690239910585158E7,3.4157265E7,45598.0,3.5203153E7,1.76015765E7,2.3477764521141373E7,3.4202863E7,1000290.0,3.4204665E7,3.4204665E7,0.0,3.4204665E7,3.4204665E7,0,0,0,0,24,16,0.0851050478555613,0.05673669857037421,61.0,109.0,77.0,24.78709341572747,614.4000000000001,0,0,0,0,0,0,0,0,0.0,92.4,61.0,109.0,0,0,0,0,0,0,0,36,0,43,0,0,2,8,0,0,0,0,1.4290299692351238E15,1.997632542516782E7,1.429029992293865E15,1.429029957181908E15,No Label
10.0.2.15-10.0.2.3-50199-53-17,10.0.2.15,50199,10.0.2.3,53,17,14/04/2015 01:27:16 p.m.,98440,2,1,94.0,424.0,47.0,47.0,47.0,0.0,424.0,424.0,424.0,0.0,5262.088581877286,30.475416497358797,49220.0,31469.08018992611,71472.0,26968.0,26968.0,26968.0,0.0,26968.0,26968.0,0,0,0,0,0,0,0,0,0,16,8,20.316944331572532,10.158472165786266,47.0,424.0,141.25,188.5,35532.25,0,0,0,0,0,0,0,0,0.0,188.33333333333334,47.0,424.0,0,0,0,0,0,0,0,31,0,141,0,0,1,8,0,0,0,0,1.429032436908127E15,0.0,1.429032436908127E15,1.429032436908127E15,No Label
10.0.2.15-10.0.2.3-64085-53-17,10.0.2.15,64085,10.0.2.3,53,17,14/04/2015 12:45:42 p.m.,810,1,1,32.0,82.0,32.0,32.0,32.0,0.0,82.0,82.0,82.0,0.0,140740.74074074076,2469.135802469136,810.0,0.0,810.0,810.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1234.567901234568,1234.567901234568,32.0,82.0,48.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,73.0,32.0,82.0,0,0,0,0,0,0,0,16,0,41,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.0.2.15-10.0.2.3-59009-53-17,10.0.2.15,59009,10.0.2.3,53,17,14/04/2015 12:45:10 p.m.,31700,2,1,82.0,372.0,41.0,41.0,41.0,0.0,372.0,372.0,372.0,0.0,14321.766561514196,94.63722397476342,15850.0,21317.855239212036,30924.0,776.0,30924.0,30924.0,0.0,30924.0,30924.0,0,0,0,0,0,0,0,0,0,16,8,63.09148264984227,31.545741324921135,41.0,372.0,123.75,165.5,27390.25,0,0,0,0,0,0,0,0,0.0,165.0,41.0,372.0,0,0,0,0,0,0,0,27,0,124,0,0,1,8,0,0,0,0,1.429029910573383E15,0.0,1.429029910573383E15,1.429029910573383E15,No Label
10.0.2.15-10.0.2.3-56032-53-17,10.0.2.15,56032,10.0.2.3,53,17,14/04/2015 01:24:40 p.m.,743,1,1,37.0,242.0,37.0,37.0,37.0,0.0,242.0,242.0,242.0,0.0,375504.71063257067,2691.790040376851,743.0,0.0,743.0,743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1345.8950201884254,1345.8950201884254,37.0,242.0,105.33333333333333,118.35680518387328,14008.333333333332,0,0,0,0,0,0,0,0,1.0,158.0,37.0,242.0,0,0,0,0,0,0,0,18,0,121,0,0,0,8,0,0,0,0,0,0,0,0,No Label
