Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-224.0.0.252-51325-5355-17,131.202.240.87,51325,224.0.0.252,5355,17,29/04/2015 01:07:51 p.m.,410944,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.07054975860459,4.866843170845663,410944.0,0.0,410944.0,410944.0,410944.0,410944.0,0.0,410944.0,410944.0,0,0,0,0,0,0,0,0,0,16,0,4.866843170845663,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 01:11:30 p.m.,1500492,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,99.96721075487241,1.999344215097448,750246.0,592.5554826343268,750665.0,749827.0,1500492.0,750246.0,592.5554826343268,750665.0,749827.0,0,0,0,0,0,0,0,0,0,24,0,1.999344215097448,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.430327491644566E15,0.0,1.430327491644566E15,1.430327491644566E15,No Label
131.202.240.87-131.202.244.3-13976-53-17,131.202.240.87,13976,131.202.244.3,53,17,29/04/2015 01:05:28 p.m.,215230,1,1,33.0,511.0,33.0,33.0,33.0,0.0,511.0,511.0,511.0,0.0,2527.5286902383496,9.292384890582168,215230.0,0.0,215230.0,215230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.646192445291084,4.646192445291084,33.0,511.0,192.33333333333334,275.97342867264115,76161.33333333334,0,0,0,0,0,0,0,0,1.0,288.5,33.0,511.0,0,0,0,0,0,0,0,16,0,255,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58992-5355-17,131.202.240.87,58992,224.0.0.252,5355,17,29/04/2015 01:01:16 p.m.,415406,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.92047298305754,4.814566953775342,415406.0,0.0,415406.0,415406.0,415406.0,415406.0,0.0,415406.0,415406.0,0,0,0,0,0,0,0,0,0,16,0,4.814566953775342,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-61432-5355-17,131.202.240.87,61432,224.0.0.252,5355,17,29/04/2015 01:11:30 p.m.,411629,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.89237152873096,4.858744160396862,411629.0,0.0,411629.0,411629.0,411629.0,411629.0,0.0,411629.0,411629.0,0,0,0,0,0,0,0,0,0,16,0,4.858744160396862,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-49672-53-17,131.202.240.87,49672,131.202.244.3,53,17,29/04/2015 01:01:33 p.m.,440,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,931818.1818181818,4545.454545454545,440.0,0.0,440.0,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2272.7272727272725,2272.7272727272725,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-63784-5355-17,131.202.240.87,63784,224.0.0.252,5355,17,29/04/2015 01:01:59 p.m.,410888,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.08514242323943,4.86750647378361,410888.0,0.0,410888.0,410888.0,410888.0,410888.0,0.0,410888.0,410888.0,0,0,0,0,0,0,0,0,0,16,0,4.86750647378361,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58701-5355-17,131.202.240.87,58701,224.0.0.252,5355,17,29/04/2015 01:02:54 p.m.,409891,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.3456113942487,4.879345972465851,409891.0,0.0,409891.0,409891.0,409891.0,409891.0,0.0,409891.0,409891.0,0,0,0,0,0,0,0,0,0,16,0,4.879345972465851,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-49672-5355-17,131.202.240.87,49672,224.0.0.252,5355,17,29/04/2015 01:06:57 p.m.,411582,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.90457794558557,4.859298997526617,411582.0,0.0,411582.0,411582.0,411582.0,411582.0,0.0,411582.0,411582.0,0,0,0,0,0,0,0,0,0,16,0,4.859298997526617,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-64522-5355-17,131.202.240.87,64522,224.0.0.252,5355,17,29/04/2015 01:01:28 p.m.,410862,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.09191894115298,4.867814497325136,410862.0,0.0,410862.0,410862.0,410862.0,410862.0,0.0,410862.0,410862.0,0,0,0,0,0,0,0,0,0,16,0,4.867814497325136,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
