Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.252.79.80-51706-3478-17,131.202.240.87,51706,173.252.79.80,3478,17,30/03/2015 08:46:10 a.m.,35000551,35,0,700.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,19.999685147813814,0.9999842573906907,1029427.9705882352,652435.7278924682,1661669.0,100656.0,3.5000551E7,1029427.9705882352,652435.7278924682,1661669.0,100656.0,0,0,0,0,0,0,0,0,0,280,0,0.9999842573906907,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.571428571428573,20.0,0.0,0,0,0,0,5,66,1,20,0,0,0,0,34,8,0,0,0,0,1.4277195865959872E15,1.025051393950512E7,1.427719603489343E15,1.427719570290112E15,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,30/03/2015 08:46:44 a.m.,1499780,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,100.01466881809333,2.0002933763618667,749890.0,202.2325394193526,750033.0,749747.0,1499780.0,749890.0,202.2325394193526,750033.0,749747.0,0,0,0,0,0,0,0,0,0,24,0,2.0002933763618667,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.427719604961412E15,0.0,1.427719604961412E15,1.427719604961412E15,No Label
173.252.100.27-131.202.240.87-443-2445-6,173.252.100.27,443,131.202.240.87,2445,6,30/03/2015 08:44:28 a.m.,116534200,18,15,2902.0,2079.0,483.0,41.0,161.2222222222222,171.31620422501007,676.0,0.0,138.60000000000002,242.86733592054503,42.74281713007855,0.2831786720121647,3641693.7500000005,9755583.727127738,4.246238E7,10.0,1.16409165E8,6847597.94117647,1.2744301123579927E7,4.2649473E7,48.0,1.16529025E8,8323501.785714286,1.3618153828834623E7,4.246238E7,4337.0,1,0,0,0,360,300,0.1544610938248171,0.12871757818734758,0.0,676.0,148.58823529411768,201.14145748205058,40457.885918003565,0,0,0,22,33,0,0,0,0.0,153.0909090909091,161.22222222222223,138.6,0,0,0,0,5,7159,0,87,0,63,121,16342,17,20,0,0,0,0,1.4277195258017208E15,3.7362299026977375E7,1.427719584931427E15,1.427719468593341E15,No Label
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,6,30/03/2015 08:46:32 a.m.,150178,3,2,702.0,528.0,635.0,0.0,234.0,348.88823425274745,483.0,45.0,264.0,309.7127701597078,8190.280866704843,33.2938246614018,37544.5,64688.5924023703,134218.0,58.0,150178.0,75089.0,102109.04763046221,147291.0,2887.0,13015.0,13015.0,0.0,13015.0,13015.0,1,0,0,0,60,40,19.97629479684108,13.31752986456072,0.0,635.0,216.16666666666669,270.97927350014555,73429.76666666668,0,0,0,4,5,0,0,0,0.0,259.4,234.0,264.0,0,0,0,0,4,8193,0,140,0,105,2043,2043,1,20,0,0,0,0,1.427719592235736E15,69175.59661470221,1.427719592277138E15,1.427719592155877E15,No Label
131.202.240.87-69.171.239.36-51706-3478-17,131.202.240.87,51706,69.171.239.36,3478,17,30/03/2015 08:46:14 a.m.,30340484,4,4,80.0,128.0,20.0,20.0,20.0,0.0,32.0,32.0,32.0,0.0,6.855526760878304,0.26367410618762704,4334354.857142857,5306199.850279527,1.0010657E7,79401.0,3.0261083E7,1.0087027666666666E7,4963.347391965763,1.0090239E7,1.0081311E7,3.0259409E7,1.0086469666666666E7,4641.374616784701,1.0090058E7,1.0081228E7,0,0,0,0,32,32,0.13183705309381352,0.13183705309381352,20.0,32.0,25.333333333333332,6.324555320336759,40.0,0,0,0,0,0,0,0,0,1.0,28.5,20.0,32.0,0,0,0,0,0,0,0,10,0,16,0,0,3,8,0,0,0,0,1.4277195896298298E15,1.0510231096980965E7,1.42771960464125E15,1.427719574620489E15,No Label
131.202.240.87-224.0.0.252-58015-5355-17,131.202.240.87,58015,224.0.0.252,5355,17,30/03/2015 08:46:44 a.m.,416488,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.64530070494227,4.802059122951921,416488.0,0.0,416488.0,416488.0,416488.0,416488.0,0.0,416488.0,416488.0,0,0,0,0,0,0,0,0,0,16,0,4.802059122951921,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-51706-50029-17,131.202.240.87,51706,173.252.79.80,50029,17,30/03/2015 08:46:14 a.m.,30340374,4,4,80.0,128.0,20.0,20.0,20.0,0.0,32.0,32.0,32.0,0.0,6.855551615810668,0.26367506214656417,4334339.142857143,5306177.427715468,1.0010585E7,79452.0,3.0260922E7,1.0086974E7,4882.348103115959,1.00902E7,1.0081357E7,3.0259415E7,1.0086471666666666E7,4609.840597388736,1.0090037E7,1.0081266E7,0,0,0,0,32,32,0.13183753107328208,0.13183753107328208,20.0,32.0,25.333333333333332,6.324555320336759,40.0,0,0,0,0,0,0,0,0,1.0,28.5,20.0,32.0,0,0,0,0,0,0,0,10,0,16,0,0,3,8,0,0,0,0,1.4277195896297742E15,1.051019200653893E7,1.427719604641103E15,1.427719574620461E15,No Label
131.202.240.87-131.202.240.150-51706-43584-17,131.202.240.87,51706,131.202.240.150,43584,17,30/03/2015 08:46:07 a.m.,38168938,9095,9098,9796578.0,9736412.0,1182.0,94.0,1077.1388675096196,183.156618169347,1182.0,64.0,1070.1705869421826,185.2282618456918,511750.9426120266,476.64412355407956,2098.1166446789766,5886.569177357327,46347.0,1.0,3.8168938E7,4197.156146910049,10967.93359084026,139014.0,28.0,3.8162182E7,4195.02935033528,10574.656950888568,68903.0,7.0,0,0,0,0,72760,72784,238.28276280571393,238.36136074836563,64.0,1182.0,1073.6594481697286,184.2197341676953,33936.910456816324,0,0,0,0,0,0,0,0,1.0,1073.7184631451657,1077.1388675096207,1070.170586942185,0,0,0,0,18193,511750,0,538,0,535,0,0,9094,8,0,0,0,0,1.4277195867902738E15,1.1031946687992238E7,1.4277196059094E15,1.42771956774051E15,No Label
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,6,30/03/2015 08:46:37 a.m.,39011,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.63379559611392,51.26759119222784,39011.0,0.0,39011.0,39011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,25.63379559611392,25.63379559611392,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,361,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.240.150-51706-58046-17,131.202.240.87,51706,131.202.240.150,58046,17,30/03/2015 08:46:07 a.m.,38184150,1996,1996,206400.0,127007.0,141.0,88.0,103.40681362725458,5.5351086019538185,83.0,49.0,63.63076152304607,4.998690116264316,8731.554846709956,104.54599617904287,9567.564520170386,6149.131102364729,23660.0,30.0,3.817989E7,19137.789473684188,3913.570287214522,41904.0,36.0,3.8181008E7,19138.349874686723,3713.2739062993132,29257.0,30.0,0,0,0,0,15968,15968,52.27299808952144,52.27299808952144,49.0,141.0,83.52216378662655,20.576134884369807,423.37732677978016,0,0,0,0,0,0,0,0,1.0,83.54308617234469,103.40681362725451,63.63076152304609,0,0,0,0,3992,8731,0,51,0,31,0,0,1995,8,0,0,0,0,1.4277195868110768E15,1.1020202166054536E7,1.427719605895916E15,1.42771956772299E15,No Label
