Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.244.3-58392-53-17,131.202.240.87,58392,131.202.244.3,53,17,13/04/2015 03:54:37 p.m.,140002,2,2,82.0,922.0,41.0,41.0,41.0,0.0,473.0,449.0,461.0,16.97056274847714,7171.326123912516,28.571020413994088,46667.333333333336,40619.11594721546,76745.0,461.0,63257.0,63257.0,0.0,63257.0,63257.0,77206.0,77206.0,0.0,77206.0,77206.0,0,0,0,0,16,16,14.285510206997044,14.285510206997044,41.0,473.0,209.0,230.19991311901055,52992.0,0,0,0,0,0,0,0,0,1.0,261.25,41.0,461.0,0,0,0,0,4,7171,0,20,0,230,0,0,1,8,0,0,0,0,1.42895487729822E15,98344.41112742503,1.42895487736776E15,1.42895487722868E15,No Label
173.252.100.27-131.202.240.87-443-26957-6,173.252.100.27,443,131.202.240.87,26957,6,13/04/2015 03:54:38 p.m.,56412073,243,206,90098.0,52386.0,1350.0,0.0,370.7736625514404,476.73635033760996,1350.0,0.0,254.30097087378653,350.8179942252443,2525.7713893974433,7.959289140110132,125919.80580357127,444854.75305398344,4860293.0,4.0,5.6360771E7,232895.7479338843,617922.4673665891,5049123.0,19.0,5.6369323E7,274972.3073170731,631174.0569967167,4860293.0,4.0,1,0,0,0,4860,4120,4.307588554669849,3.6517005854402833,0.0,1350.0,319.0733333333334,428.26957088405385,183414.8253452116,0,0,0,274,449,0,0,0,0.0,319.7839643652561,370.77366255144034,254.3009708737864,0,0,0,0,21,5684,0,200,0,116,682,16354,217,20,0,0,0,0,1.42895490253111E15,1.6069981075376906E7,1.428954934808929E15,1.428954878509518E15,No Label
131.202.240.87-131.202.244.3-58419-53-17,131.202.240.87,58419,131.202.244.3,53,17,13/04/2015 03:55:33 p.m.,2680,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,135074.62686567163,1492.5373134328358,893.3333333333333,872.7985640073736,1898.0,322.0,2358.0,2358.0,0.0,2358.0,2358.0,2220.0,2220.0,0.0,2220.0,2220.0,0,0,0,0,16,16,746.2686567164179,746.2686567164179,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,135074,0,17,0,73,0,0,1,8,0,0,0,0,1.42895493322612E15,789.131167804187,1.428954933226678E15,1.428954933225562E15,No Label
131.202.240.87-131.202.244.3-58404-53-17,131.202.240.87,58404,131.202.244.3,53,17,13/04/2015 03:54:56 p.m.,1526,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,237221.49410222805,2621.231979030144,508.6666666666667,284.3559975336081,837.0,342.0,1179.0,1179.0,0.0,1179.0,1179.0,1184.0,1184.0,0.0,1184.0,1184.0,0,0,0,0,16,16,1310.615989515072,1310.615989515072,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,237221,0,17,0,73,0,0,1,8,0,0,0,0,1.428954896200686E15,104.65180361560904,1.42895489620076E15,1.428954896200612E15,No Label
131.202.240.87-131.202.244.3-58409-53-17,131.202.240.87,58409,131.202.244.3,53,17,13/04/2015 03:55:10 p.m.,2702,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,133974.83345669875,1480.3849000740192,900.6666666666667,937.5981726375821,1983.0,337.0,2365.0,2365.0,0.0,2365.0,2365.0,2320.0,2320.0,0.0,2320.0,2320.0,0,0,0,0,16,16,740.1924500370096,740.1924500370096,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,133974,0,17,0,73,0,0,1,8,0,0,0,0,1.428954910458411E15,893.7829714197961,1.428954910459043E15,1.428954910457779E15,No Label
131.202.240.87-131.202.244.3-58414-53-17,131.202.240.87,58414,131.202.244.3,53,17,13/04/2015 03:55:20 p.m.,1106,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,327305.6057866184,3616.6365280289333,368.6666666666667,100.30121302024884,479.0,283.0,762.0,762.0,0.0,762.0,762.0,627.0,627.0,0.0,627.0,627.0,0,0,0,0,16,16,1808.3182640144666,1808.3182640144666,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,327305,0,17,0,73,0,0,1,8,0,0,0,0,1.428954920944044E15,381.8376618407357,1.428954920944314E15,1.428954920943774E15,No Label
131.202.240.87-131.202.244.3-58399-53-17,131.202.240.87,58399,131.202.244.3,53,17,13/04/2015 03:54:51 p.m.,1679,2,2,84.0,310.0,42.0,42.0,42.0,0.0,161.0,149.0,155.0,8.48528137423857,234663.49017272185,2382.370458606313,559.6666666666666,183.18660795301966,765.0,413.0,1266.0,1266.0,0.0,1266.0,1266.0,1178.0,1178.0,0.0,1178.0,1178.0,0,0,0,0,16,16,1191.1852293031566,1191.1852293031566,42.0,161.0,87.2,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,109.0,42.0,155.0,0,0,0,0,4,234663,0,21,0,77,0,0,1,8,0,0,0,0,1.4289548916877915E15,105.35891039679558,1.428954891687866E15,1.428954891687717E15,No Label
131.202.240.87-209.148.205.26-26961-443-6,131.202.240.87,26961,209.148.205.26,443,6,13/04/2015 03:54:37 p.m.,58259678,4,3,488.0,1076.0,451.0,0.0,122.0,220.02575606808702,1006.0,33.0,358.66666666666663,560.6106789326559,26.845325166404113,0.1201517111028317,9709946.333333332,2.373673798384816E7,5.8162345E7,30.0,5.8259678E7,1.9419892666666664E7,3.3551957767220624E7,5.8162345E7,22968.0,5.8186716E7,2.9093358E7,4.1144121049412854E7,5.8186645E7,71.0,1,0,0,0,80,60,0.06865812063018954,0.05149359047264216,0.0,1006.0,251.87499999999997,361.57134743465815,130733.83928571429,0,0,0,5,7,0,0,0,0.0,287.85714285714283,122.0,358.6666666666667,0,0,0,0,0,0,0,69,0,153,16462,591,1,20,0,0,0,0,1.4289549005384845E15,3.1870310789316464E7,1.428954935475713E15,1.428954877240376E15,No Label
131.202.240.87-131.202.244.3-58395-53-17,131.202.240.87,58395,131.202.244.3,53,17,13/04/2015 03:54:46 p.m.,1454,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,248968.36313617608,2751.031636863824,484.6666666666667,176.70408408787085,683.0,344.0,1110.0,1110.0,0.0,1110.0,1110.0,1027.0,1027.0,0.0,1027.0,1027.0,0,0,0,0,16,16,1375.515818431912,1375.515818431912,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,248968,0,17,0,73,0,0,1,8,0,0,0,0,1.428954886083901E15,62.22539674441618,1.428954886083945E15,1.428954886083857E15,No Label
131.202.240.87-131.202.244.3-58402-53-17,131.202.240.87,58402,131.202.244.3,53,17,13/04/2015 03:54:53 p.m.,1466,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,246930.42291950886,2728.512960436562,488.6666666666667,246.00271001217308,770.0,314.0,1152.0,1152.0,0.0,1152.0,1152.0,1084.0,1084.0,0.0,1084.0,1084.0,0,0,0,0,16,16,1364.256480218281,1364.256480218281,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,246930,0,17,0,73,0,0,1,8,0,0,0,0,1.428954893420847E15,52.32590180780452,1.428954893420884E15,1.42895489342081E15,No Label
