Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,15/04/2015 01:14:09 p.m.,63084320,6,0,300.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,4.755539886932284,0.09511079773864567,1.2616864E7,2.653375508195311E7,6.0081888E7,749149.0,6.308432E7,1.2616864E7,2.653375508195311E7,6.0081888E7,749149.0,0,0,0,0,0,0,0,0,0,48,0,0.09511079773864567,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,5,8,0,0,0,0,1.4291180814243185E15,3.469888514253226E7,1.429118112216362E15,1.429118050633666E15,No Label
131.202.240.87-173.194.208.188-2417-5228-6,131.202.240.87,2417,173.194.208.188,5228,6,15/04/2015 01:15:28 p.m.,45076979,2,2,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04436854563834014,0.08873709127668028,1.5025659666666668E7,2.5958086393283736E7,4.4999476E7,38638.0,4.5038341E7,4.5038341E7,0.0,4.5038341E7,4.5038341E7,4.5038114E7,4.5038114E7,0.0,4.5038114E7,4.5038114E7,0,0,0,0,40,64,0.04436854563834014,0.04436854563834014,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,4,0,0,0,1.0,0.75,1.0,0.0,0,0,0,0,0,0,0,0,0,0,256,361,1,20,0,0,0,0,1.4291181510114655E15,3.1764631732578997E7,1.429118173472452E15,1.429118128550479E15,No Label
131.202.240.87-131.202.244.3-56969-53-17,131.202.240.87,56969,131.202.244.3,53,17,15/04/2015 01:13:42 p.m.,1420,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,254929.57746478872,2816.9014084507044,473.3333333333333,324.4215364819872,846.0,254.0,1166.0,1166.0,0.0,1166.0,1166.0,1100.0,1100.0,0.0,1100.0,1100.0,0,0,0,0,16,16,1408.4507042253522,1408.4507042253522,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,254929,0,17,0,73,0,0,1,8,0,0,0,0,1.429118022101682E15,192.33304448274092,1.429118022101818E15,1.429118022101546E15,No Label
131.202.240.87-64.12.27.65-3245-443-6,131.202.240.87,3245,64.12.27.65,443,6,15/04/2015 01:16:23 p.m.,52965,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,113.28235627301048,37.76078542433683,52965.0,0.0,52965.0,52965.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,18.880392712168415,18.880392712168415,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,1,2,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,0,3,0,0,63808,16384,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-56952-53-17,131.202.240.87,56952,131.202.244.3,53,17,15/04/2015 01:13:04 p.m.,2244,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,161319.07308377896,1782.5311942959001,748.0,741.644119507463,1604.0,298.0,1946.0,1946.0,0.0,1946.0,1946.0,1902.0,1902.0,0.0,1902.0,1902.0,0,0,0,0,16,16,891.2655971479501,891.2655971479501,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,161319,0,17,0,73,0,0,1,8,0,0,0,0,1.429117984611173E15,681.6509370638319,1.429117984611655E15,1.429117984610691E15,No Label
173.252.110.27-131.202.240.87-443-1959-6,173.252.110.27,443,131.202.240.87,1959,6,15/04/2015 01:15:26 p.m.,65341087,96,88,34146.0,39395.0,1350.0,0.0,355.6874999999997,493.522661187167,1350.0,0.0,447.6704545454544,598.7767553898475,1125.4939790028286,2.8159923326650502,357055.1202185792,2313498.670279007,2.5978548E7,5.0,6.529562E7,687322.3157894735,3213452.40346537,2.6116331E7,18.0,6.5284473E7,750396.2413793101,3322049.377880785,2.5978548E7,5.0,1,0,0,0,1920,1760,1.4692133909556784,1.3467789417093718,0.0,1350.0,403.9297297297296,548.3893614708285,300730.89177438297,0,0,0,101,184,0,0,0,0.0,406.125,355.6875,447.67045454545456,0,0,0,0,17,9863,0,185,0,214,2043,16235,81,20,0,0,0,0,1.429118162970184E15,2.2898552107298024E7,1.429118192241886E15,1.429118127021104E15,No Label
131.202.240.87-209.148.205.35-3248-443-6,131.202.240.87,3248,209.148.205.35,443,6,15/04/2015 01:15:27 p.m.,59064122,9,7,698.0,256.0,517.0,0.0,77.55555555555556,167.7551125235168,166.0,0.0,36.57142857142857,61.06241927420701,16.15193738086888,0.27089203154497077,3937608.1333333324,1.5159089767490247E7,5.8734393E7,32.0,5.9064122E7,7383015.250000001,2.074911028532409E7,5.8734393E7,2032.0,5.8978519E7,9829753.166666666,2.3993803825257495E7,5.8806821E7,32.0,0,0,0,0,192,152,0.15237676774404604,0.1185152638009247,0.0,517.0,56.117647058823536,126.85271102391799,16091.610294117645,0,2,0,7,15,0,0,0,0.0,59.625,77.55555555555556,36.57142857142857,0,0,0,0,5,5424,0,43,0,16,8192,490,4,20,0,0,0,0,1.4291181356611768E15,2.1374299881808627E7,1.42911818616219E15,1.429118127120347E15,No Label
131.202.240.87-224.0.0.252-60555-5355-17,131.202.240.87,60555,224.0.0.252,5355,17,15/04/2015 01:15:11 p.m.,412194,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.74585268101913,4.852084212773597,412194.0,0.0,412194.0,412194.0,412194.0,412194.0,0.0,412194.0,412194.0,0,0,0,0,0,0,0,0,0,16,0,4.852084212773597,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-62061-53-17,131.202.240.87,62061,131.202.244.3,53,17,15/04/2015 01:15:28 p.m.,75234,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,4811.654305234336,53.167450886567245,25078.0,42829.34273369135,74533.0,281.0,281.0,281.0,0.0,281.0,281.0,74533.0,74533.0,0.0,74533.0,74533.0,0,0,0,0,16,16,26.583725443283623,26.583725443283623,34.0,153.0,79.2,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,4811,0,17,0,73,0,0,1,8,0,0,0,0,1.429118128488714E15,52604.50187959202,1.429118128525911E15,1.429118128451517E15,No Label
131.202.240.87-131.202.244.3-62081-53-17,131.202.240.87,62081,131.202.244.3,53,17,15/04/2015 01:16:16 p.m.,1349,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,268346.92364714603,2965.159377316531,449.6666666666667,69.1688754667396,528.0,397.0,925.0,925.0,0.0,925.0,925.0,952.0,952.0,0.0,952.0,952.0,0,0,0,0,16,16,1482.5796886582655,1482.5796886582655,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,268346,0,17,0,73,0,0,1,8,0,0,0,0,1.4291181768762655E15,207.18228688765842,1.429118176876412E15,1.429118176876119E15,No Label
131.202.240.87-131.202.244.3-62078-53-17,131.202.240.87,62078,131.202.244.3,53,17,15/04/2015 01:16:08 p.m.,1717,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,210832.84799068142,2329.6447291788004,572.3333333333334,420.706944717262,1058.0,320.0,1397.0,1397.0,0.0,1397.0,1397.0,1378.0,1378.0,0.0,1378.0,1378.0,0,0,0,0,16,16,1164.8223645894002,1164.8223645894002,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,210832,0,17,0,73,0,0,1,8,0,0,0,0,1.4291181684103315E15,282.13560569343247,1.429118168410531E15,1.429118168410132E15,No Label
131.202.240.87-131.202.244.3-62058-53-17,131.202.240.87,62058,131.202.244.3,53,17,15/04/2015 01:15:27 p.m.,655,1,1,41.0,449.0,41.0,41.0,41.0,0.0,449.0,449.0,449.0,0.0,748091.6030534351,3053.4351145038167,655.0,0.0,655.0,655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1526.7175572519084,1526.7175572519084,41.0,449.0,177.0,235.5589098293673,55488.0,0,0,0,0,0,0,0,0,1.0,265.5,41.0,449.0,0,0,0,0,0,0,0,20,0,224,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-63666-53-17,131.202.240.87,63666,131.202.244.3,53,17,15/04/2015 01:14:52 p.m.,2242,2,2,68.0,294.0,34.0,34.0,34.0,0.0,153.0,141.0,147.0,8.48528137423857,161462.9794826048,1784.121320249777,747.3333333333334,702.478706676105,1557.0,300.0,1942.0,1942.0,0.0,1942.0,1942.0,1857.0,1857.0,0.0,1857.0,1857.0,0,0,0,0,16,16,892.0606601248885,892.0606601248885,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,1.0,99.0,34.0,147.0,0,0,0,0,4,161462,0,17,0,73,0,0,1,8,0,0,0,0,1.429118092645628E15,616.5971131946694,1.429118092646064E15,1.429118092645192E15,No Label
