Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.252.100.27-131.202.240.87-443-1088-6,173.252.100.27,443,131.202.240.87,1088,6,13/04/2015 10:49:35 a.m.,112088316,25,24,8337.0,7623.0,1350.0,0.0,333.4800000000001,434.3903889360353,1350.0,0.0,317.625,405.60269835522973,142.38772219577282,0.43715528744316223,2335173.25,9588786.415526077,4.995592E7,7.0,1.12088293E8,4670345.541666665,1.3308638612069791E7,5.0005751E7,18.0,1.12035992E8,4871130.086956522,1.3548443350285573E7,4.9960632E7,7.0,1,0,0,0,500,480,0.22303841196079705,0.21411687548236516,0.0,1350.0,333.21999999999997,415.35803537553045,172522.2975510204,0,0,0,30,49,0,0,0,0.0,340.0204081632653,333.48,317.625,0,0,0,0,8,14628,0,170,0,155,2043,16458,22,20,0,0,0,0,1.4289366191135215E15,4.801838024070131E7,1.428936687514767E15,1.428936575443357E15,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,13/04/2015 10:51:11 a.m.,1502661,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,99.82291415029736,1.9964582830059474,751330.5,255.26554800834364,751511.0,751150.0,1502661.0,751330.5,255.26554800834364,751511.0,751150.0,0,0,0,0,0,0,0,0,0,24,0,1.9964582830059474,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.428936671788034E15,0.0,1.428936671788034E15,1.428936671788034E15,No Label
131.202.240.87-131.202.244.3-63332-53-17,131.202.240.87,63332,131.202.244.3,53,17,13/04/2015 10:50:31 a.m.,1130,2,2,78.0,608.0,39.0,39.0,39.0,0.0,378.0,230.0,304.0,104.65180361560904,607079.6460176992,3539.823008849558,376.6666666666667,81.561837481345,460.0,297.0,757.0,757.0,0.0,757.0,757.0,670.0,670.0,0.0,670.0,670.0,0,0,0,0,16,16,1769.911504424779,1769.911504424779,39.0,378.0,145.0,154.2903107780913,23805.5,0,0,0,0,0,0,0,0,1.0,181.25,39.0,304.0,0,0,0,0,4,607079,0,19,0,152,0,0,1,8,0,0,0,0,1.428936631572346E15,379.00923471598946,1.428936631572614E15,1.428936631572078E15,No Label
131.202.240.87-131.202.244.3-54610-53-17,131.202.240.87,54610,131.202.244.3,53,17,13/04/2015 10:49:52 a.m.,1436,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,467966.573816156,2785.515320334262,478.6666666666667,166.37708175507026,670.0,368.0,1068.0,1068.0,0.0,1068.0,1068.0,1038.0,1038.0,0.0,1038.0,1038.0,0,0,0,0,16,16,1392.757660167131,1392.757660167131,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,467966,0,18,0,149,0,0,1,8,0,0,0,0,1.428936592580221E15,67.88225099390856,1.428936592580269E15,1.428936592580173E15,No Label
131.202.240.87-131.202.244.3-63342-53-17,131.202.240.87,63342,131.202.244.3,53,17,13/04/2015 10:50:37 a.m.,1275,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,527058.8235294117,3137.254901960784,425.0,108.22199406774946,529.0,313.0,842.0,842.0,0.0,842.0,842.0,746.0,746.0,0.0,746.0,746.0,0,0,0,0,16,16,1568.627450980392,1568.627450980392,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,527058,0,18,0,149,0,0,1,8,0,0,0,0,1.4289366374560915E15,458.91230099006935,1.428936637456416E15,1.428936637455767E15,No Label
131.202.240.87-131.202.244.3-57450-53-17,131.202.240.87,57450,131.202.244.3,53,17,13/04/2015 10:51:50 a.m.,1367,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,491587.4177029993,2926.115581565472,455.6666666666667,52.59594407683289,510.0,405.0,962.0,962.0,0.0,962.0,962.0,915.0,915.0,0.0,915.0,915.0,0,0,0,0,16,16,1463.057790782736,1463.057790782736,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,491587,0,18,0,149,0,0,1,8,0,0,0,0,1.4289367106131735E15,245.36605307173198,1.428936710613347E15,1.428936710613E15,No Label
131.202.240.87-131.202.244.3-63339-53-17,131.202.240.87,63339,131.202.244.3,53,17,13/04/2015 10:50:35 a.m.,2012,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,333996.02385685884,1988.0715705765408,670.6666666666666,453.7062191918173,1194.0,388.0,1624.0,1624.0,0.0,1624.0,1624.0,1582.0,1582.0,0.0,1582.0,1582.0,0,0,0,0,16,16,994.0357852882704,994.0357852882704,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,333996,0,18,0,149,0,0,1,8,0,0,0,0,1.428936635328231E15,265.87214972614186,1.428936635328419E15,1.428936635328043E15,No Label
131.202.240.87-131.202.244.3-63352-53-17,131.202.240.87,63352,131.202.244.3,53,17,13/04/2015 10:50:55 a.m.,1849,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,363439.69713358575,2163.3315305570577,616.3333333333334,391.78608108677537,1064.0,336.0,1513.0,1513.0,0.0,1513.0,1513.0,1400.0,1400.0,0.0,1400.0,1400.0,0,0,0,0,16,16,1081.6657652785289,1081.6657652785289,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,363439,0,18,0,149,0,0,1,8,0,0,0,0,1.4289366550553965E15,197.28279195104676,1.428936655055536E15,1.428936655055257E15,No Label
131.202.240.87-131.202.244.3-63355-53-17,131.202.240.87,63355,131.202.244.3,53,17,13/04/2015 10:51:02 a.m.,2546,2,2,78.0,608.0,39.0,39.0,39.0,0.0,378.0,230.0,304.0,104.65180361560904,269442.26237234875,1571.0919088766693,848.6666666666666,692.471178702286,1645.0,388.0,2158.0,2158.0,0.0,2158.0,2158.0,2033.0,2033.0,0.0,2033.0,2033.0,0,0,0,0,16,16,785.5459544383347,785.5459544383347,39.0,378.0,145.0,154.2903107780913,23805.5,0,0,0,0,0,0,0,0,1.0,181.25,39.0,304.0,0,0,0,0,4,269442,0,19,0,152,0,0,1,8,0,0,0,0,1.428936662277469E15,526.0874452027914,1.428936662277841E15,1.428936662277097E15,No Label
131.202.240.87-131.202.244.3-54607-53-17,131.202.240.87,54607,131.202.244.3,53,17,13/04/2015 10:49:47 a.m.,40720,2,2,78.0,608.0,39.0,39.0,39.0,0.0,378.0,230.0,304.0,104.65180361560904,16846.758349705306,98.23182711198429,13573.333333333334,22869.029217116615,39980.0,278.0,740.0,740.0,0.0,740.0,740.0,40258.0,40258.0,0.0,40258.0,40258.0,0,0,0,0,16,16,49.115913555992144,49.115913555992144,39.0,378.0,145.0,154.2903107780913,23805.5,0,0,0,0,0,0,0,0,1.0,181.25,39.0,304.0,0,0,0,0,4,16846,0,19,0,152,0,0,1,8,0,0,0,0,1.428936587191245E15,28400.236759576495,1.428936587211327E15,1.428936587171163E15,No Label
131.202.240.87-131.202.244.3-54617-53-17,131.202.240.87,54617,131.202.244.3,53,17,13/04/2015 10:49:55 a.m.,467,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,877944.3254817987,4282.655246252676,467.0,0.0,467.0,467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2141.327623126338,2141.327623126338,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60497-5355-17,131.202.240.87,60497,224.0.0.252,5355,17,13/04/2015 10:51:11 a.m.,411080,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.03512698258247,4.86523304466284,411080.0,0.0,411080.0,411080.0,411080.0,411080.0,0.0,411080.0,411080.0,0,0,0,0,0,0,0,0,0,16,0,4.86523304466284,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-54603-53-17,131.202.240.87,54603,131.202.244.3,53,17,13/04/2015 10:49:46 a.m.,22010,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,30531.57655611086,181.73557473875513,7336.666666666666,12036.407451284347,21235.0,339.0,21671.0,21671.0,0.0,21671.0,21671.0,21574.0,21574.0,0.0,21574.0,21574.0,0,0,0,0,16,16,90.86778736937757,90.86778736937757,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,30531,0,18,0,149,0,0,1,8,0,0,0,0,1.428936586292012E15,14467.404743076762,1.428936586302242E15,1.428936586281782E15,No Label
131.202.240.87-131.202.244.3-63335-53-17,131.202.240.87,63335,131.202.244.3,53,17,13/04/2015 10:50:33 a.m.,1347,2,2,78.0,608.0,39.0,39.0,39.0,0.0,378.0,230.0,304.0,104.65180361560904,509279.8812175204,2969.5619896065327,449.0,54.08326913195984,494.0,389.0,958.0,958.0,0.0,958.0,958.0,853.0,853.0,0.0,853.0,853.0,0,0,0,0,16,16,1484.7809948032664,1484.7809948032664,39.0,378.0,145.0,154.2903107780913,23805.5,0,0,0,0,0,0,0,0,1.0,181.25,39.0,304.0,0,0,0,0,4,509279,0,19,0,152,0,0,1,8,0,0,0,0,1.4289366339231755E15,296.2777413171634,1.428936633923385E15,1.428936633922966E15,No Label
131.202.240.87-173.194.208.188-1060-5228-6,131.202.240.87,1060,173.194.208.188,5228,6,13/04/2015 10:50:09 a.m.,90113061,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03329151142696173,0.06658302285392347,1.80226122E7,2.4626066548255697E7,4.4999556E7,38194.0,9.0074731E7,4.50373655E7,699.3286065934955,4.503786E7,4.5036871E7,9.0074757E7,4.50373785E7,525.3803384216048,4.503775E7,4.5037007E7,0,0,0,0,60,96,0.03329151142696173,0.03329151142696173,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,0,0,0,0,256,369,2,20,0,0,0,0,1.4289366548513508E15,3.672606205130954E7,1.428936699831144E15,1.428936609871105E15,No Label
131.202.240.87-131.202.244.3-63345-53-17,131.202.240.87,63345,131.202.244.3,53,17,13/04/2015 10:50:42 a.m.,3371,2,2,74.0,598.0,37.0,37.0,37.0,0.0,373.0,225.0,299.0,104.65180361560904,199347.37466627115,1186.5915158706616,1123.6666666666667,1149.6783608180738,2451.0,440.0,2891.0,2891.0,0.0,2891.0,2891.0,2931.0,2931.0,0.0,2931.0,2931.0,0,0,0,0,16,16,593.2957579353308,593.2957579353308,37.0,373.0,141.8,152.74554003308901,23331.2,0,0,0,0,0,0,0,0,1.0,177.25,37.0,299.0,0,0,0,0,4,199347,0,18,0,149,0,0,1,8,0,0,0,0,1.4289366424545205E15,1082.5804819966042,1.428936642455286E15,1.428936642453755E15,No Label
