Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,30/03/2015 10:15:58 a.m.,83092838,9,0,450.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,5.415629202603478,0.10831258405206956,1.038660475E7,2.3321033901656657E7,6.7389758E7,749900.0,8.3092838E7,1.038660475E7,2.3321033901656657E7,6.7389758E7,749900.0,0,0,0,0,0,0,0,0,0,72,0,0.10831258405206956,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.55555555555556,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,8,8,0,0,0,0,1.4277250118215725E15,3.599660832044027E7,1.427725040576926E15,1.427724958984902E15,No Label
131.202.240.87-131.202.244.3-60277-53-17,131.202.240.87,60277,131.202.244.3,53,17,30/03/2015 10:01:38 a.m.,2443,1,1,32.0,248.0,32.0,32.0,32.0,0.0,248.0,248.0,248.0,0.0,114613.18051575932,818.6655751125666,2443.0,0.0,2443.0,2443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,409.3327875562833,409.3327875562833,32.0,248.0,104.0,124.70765814495917,15552.0,0,0,0,0,0,0,0,0,1.0,156.0,32.0,248.0,0,0,0,0,0,0,0,16,0,124,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,6,30/03/2015 10:17:19 a.m.,7840635,33,59,6231.0,6973.0,1146.0,0.0,188.81818181818178,349.40256640312606,1350.0,0.0,118.18644067796608,242.55319178987864,1684.047274232253,11.73374350419322,86160.82417582416,347802.7697673111,2755972.0,6.0,7776265.0,243008.28125,583686.8101831297,2873170.0,37.0,7815443.0,134749.01724137933,432950.9124016899,2755972.0,9.0,0,0,0,0,660,1180,4.208842778678003,7.5249007255152165,0.0,1350.0,141.97849462365593,284.4683056577589,80922.21692379615,0,0,0,52,92,0,0,0,1.0,143.52173913043478,188.8181818181818,118.1864406779661,0,0,0,0,13,5677,0,67,0,75,6080,6080,19,20,0,0,0,0,1.4277250443046245E15,2360963.43646944,1.427725047278382E15,1.427725039463583E15,No Label
131.202.240.87-224.0.0.252-59409-5355-17,131.202.240.87,59409,224.0.0.252,5355,17,30/03/2015 10:07:04 a.m.,410758,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.11903359155512,4.869046981434324,410758.0,0.0,410758.0,410758.0,410758.0,410758.0,0.0,410758.0,410758.0,0,0,0,0,0,0,0,0,0,16,0,4.869046981434324,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-65441-53-17,131.202.240.87,65441,131.202.244.3,53,17,30/03/2015 10:01:38 a.m.,879,1,1,33.0,206.0,33.0,33.0,33.0,0.0,206.0,206.0,206.0,0.0,271899.8862343572,2275.3128555176336,879.0,0.0,879.0,879.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1137.6564277588168,1137.6564277588168,33.0,206.0,90.66666666666666,99.88159656980525,9976.333333333332,0,0,0,0,0,0,0,0,1.0,136.0,33.0,206.0,0,0,0,0,0,0,0,16,0,103,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-62762-53-17,131.202.240.87,62762,131.202.244.3,53,17,30/03/2015 10:01:44 a.m.,805,1,1,36.0,235.0,36.0,36.0,36.0,0.0,235.0,235.0,235.0,0.0,336645.96273291926,2484.4720496894406,805.0,0.0,805.0,805.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1242.2360248447203,1242.2360248447203,36.0,235.0,102.33333333333333,114.89270356873553,13200.333333333332,0,0,0,0,0,0,0,0,1.0,153.5,36.0,235.0,0,0,0,0,0,0,0,18,0,117,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.5-53232-53-17,131.202.240.87,53232,131.202.244.5,53,17,30/03/2015 10:15:58 a.m.,24475,1,1,42.0,258.0,42.0,42.0,42.0,0.0,258.0,258.0,258.0,0.0,12257.405515832483,81.71603677221654,24475.0,0.0,24475.0,24475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,40.85801838610827,40.85801838610827,42.0,258.0,114.0,124.70765814495917,15552.0,0,0,0,0,0,0,0,0,1.0,171.0,42.0,258.0,0,0,0,0,0,0,0,21,0,129,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-53232-53-17,131.202.240.87,53232,131.202.244.3,53,17,30/03/2015 10:15:58 a.m.,24047,1,1,42.0,258.0,42.0,42.0,42.0,0.0,258.0,258.0,258.0,0.0,12475.568678005573,83.1704578533705,24047.0,0.0,24047.0,24047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,41.58522892668525,41.58522892668525,42.0,258.0,114.0,124.70765814495917,15552.0,0,0,0,0,0,0,0,0,1.0,171.0,42.0,258.0,0,0,0,0,0,0,0,21,0,129,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-61639-5355-17,131.202.240.87,61639,224.0.0.252,5355,17,30/03/2015 10:07:04 a.m.,410987,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.05934737595106,4.866333971634139,410987.0,0.0,410987.0,410987.0,410987.0,410987.0,0.0,410987.0,410987.0,0,0,0,0,0,0,0,0,0,16,0,4.866333971634139,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-63381-5355-17,131.202.240.87,63381,224.0.0.252,5355,17,30/03/2015 10:17:07 a.m.,411106,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.02835764985186,4.864925347720539,411106.0,0.0,411106.0,411106.0,411106.0,411106.0,0.0,411106.0,411106.0,0,0,0,0,0,0,0,0,0,16,0,4.864925347720539,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
