Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,30/03/2015 10:57:16 a.m.,1500661,3,0,150.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,99.95595274349104,1.9991190548698208,750330.5,880.3479425772516,750953.0,749708.0,1500661.0,750330.5,880.3479425772516,750953.0,749708.0,0,0,0,0,0,0,0,0,0,24,0,1.9991190548698208,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.427727436920195E15,0.0,1.427727436920195E15,1.427727436920195E15,No Label
131.202.240.87-131.202.244.3-63883-53-17,131.202.240.87,63883,131.202.244.3,53,17,30/03/2015 10:43:57 a.m.,1066,1,1,36.0,235.0,36.0,36.0,36.0,0.0,235.0,235.0,235.0,0.0,254221.3883677298,1876.1726078799247,1066.0,0.0,1066.0,1066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,938.0863039399624,938.0863039399624,36.0,235.0,102.33333333333333,114.89270356873553,13200.333333333332,0,0,0,0,0,0,0,0,1.0,153.5,36.0,235.0,0,0,0,0,0,0,0,18,0,117,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-55384-5355-17,131.202.240.87,55384,224.0.0.252,5355,17,30/03/2015 10:43:24 a.m.,411256,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.98932052055167,4.863150932752349,411256.0,0.0,411256.0,411256.0,411256.0,411256.0,0.0,411256.0,411256.0,0,0,0,0,0,0,0,0,0,16,0,4.863150932752349,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.96-2684-443-6,131.202.240.87,2684,173.194.123.96,443,6,30/03/2015 10:57:22 a.m.,61544493,178,286,39079.0,29020.0,1710.0,0.0,219.54494382022466,398.27719487480255,1162.0,0.0,101.46853146853141,171.76425313603443,1106.5003005224203,7.539261067598688,132925.47084233264,691320.6625857486,5049496.0,4.0,6.1479482E7,347341.7062146894,1097955.3990438958,5074639.0,39.0,6.1519383E7,215857.48421052625,875295.1172850963,5074671.0,4.0,1,0,0,0,3560,5720,2.8922165302426,4.647044537356088,0.0,1710.0,146.85161290322577,286.23670260218887,81931.44991657393,0,0,0,281,464,0,0,0,1.0,147.16810344827587,219.54494382022472,101.46853146853147,0,0,0,0,21,7308,0,84,0,62,16528,5086,103,20,0,0,0,0,1.4277274718841915E15,1.9815657696643293E7,1.427727504138011E15,1.427727442593981E15,No Label
131.202.240.87-131.202.6.3-49927-53-17,131.202.240.87,49927,131.202.6.3,53,17,30/03/2015 10:58:22 a.m.,2617,1,1,37.0,373.0,37.0,37.0,37.0,0.0,373.0,373.0,373.0,0.0,156667.94038975926,764.2338555598013,2617.0,0.0,2617.0,2617.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,382.11692777990066,382.11692777990066,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,1.0,223.5,37.0,373.0,0,0,0,0,0,0,0,18,0,186,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-64400-53-17,131.202.240.87,64400,131.202.244.3,53,17,30/03/2015 10:43:50 a.m.,861,1,1,33.0,345.0,33.0,33.0,33.0,0.0,345.0,345.0,345.0,0.0,439024.39024390245,2322.8803716608595,861.0,0.0,861.0,861.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1161.4401858304298,1161.4401858304298,33.0,345.0,137.0,180.13328398716322,32448.0,0,0,0,0,0,0,0,0,1.0,205.5,33.0,345.0,0,0,0,0,0,0,0,16,0,172,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-51164-5355-17,131.202.240.87,51164,224.0.0.252,5355,17,30/03/2015 10:57:16 a.m.,409948,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.33068584308255,4.878667538321934,409948.0,0.0,409948.0,409948.0,409948.0,409948.0,0.0,409948.0,409948.0,0,0,0,0,0,0,0,0,0,16,0,4.878667538321934,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
173.194.207.127-131.202.240.87-443-2697-6,173.194.207.127,443,131.202.240.87,2697,6,30/03/2015 10:43:56 a.m.,73,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27397.260273972603,73.0,0.0,73.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13698.630136986301,13698.630136986301,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,336,16537,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.117-2686-443-6,131.202.240.87,2686,173.194.123.117,443,6,30/03/2015 10:57:22 a.m.,389757,4,6,446.0,1033.0,408.0,0.0,111.5,198.47669888427708,887.0,0.0,172.16666666666666,351.2004650718257,3794.672064901977,25.657011933076248,43306.33333333333,80892.72473776613,248834.0,14.0,324961.0,108320.33333333334,127369.41985552628,249036.0,918.0,364518.0,72903.6,129309.22746192555,298566.0,36.0,1,0,0,0,80,120,10.2628047732305,15.394207159845749,0.0,887.0,171.54545454545456,283.76446699203325,80522.27272727274,0,0,0,6,10,0,0,0,1.0,188.7,111.5,172.16666666666666,0,0,0,0,6,4551,0,44,0,103,16287,558,1,20,0,0,0,0,1.4277274424091065E15,148501.752967779,1.42772744257471E15,1.427727442185893E15,No Label
74.125.136.120-131.202.240.87-443-2694-6,74.125.136.120,443,131.202.240.87,2694,6,30/03/2015 10:44:11 a.m.,88,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22727.272727272728,88.0,0.0,88.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11363.636363636364,11363.636363636364,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,352,16480,0,20,0,0,0,0,0,0,0,0,No Label
