Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,30/03/2015 10:35:39 a.m.,94090790,6,0,300.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,3.188409832673315,0.0637681966534663,1.8818158E7,4.040069317206291E7,9.1089115E7,749618.0,9.409079E7,1.8818158E7,4.040069317206291E7,9.1089115E7,749618.0,0,0,0,0,0,0,0,0,0,48,0,0.0637681966534663,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,5,8,0,0,0,0,1.4277261861169578E15,5.259680132108715E7,1.427726232411921E15,1.427726139823115E15,No Label
149.71.159.128-131.202.240.87-2203-80-6,149.71.159.128,2203,131.202.240.87,80,6,30/03/2015 10:39:27 a.m.,2991648,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6685278481960444,2991648.0,0.0,2991648.0,2991648.0,2991648.0,2991648.0,0.0,2991648.0,2991648.0,0,0,0,0,0,0,0,0,0,80,0,0.6685278481960444,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,5808,0,0,40,0,0,0,0,0,0,0,0,No Label
65.55.252.43-131.202.240.87-443-2676-6,65.55.252.43,443,131.202.240.87,2676,6,30/03/2015 10:41:04 a.m.,86,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23255.81395348837,86.0,0.0,86.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11627.906976744185,11627.906976744185,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,516,16537,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.5-49655-53-17,131.202.240.87,49655,131.202.244.5,53,17,30/03/2015 10:22:00 a.m.,87077,1,1,46.0,191.0,46.0,46.0,46.0,0.0,191.0,191.0,191.0,0.0,2721.7290444089713,22.968177589949125,87077.0,0.0,87077.0,87077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11.484088794974562,11.484088794974562,46.0,191.0,94.33333333333334,83.71578903249574,7008.333333333334,0,0,0,0,0,0,0,0,1.0,141.5,46.0,191.0,0,0,0,0,0,0,0,23,0,95,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-55354-53-17,131.202.240.87,55354,131.202.244.3,53,17,30/03/2015 10:19:02 a.m.,654,1,1,32.0,184.0,32.0,32.0,32.0,0.0,184.0,184.0,184.0,0.0,330275.2293577982,3058.1039755351685,654.0,0.0,654.0,654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1529.0519877675843,1529.0519877675843,32.0,184.0,82.66666666666666,87.75724091682311,7701.333333333333,0,0,0,0,0,0,0,0,1.0,124.0,32.0,184.0,0,0,0,0,0,0,0,16,0,92,0,0,0,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-50681-5355-17,131.202.240.87,50681,224.0.0.252,5355,17,30/03/2015 10:22:17 a.m.,418179,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,105.2181003828504,4.7826409264932,418179.0,0.0,418179.0,418179.0,418179.0,418179.0,0.0,418179.0,418179.0,0,0,0,0,0,0,0,0,0,16,0,4.7826409264932,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,6,30/03/2015 10:40:34 a.m.,47232621,156,261,28357.0,28428.0,1350.0,0.0,181.77564102564108,353.6177191173824,1159.0,0.0,108.91954022988511,185.4602726518418,1202.2411375392444,8.82864408477353,113539.9543269231,681281.6477992088,7351524.0,5.0,4.7166682E7,304301.1741935484,1105740.1402223003,7443809.0,30.0,4.7207425E7,181567.0192307694,857762.9315722206,7351524.0,5.0,1,0,0,0,3156,5220,3.3028021036562842,5.525841981117245,0.0,1350.0,138.6315789473685,267.7511249269725,71690.66489965924,0,0,0,255,417,0,0,0,1.0,138.9640287769784,181.77564102564102,108.91954022988506,0,0,0,0,23,8264,0,68,0,68,16402,6080,82,20,0,0,0,0,1.4277264604966585E15,1.5884550165868888E7,1.42772648142287E15,1.427726434216571E15,No Label
131.202.240.87-216.58.221.3-0-0-0,131.202.240.87,0,216.58.221.3,0,0,30/03/2015 10:19:03 a.m.,1491906,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3405670330436368,1491906.0,0.0,1491906.0,1491906.0,1491906.0,1491906.0,0.0,1491906.0,1491906.0,0,0,0,0,0,0,0,0,0,0,0,1.3405670330436368,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Label
216.58.221.3-131.202.240.87-443-2646-6,216.58.221.3,443,131.202.240.87,2646,6,30/03/2015 10:19:13 a.m.,97,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20618.556701030928,97.0,0.0,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10309.278350515464,10309.278350515464,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,352,16480,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-49655-53-17,131.202.240.87,49655,131.202.244.3,53,17,30/03/2015 10:22:00 a.m.,87841,1,1,46.0,191.0,46.0,46.0,46.0,0.0,191.0,191.0,191.0,0.0,2698.056716112066,22.768411106430936,87841.0,0.0,87841.0,87841.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11.384205553215468,11.384205553215468,46.0,191.0,94.33333333333334,83.71578903249574,7008.333333333334,0,0,0,0,0,0,0,0,1.0,141.5,46.0,191.0,0,0,0,0,0,0,0,23,0,95,0,0,0,8,0,0,0,0,0,0,0,0,No Label
